case,n,seed,P,precision,near_radius2,K_max,virtual_depth,sigma_classes,route,contact_orbit,refinement_depth,routes,body_pairs,mean_target_occupancy,mean_source_occupancy,max_target_occupancy,max_source_occupancy,source_timing_record
cube,2048,41003,4,Float64,5,32,1,1,direct,sigma_demoted_outer,0,88,88,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,1,1,direct,sigma_demoted_outer,1,817078,2565804,1.785322,1.785322,8,8,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,M2T,sigma_demoted_outer,0,7062,236262,5.893939,5.893939,32,32,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,M2T,sigma_demoted_outer,1,158952,561078,1.884040,1.884040,8,8,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,corner,1,15512,71066,1.994778,1.994778,8,8,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,edge,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,edge,1,38382,169194,2.045907,2.045907,8,8,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,face,1,32866,150740,2.137680,2.137680,8,8,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,outer_0_0_1,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,outer_0_0_1,1,85356,400010,2.180561,2.180561,8,8,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,self,0,11,11,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,self,1,5648,32129,2.111013,2.111013,8,8,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,sigma_demoted_outer,0,88,88,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,1,1,direct,sigma_demoted_outer,1,817078,2565804,1.785322,1.785322,8,8,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,M2T,sigma_demoted_outer,0,7062,236262,5.893939,5.893939,32,32,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,M2T,sigma_demoted_outer,1,158952,561078,1.884040,1.884040,8,8,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,M2T,sigma_demoted_outer,2,196700,257640,1.144662,1.144662,4,4,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,corner,1,5488,5488,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,corner,2,48266,65578,1.165002,1.165002,4,4,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,edge,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,edge,1,11758,11758,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,edge,2,118420,157436,1.153564,1.153564,4,4,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,face,1,8708,8708,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,face,2,106944,142032,1.153043,1.153043,4,4,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,outer_0_0_1,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,outer_0_0_1,1,20868,20868,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,outer_0_0_1,2,286116,379142,1.151952,1.151952,4,4,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,self,0,11,11,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,self,1,2230,2230,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,self,2,21129,29899,1.183776,1.183776,4,4,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,sigma_demoted_outer,0,88,88,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,sigma_demoted_outer,1,298262,298262,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,2,1,direct,sigma_demoted_outer,2,1613218,2009902,1.117624,1.117624,4,4,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,M2T,sigma_demoted_outer,0,7062,236262,5.893939,5.893939,32,32,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,M2T,sigma_demoted_outer,1,158952,561078,1.884040,1.884040,8,8,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,M2T,sigma_demoted_outer,2,196700,257640,1.144662,1.144662,4,4,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,corner,1,5488,5488,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,corner,2,48266,65578,1.165002,1.165002,4,4,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,edge,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,edge,1,11758,11758,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,edge,2,118420,157436,1.153564,1.153564,4,4,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,face,1,8708,8708,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,face,2,106944,142032,1.153043,1.153043,4,4,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,outer_0_0_1,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,outer_0_0_1,1,20868,20868,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,outer_0_0_1,2,286116,379142,1.151952,1.151952,4,4,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,self,0,11,11,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,self,1,2230,2230,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,self,2,21129,29899,1.183776,1.183776,4,4,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,sigma_demoted_outer,0,88,88,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,sigma_demoted_outer,1,298262,298262,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,2,1,direct,sigma_demoted_outer,2,1613218,2009902,1.117624,1.117624,4,4,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,M2L,outer_0_0_1,3,156,168,1.038462,1.038462,2,2,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,M2T,sigma_demoted_outer,0,7062,236262,5.893939,5.893939,32,32,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,M2T,sigma_demoted_outer,1,158952,561078,1.884040,1.884040,8,8,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,M2T,sigma_demoted_outer,2,196700,257640,1.144662,1.144662,4,4,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,M2T,sigma_demoted_outer,3,36934,40194,1.043537,1.043537,3,3,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,corner,1,5488,5488,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,corner,2,35268,35268,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,corner,3,27454,30310,1.051322,1.051322,3,3,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,edge,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,edge,1,11758,11758,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,edge,2,88420,88420,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,edge,3,62280,69016,1.053565,1.053565,3,3,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,face,1,8708,8708,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,face,2,79814,79814,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,face,3,56658,62218,1.048678,1.048678,3,3,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,outer_0_0_1,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,outer_0_0_1,1,20868,20868,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,outer_0_0_1,2,214298,214298,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,outer_0_0_1,3,149530,164676,1.050110,1.050110,3,3,fm041a_gpu_stages.csv
