case,n,seed,P,precision,near_radius2,K_max,virtual_depth,sigma_classes,sigma_min,sigma_max,original_body_pairs,residual_direct_body_pairs,promoted_body_pairs,promoted_fraction,m2l_routes,m2l_body_pairs,m2t_routes,m2t_body_pairs,s2l_routes,s2l_body_pairs,regularization_rejections,sigma_quantile_blocks,multipole_rejections,virtual_nodes,metadata_bytes,refresh_items,ideal_nearfield_saving,phase1_decision,source_timing_record
multiscale,2048,41003,8,Float64,5,32,0,1,0.023623519685528876,0.023623519685528876,970952,814424,156528,0.161210853,0,0,2556,129566,512,26962,16239,0,514,0,0,0,0.138641333,KILL,fm041a_gpu_stages.csv
multiscale,2048,41003,4,Float64,5,32,1,1,0.023623519685528876,0.023623519685528876,970952,695646,275306,0.283542338,0,0,54545,224112,15163,51194,145379,0,31852,988,63232,988,0.243846411,CONTINUE,fm041a_gpu_stages.csv
multiscale,2048,41003,8,Float64,5,32,1,1,0.023623519685528876,0.023623519685528876,970952,529358,441594,0.454805181,5040,26228,61918,385918,1324,29448,145379,0,1420,988,63232,988,0.391132456,CONTINUE,fm041a_gpu_stages.csv
multiscale,2048,41003,4,Float64,5,32,2,1,0.023623519685528876,0.023623519685528876,970952,475992,494960,0.509767733,16836,24300,184193,403633,28315,67027,460054,0,53004,2223,142272,2223,0.438400250,CONTINUE,fm041a_gpu_stages.csv
multiscale,2048,41003,8,Float64,5,32,2,1,0.023623519685528876,0.023623519685528876,970952,440128,530824,0.546704677,20352,47332,113027,453525,1751,29967,460054,0,1420,2223,142272,2223,0.470166023,CONTINUE,fm041a_gpu_stages.csv
multiscale,2048,41003,4,Float64,5,32,3,1,0.023623519685528876,0.023623519685528876,970952,450006,520946,0.536531157,20112,27788,198871,419684,34215,73474,595092,0,53004,2625,168000,2625,0.461416795,CONTINUE,fm041a_gpu_stages.csv
multiscale,2048,41003,8,Float64,5,32,3,1,0.023623519685528876,0.023623519685528876,970952,428350,542602,0.558835040,25384,52740,118964,459793,1846,30069,595092,0,1420,2625,168000,2625,0.480598135,CONTINUE,fm041a_gpu_stages.csv
sigma_multiscale,2048,41003,4,Float64,5,32,0,1,0.006299605249474367,0.11339289449053859,2856358,2764102,92256,0.032298472,0,0,3563,85094,150,7162,52553,2086,1038,0,0,0,0.027776686,KILL,fm041a_gpu_stages.csv
sigma_multiscale,2048,41003,8,Float64,5,32,0,1,0.006299605249474367,0.11339289449053859,2856358,2670455,185903,0.065083929,0,0,4317,171799,248,14104,52553,2086,186,0,0,0,0.055972179,KILL,fm041a_gpu_stages.csv
sigma_multiscale,2048,41003,4,Float64,5,32,1,1,0.006299605249474367,0.11339289449053859,2856358,2103224,753134,0.263669330,0,0,115875,622416,22579,130718,486130,3780,28313,883,56512,883,0.226755624,CONTINUE,fm041a_gpu_stages.csv
sigma_multiscale,2048,41003,8,Float64,5,32,1,1,0.006299605249474367,0.11339289449053859,2856358,1926380,929978,0.325581737,5868,34601,142064,875618,1966,19759,486130,3780,1246,883,56512,883,0.280000294,CONTINUE,fm041a_gpu_stages.csv
sigma_multiscale,2048,41003,4,Float64,5,32,2,1,0.006299605249474367,0.11339289449053859,2856358,1753986,1102372,0.385936217,11261,16571,342131,941335,33986,144466,1604962,4043,65546,2166,138624,2166,0.331905146,CONTINUE,fm041a_gpu_stages.csv
sigma_multiscale,2048,41003,8,Float64,5,32,2,1,0.006299605249474367,0.11339289449053859,2856358,1700062,1156296,0.404814803,16088,48893,290299,1085194,4018,22209,1604962,4043,2115,2166,138624,2166,0.348140730,CONTINUE,fm041a_gpu_stages.csv
sigma_multiscale,2048,41003,4,Float64,5,32,3,1,0.006299605249474367,0.11339289449053859,2856358,1705217,1151141,0.403010057,12117,17509,377701,980534,41985,153098,2250940,4043,68725,2648,169472,2648,0.346588649,CONTINUE,fm041a_gpu_stages.csv
sigma_multiscale,2048,41003,8,Float64,5,32,3,1,0.006299605249474367,0.11339289449053859,2856358,1671482,1184876,0.414820551,16880,49700,314395,1111790,5094,23386,2250940,4043,2121,2648,169472,2648,0.356745674,CONTINUE,fm041a_gpu_stages.csv
