job,case,n,K,precision,P,shape,status,fused_engaged,t_cold_s,mem_gb,t_near_ms,t_life_ms,t_life_serial_ms,t_update_ms,vel_rel_rms,n_leaves,n_u,route_uploads,operator_uploads,expansion_host_copies,route_flat,operator_flat
13193465,rotor,100000,64,Float32,4,fused_srclanes,ok,true,0.071,2.625,0.4325,12.656,12.989,2.842,1.430e-03,3536,43572,2,4,0,true,true
13193465,rotor,100000,64,Float64,4,pairs,ok,false,0.068,3.281,0.4593,12.203,12.548,2.867,1.432e-03,3536,43572,2,4,0,true,true
13193465,rotor,100000,64,Float64,4,fused_cta,ok,true,0.069,3.281,0.7505,12.713,12.883,2.858,1.432e-03,3536,43572,2,4,0,true,true
13193465,rotor,100000,64,Float64,4,fused_srclanes,ok,true,0.069,3.281,0.7792,12.576,12.877,2.95,1.432e-03,3536,43572,2,4,0,true,true
13193465,rotor,1000000,64,Float32,4,pairs,ok,false,0.56,5.781,2.6782,26.831,26.974,16.691,8.500e-04,24201,184621,2,4,0,true,true
13193465,rotor,1000000,64,Float32,4,fused_cta,ok,true,0.299,5.844,2.489,26.805,26.816,17.154,8.500e-04,24201,184621,2,4,0,true,true
13193465,rotor,1000000,64,Float32,4,fused_srclanes,ok,true,0.281,5.844,3.2271,27.528,27.559,16.48,8.500e-04,24201,184621,2,4,0,true,true
13193465,rotor,1000000,64,Float64,4,pairs,ok,false,0.289,6.938,4.2013,34.792,34.649,18.078,5.468e-04,24199,184605,2,4,0,true,true
13193465,rotor,1000000,64,Float64,4,fused_cta,ok,true,0.338,6.969,4.3377,35.088,34.803,17.253,5.468e-04,24199,184605,2,4,0,true,true
13193465,rotor,1000000,64,Float64,4,fused_srclanes,ok,true,0.301,7.0,6.0343,36.721,36.451,16.277,5.468e-04,24199,184605,2,4,0,true,true
13193465,cube,100000,64,Float64,8,pairs,ok,false,0.982,2.531,0.6973,8.962,9.088,1.559,1.218e-05,4096,199480,2,4,0,true,true
13193465,cube,100000,64,Float64,8,fused_cta,ok,true,0.977,2.531,1.1979,8.996,9.541,1.515,1.218e-05,4096,199480,2,4,0,true,true
13193465,cube,100000,64,Float64,8,fused_srclanes,ok,true,0.977,2.531,1.018,9.067,9.384,1.503,1.218e-05,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float32,4,pairs,ok,false,40.678,2.242,0.3265,1.639,1.926,1.439,4.634e-04,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float32,4,fused_cta,ok,true,1.552,2.062,0.5965,1.688,2.203,1.361,4.634e-04,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float32,4,fused_srclanes,ok,true,1.093,2.062,0.6748,1.923,2.279,1.37,4.634e-04,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float32,4,fused_packed,ok,true,1.062,2.062,0.4033,1.607,2.028,1.386,4.634e-04,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float64,4,pairs,ok,false,10.194,2.156,0.7005,2.24,2.42,1.602,4.634e-04,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float64,4,fused_cta,ok,true,0.141,2.125,1.1944,2.368,2.94,1.469,4.634e-04,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float64,4,fused_srclanes,ok,true,0.119,2.125,1.0409,2.42,2.715,1.481,4.634e-04,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float64,4,fused_packed,ok,true,0.118,2.125,0.7647,2.123,2.464,1.468,4.634e-04,4096,199480,2,4,0,true,true
13193492,cube,1000000,64,Float32,4,pairs,ok,false,1.773,4.812,4.4249,11.65,11.93,9.074,3.580e-04,32686,1725270,2,4,0,true,true
13193492,cube,1000000,64,Float32,4,fused_cta,ok,true,1.605,4.875,4.9079,11.757,12.371,7.468,3.580e-04,32686,1725270,2,4,0,true,true
13193492,cube,1000000,64,Float32,4,fused_srclanes,ok,true,1.632,4.875,7.5215,14.583,14.982,6.963,3.580e-04,32686,1725270,2,4,0,true,true
13193492,cube,1000000,64,Float32,4,fused_packed,ok,true,1.653,4.875,3.2476,10.383,10.733,8.416,3.580e-04,32686,1725270,2,4,0,true,true
13193492,cube,1000000,64,Float64,4,pairs,ok,false,0.308,5.156,12.3148,21.685,22.135,9.468,3.579e-04,32686,1725270,2,4,0,true,true
13193492,cube,1000000,64,Float64,4,fused_cta,ok,true,0.301,5.188,11.2992,20.094,21.17,9.232,3.579e-04,32686,1725270,2,4,0,true,true
13193492,cube,1000000,64,Float64,4,fused_srclanes,ok,true,0.319,5.188,12.1428,21.397,21.944,9.588,3.579e-04,32686,1725270,2,4,0,true,true
13193492,cube,1000000,64,Float64,4,fused_packed,ok,true,0.293,5.188,6.4953,15.786,16.294,11.274,3.579e-04,32686,1725270,2,4,0,true,true
13193492,wake,100000,256,Float32,4,pairs,ok,false,1.227,1.906,0.8766,2.675,3.178,1.459,5.621e-04,1225,52195,2,4,0,true,true
