case,n,K,sampled_leaves,mixed_warpslot_frac_T,mixed_warpslot_frac_S,divT_opt,divT_nom,divT_pess,divS_opt,divS_nom,divS_pess,regularized_pair_frac
cube,100000,64,200,0.1849,0.0051,0.1104,0.1223,0.1318,0.0038,0.0041,0.0044,0.2248
wake,100000,256,200,0.0534,0.0014,0.0349,0.0389,0.0422,0.0010,0.0011,0.0012,0.2766
sigma_multiscale,100000,64,200,0.0884,0.0024,0.0472,0.0549,0.0615,0.0013,0.0015,0.0018,0.5483
rotor,100000,64,200,0.1594,0.1645,0.1091,0.1172,0.1233,0.1166,0.1238,0.1291,0.1310
rotor,100000,256,200,0.0174,0.0118,0.0166,0.0168,0.0169,0.0115,0.0115,0.0116,0.0089
rotor,1000000,64,200,0.2387,0.2403,0.1411,0.1549,0.1657,0.1501,0.1623,0.1716,0.1965
