case,n,K,target_leaves,u_edges,nt_q05,nt_q25,nt_q50,nt_q75,nt_q95,deg_q05,deg_q25,deg_q50,deg_q75,deg_q95,srcsum_q05,srcsum_q25,srcsum_q50,srcsum_q75,srcsum_q95,underfill_frac,mean_waves,repeated_tgt_load_per_pair,src_leaf_reuse
cube,100000,64,4096,2171720,17,21,24,28,33,256,407,510,687,851,6.34e+03,9.85e+03,1.25e+04,1.68e+04,2.09e+04,0.2779,1.057,0.041,530.2
wake,100000,256,4846,10554768,1,2,8,13,113,1.38e+03,1.9e+03,2.22e+03,2.48e+03,3.08e+03,2.61e+04,3.89e+04,4.48e+04,5.19e+04,6.41e+04,0.5360,1.390,0.048,2178.0
sigma_multiscale,100000,64,6042,5993666,2,13,16,21,29,50,103,343,2.3e+03,2.37e+03,788,1.64e+03,5.01e+03,4.15e+04,4.18e+04,0.4745,1.020,0.057,992.0
rotor,100000,64,3529,41147,4,15,30,39,56,6,8,10,15,21,153,189,321,426,622,0.3662,1.451,0.031,11.7
rotor,100000,256,816,27160,10,73,132,177,232,16,22,34.5,41,57,1.91e+03,3.32e+03,4.58e+03,5.51e+03,7.97e+03,0.1007,4.322,0.007,33.3
rotor,1000000,64,33956,266616,3,14,30,44,56,6,7,8,8,11,150,189,221,253,310,0.3662,1.458,0.029,7.9
