label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,status,message,leaf_q,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat,literature_P,expansion_order
cy3b_c5_p4_f32_anchor,13157488,m13h-1-2,cube,100000,partitioned,Float32,4,17,uniform,dense,256,4.252,ok,,17,12.175,12.13,0.047,0.32,11.769,0.057,-0.017,37.216,0.396,1.055,3.286,1.047,7.741,0.615,0.0,0.0,0.0,0.003,9.3470e-04,8.4214e-06,5.2345e-03,true,2744,3329,2539784,587920,4096,1 8 64 512 2744,176 169984 2369624,55.6,1328,1.2,true,4,3
cy3b_c5_p5_f32_winner,13157488,m13h-1-2,cube,100000,partitioned,Float32,4,12,uniform,dense,256,3.668,ok,,12,11.503,11.487,0.044,0.305,11.114,0.056,-0.017,35.17,0.713,1.046,4.428,1.053,5.446,0.497,0.0,0.0,0.0,0.003,6.8061e-04,4.0551e-06,3.8824e-03,true,2744,3329,1800440,367744,4096,1 8 64 512 2744,752 160192 1639496,3.52,1328,1.45,true,5,4
cy3b_c5_p4_f64_anchor,13157488,m13h-1-2,cube,100000,partitioned,Float64,4,17,uniform,dense,256,4.252,ok,,17,20.683,20.628,0.045,0.339,20.273,0.063,-0.038,62.841,0.696,1.07,4.042,1.05,15.35,0.564,0.0,0.0,0.0,0.003,9.3471e-04,8.4214e-06,5.2346e-03,true,2744,3329,2539784,587920,4096,1 8 64 512 2744,176 169984 2369624,19.93,1856,1.54,true,4,3
cy3b_c5_p5_f64_winner,13157488,m13h-1-2,cube,100000,partitioned,Float64,4,12,uniform,dense,256,3.668,ok,,12,21.148,21.094,0.044,0.313,20.751,0.062,-0.022,64.587,1.248,1.066,8.44,1.057,10.808,0.492,0.0,0.0,0.0,0.003,6.8059e-04,4.0540e-06,3.8824e-03,true,2744,3329,1800440,367744,4096,1 8 64 512 2744,752 160192 1639496,0.38,1856,1.57,true,5,4
cy3b_c6_p4_f64_anchor,13157488,m13h-1-2,cube,1000000,partitioned,Float64,5,17,uniform,dense,256,4.252,ok,,17,310.203,309.661,0.369,1.031,307.925,0.849,0.029,,5.458,1.324,41.694,1.312,260.744,0.685,0.0,0.0,0.0,0.003,9.8348e-04,3.7608e-06,4.9585e-03,true,21950,25279,34516836,5647542,32768,1 8 64 512 2744 21950,176 169984 2369624 31977052,0.79,10064,5.39,true,4,3
cy3b_c6_p5_f64_winner,13157488,m13h-1-2,cube,1000000,partitioned,Float64,5,12,uniform,dense,256,3.668,ok,,12,207.779,207.531,0.368,1.037,205.519,0.849,0.005,,9.838,1.334,53.41,1.342,142.454,0.689,0.0,0.0,0.0,0.003,7.0780e-04,2.5389e-06,3.8518e-03,true,21950,25279,21920096,3414506,32768,1 8 64 512 2744 21950,752 160192 1639496 20119656,0.77,10064,7.04,true,5,4
cy3b_w5_p4_f32_anchor,13157488,m13h-1-2,wake,100000,partitioned,Float32,5,12,uniform,dense,256,4.252,ok,,12,9.78,9.739,0.044,0.318,9.349,0.055,0.015,29.94,0.266,1.283,0.661,1.274,8.253,0.513,0.0,0.0,0.0,0.003,6.9414e-04,1.1111e-04,5.9862e-03,true,896,1121,227840,92592,32768,1 8 16 32 168 896,0 320 10608 216912,1.52,1440,4.17,true,4,3
cy3b_w5_p5_f32_winner,13157488,m13h-1-2,wake,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,ok,,6,7.972,7.95,0.045,0.315,7.564,0.057,-0.009,24.542,0.486,1.291,1.268,1.279,5.383,0.505,0.0,0.0,0.0,0.003,3.2988e-04,5.3593e-05,2.4548e-03,true,896,1121,168200,48920,32768,1 8 16 32 168 896,32 352 9888 157928,1.8,1440,2.54,true,5,4
cy3b_w5_p4_f64_anchor,13157488,m13h-1-2,wake,100000,partitioned,Float64,5,12,uniform,dense,256,4.252,ok,,12,19.013,18.497,0.045,0.33,18.506,0.063,0.07,60.143,0.515,1.301,0.768,1.288,16.893,0.532,0.0,0.0,0.0,0.003,6.9412e-04,1.1111e-04,5.9862e-03,true,896,1121,227840,92592,32768,1 8 16 32 168 896,0 320 10608 216912,0.2,1968,2.7,true,4,3
cy3b_w5_p5_f64_winner,13157488,m13h-1-2,wake,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,ok,,6,14.548,14.509,0.046,0.322,14.131,0.064,-0.015,44.202,0.912,1.315,2.276,1.293,11.05,0.536,0.0,0.0,0.0,0.003,3.2992e-04,5.3592e-05,2.4548e-03,true,896,1121,168200,48920,32768,1 8 16 32 168 896,32 352 9888 157928,0.2,1968,2.82,true,5,4
cy3b_w6_p4_f64_anchor,13157488,m13h-1-2,wake,1000000,partitioned,Float64,6,12,uniform,dense,256,4.252,ok,,12,303.131,302.696,0.371,1.148,300.656,0.857,0.099,,3.751,1.565,5.708,1.545,295.888,0.715,0.0,0.0,0.0,0.003,7.0203e-04,7.2282e-05,6.3301e-03,true,6048,7169,4089528,828040,262144,1 8 16 32 168 896 6048,0 320 10608 216912 3861688,0.58,10960,10.29,true,4,3
cy3b_w6_p5_f64_winner,13157488,m13h-1-2,wake,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,ok,,6,179.081,178.801,0.367,1.132,176.76,0.863,-0.041,,6.426,1.583,9.02,1.571,164.181,0.692,0.0,0.0,0.0,0.003,2.9898e-04,4.8379e-05,2.8695e-03,true,6048,7169,2269736,401888,262144,1 8 16 32 168 896 6048,32 352 9888 157928 2101536,0.44,10960,16.6,true,5,4
