label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,status,message,leaf_q,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat,literature_P,expansion_order
cy3d_c5_p4_anchor_f32,13157887,m13h-1-2,cube,100000,partitioned,Float32,4,17,uniform,dense,256,4.252,ok,,17,12.187,12.141,0.05,0.335,11.749,0.056,-0.002,37.484,0.396,1.104,3.284,1.104,7.734,0.611,0.0,0.0,0.0,0.004,9.3471e-04,8.4211e-06,5.2345e-03,true,2744,3329,2539784,587920,4096,1 8 64 512 2744,176 169984 2369624,55.55,1328,1.2,true,4,3
cy3d_c5_p5_auto_f32,13157887,m13h-1-2,cube,100000,partitioned,Float32,4,6,uniform,dense,256,default,ok,,12,11.524,11.485,0.044,0.315,11.106,0.054,0.003,35.198,0.713,1.081,4.423,1.074,5.456,0.546,0.0,0.0,0.0,0.003,6.8060e-04,4.0546e-06,3.8824e-03,true,2744,3329,1800440,367744,4096,1 8 64 512 2744,752 160192 1639496,3.62,1328,1.42,true,5,4
cy3d_c6_p4_anchor_f32,13157887,m13h-1-2,cube,1000000,partitioned,Float32,5,17,uniform,dense,256,4.252,ok,,17,151.063,150.959,0.37,0.898,149.22,0.561,0.014,,3.028,1.409,31.31,1.393,115.156,0.728,0.0,0.0,0.0,0.003,9.8347e-04,3.7593e-06,4.9585e-03,true,21950,25279,34516836,5647542,32768,1 8 64 512 2744 21950,176 169984 2369624 31977052,2.92,9004,4.89,true,4,3
cy3d_c6_p5_auto_f32,13157887,m13h-1-2,cube,1000000,partitioned,Float32,5,6,uniform,dense,256,default,ok,,12,102.348,102.278,0.369,0.898,100.498,0.562,0.021,,5.721,1.361,28.984,1.358,65.7,0.642,0.0,0.0,0.0,0.003,7.0781e-04,2.5374e-06,3.8519e-03,true,21950,25279,21920096,3414506,32768,1 8 64 512 2744 21950,752 160192 1639496 20119656,4.0,9004,6.07,true,5,4
cy3d_w5_p4_anchor_f32,13157887,m13h-1-2,wake,100000,partitioned,Float32,5,16,uniform,dense,256,4.252,ok,,16,11.312,11.26,0.046,0.327,10.906,0.056,-0.023,34.54,0.268,1.33,0.693,1.324,9.727,0.513,0.0,0.0,0.0,0.003,4.7925e-04,7.4880e-05,4.3623e-03,true,896,1121,240464,121104,32768,1 8 16 32 168 896,0 288 9792 230384,2.21,1440,3.92,true,4,3
cy3d_w5_p5_auto_f32,13157887,m13h-1-2,wake,100000,partitioned,Float32,5,6,uniform,dense,256,default,ok,,6,7.976,7.947,0.046,0.327,7.542,0.056,0.004,24.537,0.48,1.333,1.27,1.323,5.4,0.524,0.0,0.0,0.0,0.003,3.2988e-04,5.3591e-05,2.4548e-03,true,896,1121,168200,48920,32768,1 8 16 32 168 896,32 352 9888 157928,1.92,1440,2.67,true,5,4
cy3d_w6_p4_anchor_f32,13157887,m13h-1-2,wake,1000000,partitioned,Float32,6,16,uniform,dense,256,4.252,ok,,16,177.233,174.576,0.37,1.041,175.002,0.564,0.255,,1.84,1.6,5.471,1.598,166.766,0.683,0.0,0.0,0.0,0.003,4.9182e-04,5.6449e-05,4.9311e-03,true,6048,7169,5181864,1142760,262144,1 8 16 32 168 896 6048,0 288 9792 230384 4941400,2.77,9900,9.32,true,4,3
cy3d_w6_p5_auto_f32,13157887,m13h-1-2,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,default,ok,,6,83.686,83.597,0.37,1.027,81.794,0.563,-0.068,,3.368,1.609,4.945,1.605,74.027,0.657,0.0,0.0,0.0,0.003,2.9893e-04,4.8374e-05,2.8695e-03,true,6048,7169,2269736,401888,262144,1 8 16 32 168 896 6048,32 352 9888 157928 2101536,2.48,9900,15.54,true,5,4
cy3d_c5_p4_anchor_f64,13157887,m13h-1-2,cube,100000,partitioned,Float64,4,17,uniform,dense,256,4.252,ok,,17,20.654,20.638,0.045,0.348,20.227,0.067,-0.033,62.728,0.695,1.087,4.044,1.076,15.317,0.526,0.0,0.0,0.0,0.003,9.3471e-04,8.4214e-06,5.2346e-03,true,2744,3329,2539784,587920,4096,1 8 64 512 2744,176 169984 2369624,20.14,1856,7.82,true,4,3
cy3d_c5_p5_auto_f64,13157887,m13h-1-2,cube,100000,partitioned,Float64,4,6,uniform,dense,256,default,ok,,12,21.132,21.106,0.045,0.317,20.684,0.064,0.023,64.468,1.249,1.089,8.449,1.077,10.78,0.502,0.0,0.0,0.0,0.003,6.8059e-04,4.0540e-06,3.8824e-03,true,2744,3329,1800440,367744,4096,1 8 64 512 2744,752 160192 1639496,0.38,1856,1.7,true,5,4
cy3d_c6_p4_anchor_f64,13157887,m13h-1-2,cube,1000000,partitioned,Float64,5,17,uniform,dense,256,4.252,ok,,17,309.954,309.74,0.369,1.04,307.612,0.849,0.083,,5.442,1.386,41.693,1.368,260.333,0.697,0.0,0.0,0.0,0.003,9.8348e-04,3.7608e-06,4.9585e-03,true,21950,25279,34516836,5647542,32768,1 8 64 512 2744 21950,176 169984 2369624 31977052,0.66,10064,5.82,true,4,3
cy3d_c6_p5_auto_f64,13157887,m13h-1-2,cube,1000000,partitioned,Float64,5,6,uniform,dense,256,default,ok,,12,207.937,207.809,0.37,1.049,205.843,0.854,-0.179,,9.848,1.363,53.357,1.376,142.453,0.692,0.0,0.0,0.0,0.003,7.0780e-04,2.5389e-06,3.8518e-03,true,21950,25279,21920096,3414506,32768,1 8 64 512 2744 21950,752 160192 1639496 20119656,0.66,10064,6.6,true,5,4
cy3d_w5_p4_anchor_f64,13157887,m13h-1-2,wake,100000,partitioned,Float64,5,16,uniform,dense,256,4.252,ok,,16,21.645,21.459,0.045,0.334,21.118,0.062,0.085,67.074,0.514,1.337,0.804,1.322,19.847,0.487,0.0,0.0,0.0,0.003,4.7925e-04,7.4881e-05,4.3623e-03,true,896,1121,240464,121104,32768,1 8 16 32 168 896,0 288 9792 230384,0.27,1968,4.42,true,4,3
cy3d_w5_p5_auto_f64,13157887,m13h-1-2,wake,100000,partitioned,Float64,5,6,uniform,dense,256,default,ok,,6,14.562,14.514,0.046,0.331,14.109,0.064,0.012,44.296,0.922,1.354,2.275,1.34,11.036,0.502,0.0,0.0,0.0,0.003,3.2992e-04,5.3592e-05,2.4548e-03,true,896,1121,168200,48920,32768,1 8 16 32 168 896,32 352 9888 157928,0.2,1968,3.01,true,5,4
cy3d_w6_p4_anchor_f64,13157887,m13h-1-2,wake,1000000,partitioned,Float64,6,16,uniform,dense,256,4.252,ok,,16,398.735,390.534,0.368,1.16,395.86,0.851,0.495,,3.737,1.602,7.005,1.59,383.631,0.711,0.0,0.0,0.0,0.003,4.9181e-04,5.6445e-05,4.9311e-03,true,6048,7169,5181864,1142760,262144,1 8 16 32 168 896 6048,0 288 9792 230384 4941400,0.72,10960,11.35,true,4,3
cy3d_w6_p5_auto_f64,13157887,m13h-1-2,wake,1000000,partitioned,Float64,6,6,uniform,dense,256,default,ok,,6,178.999,178.811,0.369,1.139,176.592,0.852,0.047,,6.425,1.619,9.025,1.611,163.793,0.702,0.0,0.0,0.0,0.003,2.9898e-04,4.8379e-05,2.8695e-03,true,6048,7169,2269736,401888,262144,1 8 16 32 168 896 6048,32 352 9888 157928 2101536,0.47,10960,17.32,true,5,4
