label,job,host,case,n,tf,literature_P,expansion_order,ell,q,kernel,rho_t,rho_c,rectangular,component_semantics,reference_checksum,reference_u_rel,reference_j_rel,u_cutoff_rel,u_fmm_rel,u_total_rel,u_triangle_rel,u_correlation,u_cancellation_ratio,u_identity_rel,u_triangle_pass,j_cutoff_rel,j_fmm_rel,j_total_rel,j_triangle_rel,j_correlation,j_cancellation_ratio,j_identity_rel
c37b_wake_n1000000_r32,,mecsrs-MacBook-Pro-188.local,wake,1000000,Float64,5,4,5,6,twopass,3.2,1.7,false,truncated_deficit,9b916bff603bbd522dec5205852ddef5f585dffa36bc920239188e5191af4eb5,1.6455165889999833e-16,2.669811591172202e-16,0.00017193988935488642,,,,,,,,0.007136392845733891,,,,,,
c37b_wake_n1000000_r34,,mecsrs-MacBook-Pro-188.local,wake,1000000,Float64,5,4,5,6,twopass,3.4,1.7,false,truncated_deficit,9b916bff603bbd522dec5205852ddef5f585dffa36bc920239188e5191af4eb5,1.6455165889999833e-16,2.669811591172202e-16,9.045761315082261e-5,,,,,,,,0.0038320207518767386,,,,,,
c37b_wake_n1000000_r3668,,mecsrs-MacBook-Pro-188.local,wake,1000000,Float64,5,4,5,6,twopass,3.668,1.7,false,truncated_deficit,9b916bff603bbd522dec5205852ddef5f585dffa36bc920239188e5191af4eb5,1.6455165889999833e-16,2.669811591172202e-16,3.61385685546118e-5,,,,,,,,0.001562193800061069,,,,,,
c37b_rotor_n100000_r20,,mecsrs-MacBook-Pro-188.local,rotor,100000,Float64,5,4,5,6,twopass,2.0,1.7,false,truncated_deficit,6f8ee70947c96b8b8d65e8c076c4a88647e3964e272d8a702ada9a4ab8d6135e,6.148145910068959e-16,3.561847565166213e-15,0.019445402572370284,,,,,,,,0.021450746510853186,,,,,,
c37b_rotor_n100000_r25,,mecsrs-MacBook-Pro-188.local,rotor,100000,Float64,5,4,5,6,twopass,2.5,1.7,false,truncated_deficit,6f8ee70947c96b8b8d65e8c076c4a88647e3964e272d8a702ada9a4ab8d6135e,6.148145910068959e-16,3.561847565166213e-15,0.003556008953756753,,,,,,,,0.004163138099333022,,,,,,
c37b_rotor_n100000_r28,,mecsrs-MacBook-Pro-188.local,rotor,100000,Float64,5,4,5,6,twopass,2.8,1.7,false,truncated_deficit,6f8ee70947c96b8b8d65e8c076c4a88647e3964e272d8a702ada9a4ab8d6135e,6.148145910068959e-16,3.561847565166213e-15,0.0012599892612260575,,,,,,,,0.0015334400726506386,,,,,,
c37b_rotor_n100000_r30,,mecsrs-MacBook-Pro-188.local,rotor,100000,Float64,5,4,5,6,twopass,3.0,1.7,false,truncated_deficit,6f8ee70947c96b8b8d65e8c076c4a88647e3964e272d8a702ada9a4ab8d6135e,6.148145910068959e-16,3.561847565166213e-15,0.0005929034117463795,,,,,,,,0.000734684056781415,,,,,,
c37b_rotor_n100000_r32,,mecsrs-MacBook-Pro-188.local,rotor,100000,Float64,5,4,5,6,twopass,3.2,1.7,false,truncated_deficit,6f8ee70947c96b8b8d65e8c076c4a88647e3964e272d8a702ada9a4ab8d6135e,6.148145910068959e-16,3.561847565166213e-15,0.0002999777998127662,,,,,,,,0.0003397820285066336,,,,,,
c37b_rotor_n100000_r34,,mecsrs-MacBook-Pro-188.local,rotor,100000,Float64,5,4,5,6,twopass,3.4,1.7,false,truncated_deficit,6f8ee70947c96b8b8d65e8c076c4a88647e3964e272d8a702ada9a4ab8d6135e,6.148145910068959e-16,3.561847565166213e-15,0.0001197284068132055,,,,,,,,0.0001386208077869012,,,,,,
c37b_rotor_n100000_r3668,,mecsrs-MacBook-Pro-188.local,rotor,100000,Float64,5,4,5,6,twopass,3.668,1.7,false,truncated_deficit,6f8ee70947c96b8b8d65e8c076c4a88647e3964e272d8a702ada9a4ab8d6135e,6.148145910068959e-16,3.561847565166213e-15,4.430508439445067e-5,,,,,,,,4.9264722039312245e-5,,,,,,
c37b_rotor_n1000000_r20,,mecsrs-MacBook-Pro-188.local,rotor,1000000,Float64,5,4,5,6,twopass,2.0,1.7,false,truncated_deficit,95757ef59d9d85a086fe3abae1bcbdc890e6b114422df6c2a1113f017b81c61b,7.045570395756933e-16,1.5419625920663082e-15,0.024538723755179712,,,,,,,,0.022702939806093288,,,,,,
c37b_rotor_n1000000_r25,,mecsrs-MacBook-Pro-188.local,rotor,1000000,Float64,5,4,5,6,twopass,2.5,1.7,false,truncated_deficit,95757ef59d9d85a086fe3abae1bcbdc890e6b114422df6c2a1113f017b81c61b,7.045570395756933e-16,1.5419625920663082e-15,0.005113328426704329,,,,,,,,0.004923111666419588,,,,,,
c37b_rotor_n1000000_r28,,mecsrs-MacBook-Pro-188.local,rotor,1000000,Float64,5,4,5,6,twopass,2.8,1.7,false,truncated_deficit,95757ef59d9d85a086fe3abae1bcbdc890e6b114422df6c2a1113f017b81c61b,7.045570395756933e-16,1.5419625920663082e-15,0.0015112133103081257,,,,,,,,0.001442855957622808,,,,,,
c37b_rotor_n1000000_r30,,mecsrs-MacBook-Pro-188.local,rotor,1000000,Float64,5,4,5,6,twopass,3.0,1.7,false,truncated_deficit,95757ef59d9d85a086fe3abae1bcbdc890e6b114422df6c2a1113f017b81c61b,7.045570395756933e-16,1.5419625920663082e-15,0.0007877809486938937,,,,,,,,0.0007517134730909912,,,,,,
c37b_rotor_n1000000_r32,,mecsrs-MacBook-Pro-188.local,rotor,1000000,Float64,5,4,5,6,twopass,3.2,1.7,false,truncated_deficit,95757ef59d9d85a086fe3abae1bcbdc890e6b114422df6c2a1113f017b81c61b,7.045570395756933e-16,1.5419625920663082e-15,0.000355139513309387,,,,,,,,0.00031795126122503067,,,,,,
c37b_rotor_n1000000_r34,,mecsrs-MacBook-Pro-188.local,rotor,1000000,Float64,5,4,5,6,twopass,3.4,1.7,false,truncated_deficit,95757ef59d9d85a086fe3abae1bcbdc890e6b114422df6c2a1113f017b81c61b,7.045570395756933e-16,1.5419625920663082e-15,0.00016269259104158038,,,,,,,,0.00015158267804806142,,,,,,
c37b_rotor_n1000000_r3668,,mecsrs-MacBook-Pro-188.local,rotor,1000000,Float64,5,4,5,6,twopass,3.668,1.7,false,truncated_deficit,95757ef59d9d85a086fe3abae1bcbdc890e6b114422df6c2a1113f017b81c61b,7.045570395756933e-16,1.5419625920663082e-15,4.542505375695748e-5,,,,,,,,4.302742454056182e-5,,,,,,
