label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,rho_c,status,message,leaf_q,rectangular,twopass_aabb,ell_axes,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,direct_body_pairs,twopass_candidate_pairs,twopass_shell_pairs,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat,literature_P,expansion_order
037b_cu5_anchor,13170509,m13h-1-2,cube,100000,partitioned,Float32,4,12,uniform,dense,256,3.668,default,ok,,12,false,false,4 4 4,11.305,11.281,0.045,0.318,10.893,0.055,-0.007,,0.712,0.812,4.429,0.808,5.453,0.599,0.0,0.0,0.0,0.003,6.8060e-04,4.0540e-06,3.8824e-03,true,2744,3328,1800440,367744,544848018,,,4096,0 8 64 512 2744,752 160192 1639496,55.55,1328,1.07,true,5,4
037b_cu5_tp_l4q6,13170509,m13h-1-2,cube,100000,twopass,Float32,4,6,uniform,dense,256,3.668,2.0,ok,,6,false,true,4 4 4,11.894,11.859,0.046,0.306,11.475,0.058,0.01,,0.712,0.816,3.33,0.813,7.077,0.51,0.0,0.0,0.0,0.003,1.8328e-03,1.5965e-05,1.1458e-02,false,2744,3328,997768,179200,265327726,306945459,113363618,4096,0 8 64 512 2744,1896 112728 883144,5.39,1328,1.29,true,5,4
037b_cu5_tp_l4q4_p5,13170509,m13h-1-2,cube,100000,twopass,Float32,4,4,uniform,dense,256,3.668,1.7,ok,,4,false,true,4 4 4,8.966,8.948,0.047,0.308,8.551,0.055,0.006,,0.713,0.831,1.737,0.825,5.773,0.484,0.0,0.0,0.0,0.003,9.9588e-03,1.0669e-04,6.0334e-02,false,2744,3328,474472,78112,114589192,307455934,122518098,4096,0 8 64 512 2744,2904 63336 408232,0.92,1328,1.23,true,5,4
037b_cu5_tp_l4q4_p6,13170509,m13h-1-2,cube,100000,twopass,Float32,4,4,uniform,dense,256,3.668,1.7,ok,,4,false,true,4 4 4,12.719,12.666,0.044,0.304,12.315,0.055,0.0,,1.202,0.811,4.786,0.802,6.011,0.521,0.0,0.0,0.0,0.003,4.2178e-03,4.9744e-05,2.6511e-02,false,2744,3328,474472,78112,114589192,307455934,122518098,4096,0 8 64 512 2744,2904 63336 408232,1.86,1328,1.23,true,6,5
037b_cu5_tp_l5q12,13170509,m13h-1-2,cube,100000,twopass,Float32,5,12,uniform,dense,256,3.668,1.9,ok,,12,false,true,5 5 5,69.413,69.341,0.045,0.322,69.004,0.057,-0.016,,4.301,1.083,27.603,1.085,36.448,0.509,0.0,0.0,0.0,0.003,9.1238e-04,7.6993e-06,9.5218e-03,true,21005,24333,20768494,3231005,80740358,208895748,116726862,32768,0 8 64 512 2744 21005,752 160192 1639496 18968054,3.68,1440,3.17,true,5,4
037b_cu5_tp_l5q16,13170509,m13h-1-2,cube,100000,twopass,Float32,5,16,uniform,dense,256,3.668,2.0,ok,,16,false,true,5 5 5,81.386,81.269,0.045,0.315,80.893,0.054,0.078,,4.3,1.079,36.572,1.079,39.46,0.514,0.0,0.0,0.0,0.003,6.5845e-04,5.4890e-06,5.3451e-03,true,21005,24333,28300884,4549367,113595962,207402117,113363618,32768,0 8 64 512 2744 21005,272 173536 2118008 26009068,5.06,1440,5.26,true,5,4
037b_cu5_tp_l5q12_noaabb,13170509,m13h-1-2,cube,100000,twopass,Float32,5,12,uniform,dense,256,3.668,1.9,ok,,12,false,false,5 5 5,68.451,68.121,0.045,0.314,67.852,0.054,0.186,,4.301,1.076,27.62,1.08,35.265,0.527,0.0,0.0,0.0,0.003,9.1238e-04,7.6996e-06,9.5218e-03,true,21005,24333,20768494,3231005,80740358,310975576,116726862,32768,0 8 64 512 2744 21005,752 160192 1639496 18968054,3.94,1440,4.76,true,5,4
037b_cu6_anchor,13170509,m13h-1-2,cube,1000000,partitioned,Float32,5,12,uniform,dense,256,3.668,default,ok,,12,false,false,5 5 5,102.284,102.19,0.369,0.899,100.487,0.565,-0.036,,5.73,1.084,28.955,1.081,65.666,0.653,0.0,0.0,0.0,0.003,7.0781e-04,2.5377e-06,3.8519e-03,true,21950,25278,21920096,3414506,8059108290,,,32768,0 8 64 512 2744 21950,752 160192 1639496 20119656,3.94,9004,3.7,true,5,4
037b_cu6_tp_l5q6,13170509,m13h-1-2,cube,1000000,twopass,Float32,5,6,uniform,dense,256,3.668,2.0,ok,,6,false,true,5 5 5,98.789,98.712,0.368,0.899,97.011,0.562,-0.052,,5.718,1.082,15.912,1.076,70.47,0.649,0.0,0.0,0.0,0.003,1.9249e-03,1.1264e-05,1.1109e-02,false,21950,25278,10865592,1600210,3774128322,3739868350,1264712262,32768,0 8 64 512 2744 21950,1896 112728 883144 9867824,2.2,9004,4.95,true,5,4
037b_cu6_tp_l5q4_p5,13170509,m13h-1-2,cube,1000000,twopass,Float32,5,4,uniform,dense,256,3.668,1.7,ok,,4,false,true,5 5 5,67.003,66.911,0.369,0.895,65.199,0.56,-0.02,,5.755,1.079,7.852,1.08,51.243,0.647,0.0,0.0,0.0,0.003,1.0349e-02,5.4160e-05,5.8512e-02,false,21950,25278,4799606,673620,1581164120,3742258030,1362478552,32768,0 8 64 512 2744 21950,2904 63336 408232 4325134,1.29,9004,4.14,true,5,4
037b_cu6_tp_l5q4_p6,13170509,m13h-1-2,cube,1000000,twopass,Float32,5,4,uniform,dense,256,3.668,1.7,ok,,4,false,true,5 5 5,85.226,85.105,0.367,0.891,83.51,0.563,-0.106,,9.849,1.078,20.325,1.12,52.82,0.651,0.0,0.0,0.0,0.003,4.2561e-03,2.1583e-05,2.6004e-02,false,21950,25278,4799606,673620,1581164120,3742258030,1362478552,32768,0 8 64 512 2744 21950,2904 63336 408232 4325134,2.26,9004,3.82,true,6,5
037b_cu6_tp_l6q12,13170509,m13h-1-2,cube,1000000,twopass,Float32,6,12,uniform,dense,256,3.668,2.0,ok,,12,false,true,6 6 6,603.889,579.675,0.37,0.987,601.941,0.564,0.027,,33.913,1.837,231.513,2.282,313.393,0.655,0.0,0.0,0.0,0.003,9.1741e-04,3.4457e-06,8.4971e-03,true,157047,182325,187625960,26123419,1092555206,2434168708,1264712262,262144,0 8 64 512 2744 21950 157047,752 160192 1639496 20119656 165705864,4.54,9900,21.76,true,5,4
037b_cu6_tp_l6q16,13170509,m13h-1-2,cube,1000000,twopass,Float32,6,16,uniform,dense,256,3.668,2.0,ok,,16,false,true,6 6 6,688.468,687.985,0.37,0.992,686.872,0.564,-0.33,,33.971,1.841,322.53,2.282,328.826,0.674,0.0,0.0,0.0,0.003,6.4285e-04,2.0423e-06,5.0142e-03,true,157047,182325,262811888,37136215,1553157998,2434168708,1264712262,262144,0 8 64 512 2744 21950 157047,272 173536 2118008 27589840 232930232,5.85,9900,36.73,true,5,4
037b_cu6_tp_l6q12_noaabb,13170509,m13h-1-2,cube,1000000,twopass,Float32,6,12,uniform,dense,256,3.668,2.0,ok,,12,false,false,6 6 6,586.771,571.219,0.369,0.989,584.792,0.566,0.054,,33.908,1.84,231.473,2.281,302.541,0.662,0.0,0.0,0.0,0.003,9.1739e-04,3.4457e-06,8.4971e-03,true,157047,182325,187625960,26123419,1092555206,3581589538,1264712262,262144,0 8 64 512 2744 21950 157047,752 160192 1639496 20119656 165705864,4.28,9900,34.04,true,5,4
037b_wa5_anchor,13170509,m13h-1-2,wake,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,ok,,6,false,false,5 5 5,7.849,7.81,0.045,0.325,7.412,0.054,0.012,,0.487,1.051,1.269,1.041,5.391,0.464,0.0,0.0,0.0,0.003,3.2988e-04,5.3594e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,32768,0 8 16 32 168 896,32 352 9888 157928,1.81,1440,13.42,true,5,4
037b_wa5_tp_l5q3_p6,13170509,m13h-1-2,wake,100000,twopass,Float32,5,3,uniform,dense,256,3.4,2.0,ok,,3,false,true,5 5 5,10.754,10.382,0.043,0.316,10.36,0.054,-0.019,,0.815,1.057,2.568,1.049,6.469,0.524,0.0,0.0,0.0,0.003,8.9830e-04,1.5652e-04,5.1923e-03,true,896,1120,86744,18696,313475222,355390797,83536098,32768,0 8 16 32 168 896,96 288 7776 78584,1.52,1440,2.48,true,6,5
037b_wa5_tp_l5q4_p5,13170509,m13h-1-2,wake,100000,twopass,Float32,5,4,uniform,dense,256,3.668,2.0,ok,,4,false,true,5 5 5,9.261,9.187,0.045,0.318,8.828,0.056,0.015,,0.483,1.055,0.979,1.043,6.92,0.52,0.0,0.0,0.0,0.003,1.5606e-03,2.1414e-04,1.0194e-02,false,896,1120,100152,22600,374461660,405437973,108625334,32768,0 8 16 32 168 896,80 304 8704 91064,1.02,1440,2.35,true,5,4
037b_wa5_tp_l5q4_p6,13170509,m13h-1-2,wake,100000,twopass,Float32,5,4,uniform,dense,256,3.4,2.0,ok,,4,false,true,5 5 5,11.508,11.448,0.045,0.314,11.049,0.055,0.046,,0.819,1.058,2.908,1.05,6.948,0.503,0.0,0.0,0.0,0.003,6.2478e-04,9.6674e-05,4.4833e-03,true,896,1120,100152,22600,374461660,355390797,83536098,32768,0 8 16 32 168 896,80 304 8704 91064,2.0,1440,2.35,true,6,5
037b_wa5_tp_l6q6,13170509,m13h-1-2,wake,100000,twopass,Float32,6,6,uniform,dense,256,3.668,1.9,ok,,6,false,true,6 6 6,17.322,17.273,0.044,0.304,16.951,0.055,-0.032,,1.31,1.319,4.838,1.309,10.015,0.507,0.0,0.0,0.0,0.003,3.3543e-04,5.2761e-05,2.9969e-03,true,5964,7084,2227400,394944,134715836,252006781,111910760,262144,0 8 16 32 168 896 5964,32 352 9888 157928 2059200,1.93,2336,4.01,true,5,4
037b_wa5_tp_l6q6_r34,13170509,m13h-1-2,wake,100000,twopass,Float32,6,6,uniform,dense,256,3.4,1.9,ok,,6,false,true,6 6 6,17.197,17.094,0.045,0.305,16.806,0.054,-0.012,,1.31,1.319,4.837,1.311,9.858,0.503,0.0,0.0,0.0,0.003,4.4295e-04,5.3096e-05,4.1441e-03,true,5964,7084,2227400,394944,134715836,214504691,86821524,262144,0 8 16 32 168 896 5964,32 352 9888 157928 2059200,1.95,2336,5.54,true,5,4
037b_wa5_tp_l6q6_r32,13170509,m13h-1-2,wake,100000,twopass,Float32,6,6,uniform,dense,256,3.2,1.9,ok,,6,false,true,6 6 6,16.347,16.272,0.044,0.308,15.902,0.054,0.039,,1.309,1.321,4.84,1.31,9.019,0.523,0.0,0.0,0.0,0.003,6.5187e-04,5.2999e-05,6.5368e-03,true,5964,7084,2227400,394944,134715836,188749452,70133134,262144,0 8 16 32 168 896 5964,32 352 9888 157928 2059200,1.95,2336,5.57,true,5,4
037b_wa5_tp_l6q9,13170509,m13h-1-2,wake,100000,twopass,Float32,6,9,uniform,dense,256,3.4,2.0,ok,,9,false,true,6 6 6,19.003,18.937,0.044,0.308,18.612,0.056,-0.016,,1.309,1.321,5.947,1.313,10.621,0.53,0.0,0.0,0.0,0.003,4.0997e-04,3.9093e-05,3.5290e-03,true,5964,7084,3030228,577582,196376364,213830043,83536098,262144,0 8 16 32 168 896 5964,24 344 9192 184600 2836068,2.77,2336,5.73,true,5,4
037b_wa5_tp_l6q6_noaabb,13170509,m13h-1-2,wake,100000,twopass,Float32,6,6,uniform,dense,256,3.4,1.9,ok,,6,false,false,6 6 6,16.935,16.868,0.045,0.306,16.495,0.056,0.034,,1.309,1.32,4.836,1.315,9.637,0.521,0.0,0.0,0.0,0.003,4.4295e-04,5.3093e-05,4.1441e-03,true,5964,7084,2227400,394944,134715836,399830564,86821524,262144,0 8 16 32 168 896 5964,32 352 9888 157928 2059200,1.97,2336,5.76,true,5,4
037b_wa6_anchor,13170509,m13h-1-2,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,ok,,6,false,false,6 6 6,83.602,83.471,0.368,1.008,81.696,0.562,-0.032,,3.353,1.317,4.937,1.31,73.956,0.662,0.0,0.0,0.0,0.003,2.9893e-04,4.8375e-05,2.8695e-03,true,6048,7168,2269736,401888,13415775910,,,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,2.38,9900,7.48,true,5,4
037b_wa6_tp_l6q4_p5,13170509,m13h-1-2,wake,1000000,twopass,Float32,6,4,uniform,dense,256,3.4,2.0,ok,,4,false,true,6 6 6,81.811,81.733,0.37,1.037,79.91,0.562,-0.068,,3.358,1.322,3.38,1.31,68.404,0.681,0.0,0.0,0.0,0.003,1.6372e-03,2.3216e-04,1.2930e-02,false,6048,7168,1083128,173376,5800534592,4728903527,947277218,262144,0 8 16 32 168 896 6048,80 304 8704 91064 982976,1.34,9900,13.01,true,5,4
037b_wa6_tp_l7q6,13170509,m13h-1-2,wake,1000000,twopass,Float32,7,6,uniform,dense,256,3.668,2.0,ok,,6,false,true,7 7 7,133.001,132.89,0.372,2.66,129.472,0.565,-0.067,,10.363,1.586,27.897,1.703,90.398,2.337,0.0,0.0,0.0,0.003,3.0127e-04,4.8214e-05,3.3424e-03,true,42259,49427,21055886,3093265,1896340664,3112683888,1242985578,2097152,0 8 16 32 168 896 6048 42259,32 352 9888 157928 2101536 18786150,3.36,8876,30.42,true,5,4
037b_wa6_tp_l7q6_r34,13170509,m13h-1-2,wake,1000000,twopass,Float32,7,6,uniform,dense,256,3.4,2.0,ok,,6,false,true,7 7 7,127.065,126.957,0.37,2.659,123.46,0.562,0.014,,10.385,1.59,27.883,1.702,84.324,2.336,0.0,0.0,0.0,0.003,3.2297e-04,4.9118e-05,4.8539e-03,true,42259,49427,21055886,3093265,1896340664,2627611310,947277218,2097152,0 8 16 32 168 896 6048 42259,32 352 9888 157928 2101536 18786150,2.18,8876,47.51,true,5,4
037b_wa6_tp_l7q6_r30,13170509,m13h-1-2,wake,1000000,twopass,Float32,7,6,uniform,dense,256,3.0,2.0,ok,,6,false,true,7 7 7,112.916,112.729,0.369,2.66,109.472,0.565,-0.151,,10.421,1.591,27.902,1.696,70.089,2.333,0.0,0.0,0.0,0.003,4.6973e-04,5.2814e-05,1.3086e-02,true,42259,49427,21055886,3093265,1896340664,1996195503,580434930,2097152,0 8 16 32 168 896 6048 42259,32 352 9888 157928 2101536 18786150,2.16,8876,47.51,true,5,4
037b_wa6_tp_l7q9,13170509,m13h-1-2,wake,1000000,twopass,Float32,7,9,uniform,dense,256,3.4,2.0,ok,,9,false,true,7 7 7,144.93,144.78,0.367,2.665,141.405,0.561,-0.068,,10.401,1.59,39.102,1.699,90.984,2.334,0.0,0.0,0.0,0.003,2.6565e-04,3.7523e-05,4.0935e-03,true,42259,49427,30444962,4613127,2826826156,2627611310,947277218,2097152,0 8 16 32 168 896 6048 42259,24 344 9192 184600 2896672 27354130,3.08,8876,49.45,true,5,4
037b_wa6_tp_l7q6_noaabb,13170509,m13h-1-2,wake,1000000,twopass,Float32,7,6,uniform,dense,256,3.4,2.0,ok,,6,false,false,7 7 7,127.961,127.767,0.369,2.654,124.32,0.562,0.056,,10.373,1.59,27.889,1.699,85.154,2.338,0.0,0.0,0.0,0.003,3.2297e-04,4.9119e-05,4.8539e-03,true,42259,49427,21055886,3093265,1896340664,5573687364,947277218,2097152,0 8 16 32 168 896 6048 42259,32 352 9888 157928 2101536 18786150,2.16,8876,49.42,true,5,4
037b_ro5_anchor,13170509,m13h-1-2,rotor,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,ok,,6,false,false,5 5 5,12.664,11.829,0.046,0.452,11.621,0.051,0.494,,0.74,1.043,1.006,1.036,10.885,0.495,0.0,0.0,0.0,0.003,4.4067e-04,4.0345e-03,5.0835e-05,true,655,879,100780,32749,1231324486,,,32768,0 8 16 32 168 655,32 352 9888 90508,2.07,1440,24.73,true,5,4
037b_ro5_pa_l6q6,13170509,m13h-1-2,rotor,100000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,ok,,6,false,false,6 6 6,6.991,6.961,0.044,0.325,6.581,0.052,-0.011,,0.813,1.315,2.62,1.305,3.5,0.528,0.0,0.0,0.0,0.003,5.4102e-04,5.5799e-03,5.1530e-05,true,2043,2922,410062,70451,267825374,,,262144,0 8 16 32 168 655 2043,32 352 9888 90508 309282,2.09,2336,4.14,true,5,4
037b_ro5_pa_l7q6,13170509,m13h-1-2,rotor,100000,partitioned,Float32,7,6,uniform,dense,256,3.668,default,ok,,6,false,false,7 7 7,7.94,7.894,0.044,0.541,7.292,0.05,0.013,,1.08,1.577,4.068,1.571,1.532,0.651,0.0,0.0,0.0,0.003,6.4165e-04,6.2077e-03,5.4273e-05,true,4087,7009,659456,40593,55881204,,,2097152,0 8 16 32 168 655 2043 4087,32 352 9888 90508 309282 249394,2.11,1312,5.51,true,5,4
037b_ro5_tp_l7q6,13170509,m13h-1-2,rotor,100000,twopass,Float32,7,6,uniform,dense,256,3.668,2.0,ok,,6,false,true,7 7 7,8.539,8.505,0.045,0.548,7.874,0.051,0.022,,1.083,1.583,4.07,1.569,2.25,0.707,0.0,0.0,0.0,0.003,6.4165e-04,6.2079e-03,5.4268e-05,true,4087,7009,659456,40593,55881204,9992106,1544550,2097152,0 8 16 32 168 655 2043 4087,32 352 9888 90508 309282 249394,2.12,1312,5.57,true,5,4
037b_ro5_tp_l7q6_r34,13170509,m13h-1-2,rotor,100000,twopass,Float32,7,6,uniform,dense,256,3.4,2.0,ok,,6,false,true,7 7 7,8.308,8.27,0.044,0.543,7.639,0.052,0.029,,1.081,1.589,4.07,1.575,2.028,0.73,0.0,0.0,0.0,0.003,6.4777e-04,6.2079e-03,1.4070e-04,true,4087,7009,659456,40593,55881204,9691385,1296636,2097152,0 8 16 32 168 655 2043 4087,32 352 9888 90508 309282 249394,2.13,1312,5.54,true,5,4
037b_ro5_tp_l7q4,13170509,m13h-1-2,rotor,100000,twopass,Float32,7,4,uniform,dense,256,3.4,1.7,ok,,4,false,true,7 7 7,6.453,6.416,0.045,0.542,5.811,0.051,0.004,,1.088,1.59,2.37,1.585,1.759,0.734,0.0,0.0,0.0,0.003,3.5879e-03,5.0826e-02,4.9628e-04,false,4087,7009,317062,26615,31392546,9691385,1576905,2097152,0 8 16 32 168 655 2043 4087,80 304 8704 57524 153950 96500,1.15,1312,5.39,true,5,4
037b_ro5_tp_l7q6_noaabb,13170509,m13h-1-2,rotor,100000,twopass,Float32,7,6,uniform,dense,256,3.4,2.0,ok,,6,false,false,7 7 7,8.355,8.311,0.044,0.542,7.705,0.051,0.014,,1.079,1.581,4.076,1.58,2.061,0.73,0.0,0.0,0.0,0.003,6.4778e-04,6.2079e-03,1.4071e-04,true,4087,7009,659456,40593,55881204,29647596,1296636,2097152,0 8 16 32 168 655 2043 4087,32 352 9888 90508 309282 249394,2.11,1312,5.39,true,5,4
037b_ro6_anchor,13170509,m13h-1-2,rotor,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,ok,,6,false,false,6 6 6,238.72,230.896,0.37,1.262,238.049,0.398,-1.359,,4.704,1.318,2.574,1.307,231.702,0.669,0.0,0.0,0.0,0.003,6.9388e-04,4.8916e-02,4.5792e-05,true,2003,2885,397538,67703,26679448650,,,262144,0 8 16 32 168 658 2003,32 352 9888 91058 296208,2.54,9900,7.51,true,5,4
037b_ro6_pa_l7q6,13170509,m13h-1-2,rotor,1000000,partitioned,Float32,7,6,uniform,dense,256,3.668,default,ok,,6,false,false,7 7 7,67.304,65.424,0.368,2.83,64.659,0.395,-0.948,,4.051,1.583,3.988,1.578,61.622,2.23,0.0,0.0,0.0,0.003,6.9441e-04,4.8570e-02,4.9015e-05,true,3914,6799,630274,37298,5560307836,,,2097152,0 8 16 32 168 658 2003 3914,32 352 9888 91058 296208 232736,2.3,8876,29.48,true,5,4
037b_ro6_pa_l8q6,13170509,m13h-1-2,rotor,1000000,partitioned,Float32,8,6,uniform,dense,256,3.668,default,ok,,6,false,false,8 8 8,33.32,32.981,0.371,2.814,30.036,0.399,-0.3,,4.329,1.848,4.939,1.838,21.059,2.22,0.0,0.0,0.0,0.003,6.9663e-04,4.8250e-02,4.9487e-05,true,7737,14536,713320,61449,1599792976,,,16777216,0 8 16 32 168 658 2003 3914 7737,32 352 9888 91058 296208 232736 83046,2.2,8876,46.26,true,5,4
037b_ro6_tp_l8q6,13170509,m13h-1-2,rotor,1000000,twopass,Float32,8,6,uniform,dense,256,3.668,2.0,ok,,6,false,true,8 8 8,41.143,40.309,0.368,2.872,37.63,0.399,-0.125,,4.331,1.853,4.933,1.838,27.913,2.229,0.0,0.0,0.0,0.003,6.9663e-04,4.8250e-02,4.9490e-05,true,7737,14536,713320,61449,1599792976,309691559,15447978,16777216,0 8 16 32 168 658 2003 3914 7737,32 352 9888 91058 296208 232736 83046,2.28,8876,47.01,true,5,4
