Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
19868550,19680,168,7813,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_radix_keys_checked_kernel_(CuDeviceArray<UInt64, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>, SArray<Tuple<(int)3>, Float32, (int)1, (int)3>, Float32, Int64)"
20244260,3072,688,,,,,,,,,,0.000,1.302,Device,Pinned,NVIDIA H200 (0),1,,13,[CUDA memcpy Device-to-Host]
20273796,1024,714,,,,,,,,,,1.049,1023999.476,Device,,NVIDIA H200 (0),1,,13,[CUDA memset]
20290084,38688,720,7813,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_counting_histogram_kernel_(CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>)"
20339460,5952,732,256,1,1,1024,1,1,32,0.000,0.008,,,,,NVIDIA H200 (0),1,,13,"partial_scan(_, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Int32, void, Val<(bool)1>)"
20364868,960,738,,,,,,,,,,0.001,1066.666,Device,,NVIDIA H200 (0),1,,13,[CUDA memset]
20401795,1216,750,1,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_linear_copy_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, NDRange<(int)1, DynamicSize, DynamicSize, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int32, (int)1, (int)1>, Int64, SubArray<Int32, (int)1, CuDeviceArray<Int32, (int)1, (int)1>, Tuple<StepRange<Int64, Int64>>, (bool)1>, Int64, Int64)"
20445859,2272,762,1,1,1,256,1,1,32,0.000,0.002,,,,,NVIDIA H200 (0),1,,13,scan
20569218,1696,768,256,1,1,1024,1,1,32,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"aggregate_partial_scan(_, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, void)"
20596226,2304,776,2048,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_counting_cursor_kernel_(CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>)"
20610786,63168,786,7813,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_counting_scatter_kernel_(CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>, CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>)"
20674946,15488,792,7813,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_fill_invperm_kernel_(CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>)"
20691362,5984,798,7813,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_key_change_flags_kernel_(CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>)"
20698306,22496,810,977,1,1,1024,1,1,32,0.000,0.016,,,,,NVIDIA H200 (0),1,,13,"partial_scan(_, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Int64, void, Val<(bool)1>)"
20721762,960,820,2,1,1,512,1,1,18,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_fill_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, NDRange<(int)1, DynamicSize, DynamicSize, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int64, (int)1, (int)1>, Int64)"
20746369,1440,832,2,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_linear_copy_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, NDRange<(int)1, DynamicSize, DynamicSize, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int64, (int)1, (int)1>, Int64, SubArray<Int64, (int)1, CuDeviceArray<Int64, (int)1, (int)1>, Tuple<StepRange<Int64, Int64>>, (bool)1>, Int64, Int64)"
20774817,4832,844,1,1,1,1024,1,1,32,0.000,0.016,,,,,NVIDIA H200 (0),1,,13,scan
20796321,4672,850,977,1,1,1024,1,1,32,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"aggregate_partial_scan(_, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)0, Tuple<>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, void)"
20822369,2336,864,,,,,,,,,,0.000,3.425,Device,Pinned,NVIDIA H200 (0),1,,13,[CUDA memcpy Device-to-Host]
20848449,5888,906,7813,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_fill_cell_firsts_kernel_(CuDeviceArray<UInt64, (int)1, (int)1>, CuDeviceArray<Int64, (int)2, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>)"
20862785,5920,914,7813,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_fill_cell_counts_kernel_(CuDeviceArray<Int64, (int)2, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>)"
20870849,800,918,,,,,,,,,,0.000,5.000,Device,,NVIDIA H200 (0),1,,13,[CUDA memset]
20885633,1248,926,48,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_keys_differ_kernel_(CuDeviceArray<Int32, (int)1, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>, CuDeviceArray<UInt64, (int)1, (int)1>, Int64)"
20898945,2528,944,,,,,,,,,,0.000,1.582,Device,Pinned,NVIDIA H200 (0),1,,13,[CUDA memcpy Device-to-Host]
20927424,23744,982,7813,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_subsort_keys_kernel_(CuDeviceArray<UInt32, (int)1, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, SArray<Tuple<(int)3>, Float32, (int)1, (int)3>, Float32, Int64, Int64, Int64)"
20952096,282879,990,6048,1,1,256,1,1,32,0.012,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_subsort_cell_sort_kernel_(CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<UInt32, (int)1, (int)1>, CuDeviceArray<Int64, (int)2, (int)1>, Int64)"
21235903,16288,996,7813,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_fill_invperm_kernel_(CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>)"
21253119,110911,1008,7813,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_pack_radix_body_kernel_(CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, Int64)"
21365342,11168,1033,264,1,1,768,1,1,40,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"partial_mapreduce_grid(identity, max, Float32, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, CartesianIndices<(int)1, Tuple<OneTo<Int64>>>, Val<(bool)1>, CuDeviceArray<Float32, (int)2, (int)1>, SubArray<Float32, (int)1, CuDeviceArray<Float32, (int)2, (int)1>, Tuple<Int64, UnitRange<Int64>>, (bool)1>)"
21377566,2208,1048,1,1,1,288,1,1,45,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"partial_mapreduce_grid(identity, max, Float32, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Val<(bool)1>, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>)"
21410430,3264,1568,,,,,,,,,,0.000,1.225,Device,Pageable,NVIDIA H200 (0),1,,13,[CUDA memcpy Device-to-Host]
103168687,14080,1578,,,,,,,,,,60.000,4261320.000,Device,,NVIDIA H200 (0),1,,13,[CUDA memset]
103184175,334238,1590,7813,1,1,128,1,1,32,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"_cuda_scatter_output_to_target_buffer_kernel_(CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Float32, (int)2, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, CuDeviceArray<Int64, (int)1, (int)1>, Int64, Int64, Int64, Int64, Int64, Int64, Int64)"
103519757,84159,1610,2933,1,1,1023,1,1,20,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_cartesian(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, NDRange<(int)2, DynamicSize, DynamicSize, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>>>, SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Broadcasted<CuArrayStyle<(int)2, DeviceMemory>, Tuple<OneTo<Int64>, OneTo<Int64>>, _, Tuple<Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>, Extruded<SubArray<Float32, (int)2, CuDeviceArray<Float32, (int)2, (int)1>, Tuple<UnitRange<Int64>, Slice<OneTo<Int64>>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>>>)"
103605260,100672,1630,8850,1,1,1017,1,1,20,0.000,0.000,,,,,NVIDIA H200 (0),1,,13,"gpu_broadcast_kernel_cartesian(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, NDRange<(int)2, DynamicSize, DynamicSize, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<(int)2, Tuple<OneTo<Int64>, OneTo<Int64>>>>>, SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Broadcasted<CuArrayStyle<(int)2, DeviceMemory>, Tuple<OneTo<Int64>, OneTo<Int64>>, _, Tuple<Extruded<SubArray<Float64, (int)2, CuDeviceArray<Float64, (int)2, (int)1>, Tuple<UnitRange<Int64>, UnitRange<Int64>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>, Extruded<SubArray<Float32, (int)2, CuDeviceArray<Float32, (int)2, (int)1>, Tuple<UnitRange<Int64>, Slice<OneTo<Int64>>>, (bool)0>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>>>)"
