label,job,host,case,n,tf,literature_P,expansion_order,ell,q,kernel,rho_t,rho_c,rectangular,component_semantics,reference_checksum,reference_u_rel,reference_j_rel,u_cutoff_rel,u_fmm_rel,u_total_rel,u_triangle_rel,u_correlation,u_cancellation_ratio,u_identity_rel,u_triangle_pass,j_cutoff_rel,j_fmm_rel,j_total_rel,j_triangle_rel,j_correlation,j_cancellation_ratio,j_identity_rel
d37b_cu5_anchor,13170230,m13h-1-2,cube,100000,Float32,5,4,4,12,partitioned,3.668,,false,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0004052201280806448,0.0006805981522384077,0.0009610275170010268,-0.022003307660881884,0.7081984024372953,0.0,true,0.0027426652134906965,0.0026930539198647655,0.003882403474508864,0.0054357191333554615,0.020193540609285417,0.7142391612335316,1.886691144564769e-21
d37b_cu5_anchor,13170230,m13h-1-2,cube,100000,Float64,5,4,4,12,partitioned,3.668,,false,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0004052137998348252,0.0006805945242298709,0.0009610211887552072,-0.02200322902112117,0.7081992907059961,0.0,true,0.0027426652134906965,0.0026930509125105413,0.0038824019153054813,0.005435716126001237,0.020193840098287515,0.7142392695480135,1.886691144564769e-21
d37b_cu5_tp_l4q6,13170230,m13h-1-2,cube,100000,Float32,5,4,4,6,twopass,3.668,2.0,false,truncated_deficit,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0017386890604886667,0.0018327827108783488,0.0022944964494090486,0.014037474173718197,0.7987733915868055,0.0,false,0.0027426652134906965,0.011112224795385805,0.011457506582490007,0.013854890008876502,0.004441114824980895,0.8269648171258994,1.5093529156518153e-20
d37b_cu5_tp_l4q6,13170230,m13h-1-2,cube,100000,Float64,5,4,4,6,twopass,3.668,2.0,false,truncated_deficit,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0017387103828886902,0.0018327998916141518,0.002294517771809072,0.01403152324347915,0.7987734565111312,0.0,false,0.0027426652134906965,0.011112219672882761,0.01145750101068369,0.013854884886373459,0.004440889928072458,0.8269647207211631,1.5093529156518153e-20
d37b_cu5_tp_l4q4_p5,13170230,m13h-1-2,cube,100000,Float32,5,4,4,4,twopass,3.668,1.7,false,truncated_deficit,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.00994434388195656,0.00995882554559782,0.010500151270876942,-0.00187175006007428,0.9484459117479064,0.0,false,0.0027426652134906965,0.06026355491882414,0.06033438740452548,0.06300622013231484,0.0030857410003562445,0.9575941435277591,0.0
d37b_cu5_tp_l4q4_p5,13170230,m13h-1-2,cube,100000,Float64,5,4,4,4,twopass,3.668,1.7,false,truncated_deficit,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.00994435410818907,0.00995883788209653,0.01050016149710945,-0.0018679190539367975,0.9484461629316902,0.0,false,0.0027426652134906965,0.06026359034809719,0.06033442377654856,0.06300625556158788,0.0030860985085890717,0.9575941823359485,1.2074823325214522e-19
d37b_cu5_tp_l4q4_p6,13170230,m13h-1-2,cube,100000,Float32,6,5,4,4,twopass,3.668,1.7,false,truncated_deficit,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0041840967625298466,0.004217773556175032,0.004739904151450229,-0.005584437969358444,0.8898436384804437,0.0,false,0.0027426652134906965,0.026376715565632966,0.026510650750317045,0.02911938077912366,-0.003032334360354665,0.9104125857416283,1.5210990298913568e-20
d37b_cu5_tp_l4q4_p6,13170230,m13h-1-2,cube,100000,Float64,6,5,4,4,twopass,3.668,1.7,false,truncated_deficit,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.004184085311362537,0.0042177654532373965,0.004739892700282919,-0.005578546508581931,0.8898440787458421,0.0,false,0.0027426652134906965,0.026376739961801746,0.0265106775542213,0.02911940517529244,-0.0030314040492100984,0.9104127434826649,1.217025474646612e-19
d37b_cu5_tp_l5q12,13170230,m13h-1-2,cube,100000,Float32,5,4,5,12,twopass,3.668,1.9,false,truncated_deficit,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0007152934110359828,0.0009123765993604466,0.0012711007999563649,0.014921498087810504,0.7177846158162808,0.0,false,0.0027426652134906965,0.009062995844536063,0.009521839992778884,0.01180566105802676,0.02022247786664885,0.8065486503447353,0.0
d37b_cu5_tp_l5q12,13170230,m13h-1-2,cube,100000,Float64,5,4,5,12,twopass,3.668,1.9,false,truncated_deficit,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0007152759954487196,0.0009123678811311091,0.0012710833843691015,0.01493318769189697,0.7177875915543969,0.0,false,0.0027426652134906965,0.009062988325328324,0.009521844171235024,0.011805653538819022,0.020226836851333595,0.806549517985223,0.0
