label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,rho_c,gh_mode,status,message,leaf_q,rectangular,twopass_aabb,pair_aabb,ell_axes,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,direct_body_pairs,twopass_candidate_pairs,twopass_shell_pairs,nf_mixed_pairs,pair_aabb_tested,pair_aabb_skipped,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat,literature_P,expansion_order
037e_w5_f64_anchor,13170768,m13h-1-1,wake,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,5 5 5,14.436,14.389,0.045,0.335,14.61,0.062,-0.616,,0.912,1.095,2.269,1.076,13.227,0.482,0.0,0.0,0.0,0.003,3.2992e-04,5.3592e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,0.2,1968,2.64,true,5,4
037e_w5_f64_paabb,13170768,m13h-1-1,wake,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,true,5 5 5,16.004,15.936,0.045,0.334,16.585,0.063,-1.023,,0.953,1.098,2.302,1.086,13.608,0.413,0.0,0.0,0.0,0.003,3.2992e-04,5.3592e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,0.2,1968,2.76,true,5,4
037e_w6_f32_anchor,13170768,m13h-1-1,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,6 6 6,103.473,83.597,0.379,1.171,108.108,0.577,-6.762,,3.402,1.355,4.979,1.349,94.138,0.661,0.0,0.0,0.0,0.003,2.9893e-04,4.8376e-05,2.8695e-03,true,6048,7168,2269736,401888,13415775910,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,2.34,9900,7.32,true,5,4
037e_w6_f32_paabb,13170768,m13h-1-1,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,true,6 6 6,111.83,91.742,0.371,1.174,113.548,0.571,-3.834,,3.976,1.353,5.729,1.346,104.043,0.662,0.0,0.0,0.0,0.003,2.9893e-04,4.8379e-05,2.8695e-03,true,6048,7168,2269736,401888,13415775910,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,2.23,9900,13.67,true,5,4
037e_w6_f64_anchor,13170768,m13h-1-1,wake,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,6 6 6,258.826,234.077,0.402,1.308,249.735,0.863,6.518,,7.662,1.362,10.34,1.35,269.038,0.767,0.0,0.0,0.0,0.003,2.9898e-04,4.8379e-05,2.8695e-03,true,6048,7168,2269736,401888,13415784610,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,0.48,10960,15.07,true,5,4
037e_w6_f64_paabb,13170768,m13h-1-1,wake,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,true,6 6 6,252.745,217.657,0.406,1.328,245.082,0.909,5.02,,8.386,1.365,11.548,1.355,224.475,0.769,0.0,0.0,0.0,0.003,2.9898e-04,4.8379e-05,2.8695e-03,true,6048,7168,2269736,401888,13415784610,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,0.44,10960,16.07,true,5,4
037e_r5_f32_anchor,13170768,m13h-1-1,rotor,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,5 5 5,12.541,11.43,0.044,0.437,11.671,0.05,0.338,,0.742,1.076,1.013,1.069,10.758,0.384,0.0,0.0,0.0,0.003,4.4068e-04,4.0345e-03,5.0824e-05,true,655,879,100780,32749,1231324486,,,13035,13035,8444,32768,0 8 16 32 168 655,32 352 9888 90508,1.97,1440,9.2,true,5,4
037e_r5_f32_paabb,13170768,m13h-1-1,rotor,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,true,5 5 5,13.201,12.382,0.045,0.457,12.884,0.052,-0.237,,0.742,1.078,1.011,1.067,11.45,0.399,0.0,0.0,0.0,0.003,4.4068e-04,4.0347e-03,5.0836e-05,true,655,879,100780,32749,1231324486,,,13035,13035,8444,32768,0 8 16 32 168 655,32 352 9888 90508,1.95,1440,2.51,true,5,4
037e_r5_f64_anchor,13170768,m13h-1-1,rotor,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,5 5 5,22.777,20.981,0.045,0.467,22.605,0.064,-0.404,,1.404,1.099,1.791,1.081,21.779,0.445,0.0,0.0,0.0,0.003,4.3689e-04,4.0371e-03,5.0860e-05,true,655,879,100780,32749,1231335658,,,13035,13035,8444,32768,0 8 16 32 168 655,32 352 9888 90508,0.21,1968,2.6,true,5,4
037e_r5_f64_paabb,13170768,m13h-1-1,rotor,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,true,5 5 5,25.912,23.952,0.046,0.484,26.266,0.064,-0.948,,1.445,1.097,1.805,1.083,21.53,0.424,0.0,0.0,0.0,0.003,4.3689e-04,4.0371e-03,5.0860e-05,true,655,879,100780,32749,1231335658,,,13035,13035,8444,32768,0 8 16 32 168 655,32 352 9888 90508,0.21,1968,2.73,true,5,4
037e_r6_f32_anchor,13170768,m13h-1-1,rotor,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,6 6 6,256.279,241.794,0.367,1.258,276.965,0.401,-22.711,,4.711,1.39,2.726,1.373,265.436,0.733,0.0,0.0,0.0,0.003,6.9383e-04,4.8917e-02,4.6482e-05,true,2003,2885,397538,67703,26679448650,,,21673,21673,15267,262144,0 8 16 32 168 658 2003,32 352 9888 91058 296208,2.49,9900,7.23,true,5,4
037e_r6_f32_paabb,13170768,m13h-1-1,rotor,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,true,6 6 6,262.264,247.695,0.367,1.238,256.414,0.398,3.847,,4.631,1.359,2.579,1.349,268.903,0.658,0.0,0.0,0.0,0.003,6.9387e-04,4.8918e-02,4.7347e-05,true,2003,2885,397538,67703,26679448650,,,21673,21673,15267,262144,0 8 16 32 168 658 2003,32 352 9888 91058 296208,2.41,9900,13.51,true,5,4
037e_r6_f64_anchor,13170768,m13h-1-1,rotor,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,6 6 6,594.032,531.77,0.368,1.317,632.05,0.71,-40.413,,9.934,1.373,5.368,1.351,586.607,0.848,0.0,0.0,0.0,0.007,8.6378e-05,5.8102e-03,4.2937e-05,true,2003,2885,397538,67703,26679444310,,,21673,21673,15267,262144,0 8 16 32 168 658 2003,32 352 9888 91058 296208,0.8,10960,14.54,true,5,4
037e_r6_f64_paabb,13170768,m13h-1-1,rotor,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,true,6 6 6,585.465,519.043,0.368,1.364,573.623,0.709,9.401,,10.566,1.37,5.438,1.357,588.982,0.701,0.0,0.0,0.0,0.003,8.6378e-05,5.8102e-03,4.2937e-05,true,2003,2885,397538,67703,26679444310,,,21673,21673,15267,262144,0 8 16 32 168 658 2003,32 352 9888 91058 296208,0.81,10960,15.89,true,5,4
