label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,status,message,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat
c5_p_e4q17_f64,13134906,m13h-1-1,cube,100000,partitioned,Float64,4,17,uniform,concat,256,default,ok,,45.832,45.763,0.045,0.334,45.889,0.065,-0.5,,,,,,,,,,,,9.3471e-04,8.4214e-06,5.2346e-03,true,2744,3329,2539784,587920,4096,,,0.08,39132,2.32,true
c5_r_e3q16_f32,13134906,m13h-1-1,cube,100000,regularized,Float32,3,16,uniform,concat,256,default,ok,,51.383,50.982,0.046,0.267,50.65,0.056,0.363,,,,,,,,,,,,5.6514e-04,6.2473e-06,1.6778e-03,true,512,585,173808,71200,512,,,0.07,6808,2.01,true
c5_r_e4q17_f32,13134906,m13h-1-1,cube,100000,regularized,Float32,4,17,uniform,concat,256,default,ok,,37.557,37.413,0.046,0.308,37.432,0.055,-0.284,,,,,,,,,,,,9.3478e-04,8.3432e-06,5.2290e-03,true,2744,3329,2539784,587920,4096,,,0.07,38604,1.67,true
c5_r_e3q16_f64,13134906,m13h-1-1,cube,100000,regularized,Float64,3,16,uniform,concat,256,default,ok,,93.967,93.659,0.047,0.273,93.693,0.063,-0.109,,,,,,,,,,,,5.6514e-04,6.2478e-06,1.6779e-03,true,512,585,173808,71200,512,,,0.12,7336,1.95,true
c5_p_e3q16_dense_f32,13134906,m13h-1-1,cube,100000,partitioned,Float32,3,16,uniform,dense,256,default,ok,,29.133,28.583,0.044,0.344,28.624,0.055,0.066,,,,,,,,,,,,5.6575e-04,6.1183e-06,1.7048e-03,true,512,585,173808,71200,512,,,8.77,1312,1.67,true
c5_p_e3q16_py_f32,13134906,m13h-1-1,cube,100000,partitioned,Float32,3,16,uniform,precomputed_y,256,default,ok,,38.298,37.664,0.046,0.346,37.655,0.055,0.196,,,,,,,,,,,,5.6575e-04,6.1186e-06,1.7048e-03,true,512,585,173808,71200,512,,,7.37,6808,1.14,true
c5_p_e4q17_dense_f32,13134906,m13h-1-1,cube,100000,partitioned,Float32,4,17,uniform,dense,256,default,ok,,12.233,12.195,0.046,0.329,11.802,0.055,0.001,,,,,,,,,,,,9.3469e-04,8.4211e-06,5.2345e-03,true,2744,3329,2539784,587920,4096,,,2.45,1328,1.39,true
c5_p_e4q17_py_f32,13134906,m13h-1-1,cube,100000,partitioned,Float32,4,17,uniform,precomputed_y,256,default,ok,,27.767,27.684,0.046,0.327,27.103,0.057,0.233,,,,,,,,,,,,9.3470e-04,8.4215e-06,5.2345e-03,true,2744,3329,2539784,587920,4096,,,0.06,38604,1.39,true
c5_p_e3q16_dense_f64,13134906,m13h-1-1,cube,100000,partitioned,Float64,3,16,uniform,dense,256,default,ok,,42.806,42.213,0.047,0.361,42.233,0.063,0.102,,,,,,,,,,,,5.6574e-04,6.1185e-06,1.7048e-03,true,512,585,173808,71200,512,,,6.66,1840,1.26,true
c5_p_e3q16_K64_f32,13134906,m13h-1-1,cube,100000,partitioned,Float32,3,16,uniform,concat,64,default,ok,,59.374,59.046,0.05,0.358,60.292,0.058,-1.383,,,,,,,,,,,,5.6575e-04,6.1187e-06,1.7048e-03,true,512,585,173808,71200,512,,,0.08,6804,1.2,true
