label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,rho_c,gh_mode,status,message,leaf_q,rectangular,twopass_aabb,pair_aabb,ell_axes,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,direct_body_pairs,twopass_candidate_pairs,twopass_shell_pairs,nf_mixed_pairs,pair_aabb_tested,pair_aabb_skipped,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat,literature_P,expansion_order
f37f_cu5f_anchor,13170769,m13h-1-1,cube,100000,partitioned,Float32,4,12,uniform,dense,256,3.668,default,shipped,ok,,12,false,false,false,4 4 4,11.306,11.269,0.049,0.703,10.89,0.056,-0.392,,0.712,0.843,4.428,0.839,5.449,0.557,0.0,0.0,0.0,0.003,6.8060e-04,4.0544e-06,3.8824e-03,true,2744,3328,1800440,367744,544848018,,,365000,365000,30170,4096,0 8 64 512 2744,752 160192 1639496,55.25,1328,1.07,true,5,4
f37f_cu5f_reduced,13170769,m13h-1-1,cube,100000,partitioned,Float32,4,12,uniform,dense,256,3.668,default,reduced,ok,,12,false,false,false,4 4 4,11.333,11.314,0.047,0.331,10.933,0.057,-0.036,,0.713,0.854,4.433,0.846,5.431,0.362,0.0,0.0,0.0,0.003,6.8060e-04,4.0546e-06,3.8824e-03,true,2744,3328,1800440,367744,544848018,,,365000,365000,30170,4096,0 8 64 512 2744,752 160192 1639496,3.94,1328,1.39,true,5,4
f37f_cu5f_lut,13170769,m13h-1-1,cube,100000,partitioned,Float32,4,12,uniform,dense,256,3.668,default,lut,ok,,12,false,false,false,4 4 4,10.951,10.935,0.046,0.316,10.538,0.055,-0.003,,0.712,0.83,4.434,0.825,5.062,0.364,0.0,0.0,0.0,0.003,6.8045e-04,4.0556e-06,3.8823e-03,true,2744,3328,1800440,367744,544848018,,,365000,365000,30170,4096,0 8 64 512 2744,752 160192 1639496,3.94,1328,1.39,true,5,4
f37f_cu5d_anchor,13170769,m13h-1-1,cube,100000,partitioned,Float64,4,12,uniform,dense,256,3.668,default,shipped,ok,,12,false,false,false,4 4 4,20.97,20.96,0.046,0.332,20.551,0.064,-0.024,,1.249,0.865,8.432,0.847,10.78,0.514,0.0,0.0,0.0,0.003,6.8059e-04,4.0540e-06,3.8824e-03,true,2744,3328,1800440,367744,544848018,,,365000,365000,30170,4096,0 8 64 512 2744,752 160192 1639496,18.56,1856,1.45,true,5,4
f37f_cu5d_reduced,13170769,m13h-1-1,cube,100000,partitioned,Float64,4,12,uniform,dense,256,3.668,default,reduced,ok,,12,false,false,false,4 4 4,20.747,20.714,0.045,0.325,20.314,0.063,0.001,,1.25,0.848,8.436,0.832,10.538,0.406,0.0,0.0,0.0,0.003,6.8059e-04,4.0542e-06,3.8824e-03,true,2744,3328,1800440,367744,544848018,,,365000,365000,30170,4096,0 8 64 512 2744,752 160192 1639496,0.81,1856,1.54,true,5,4
f37f_cu5d_fp32,13170769,m13h-1-1,cube,100000,partitioned,Float64,4,12,uniform,dense,256,3.668,default,fp32,ok,,12,false,false,false,4 4 4,19.633,19.617,0.045,0.321,19.243,0.063,-0.039,,1.249,0.853,8.442,0.837,9.4,0.384,0.0,0.0,0.0,0.003,6.8059e-04,4.0540e-06,3.8824e-03,true,2744,3328,1800440,367744,544848018,,,365000,365000,30170,4096,0 8 64 512 2744,752 160192 1639496,0.8,1856,1.54,true,5,4
f37f_cu5d_rfp32,13170769,m13h-1-1,cube,100000,partitioned,Float64,4,12,uniform,dense,256,3.668,default,reduced_fp32,ok,,12,false,false,false,4 4 4,19.622,19.605,0.046,0.327,19.198,0.063,-0.013,,1.25,0.845,8.437,0.833,9.36,0.438,0.0,0.0,0.0,0.003,6.8058e-04,4.0542e-06,3.8824e-03,true,2744,3328,1800440,367744,544848018,,,365000,365000,30170,4096,0 8 64 512 2744,752 160192 1639496,0.78,1856,1.54,true,5,4
f37f_cu5d_lut,13170769,m13h-1-1,cube,100000,partitioned,Float64,4,12,uniform,dense,256,3.668,default,lut,ok,,12,false,false,false,4 4 4,19.906,19.837,0.045,0.321,19.827,0.063,-0.351,,1.249,0.846,8.435,0.832,9.567,0.442,0.0,0.0,0.0,0.003,6.8046e-04,4.0553e-06,3.8823e-03,true,2744,3328,1800440,367744,544848018,,,365000,365000,30170,4096,0 8 64 512 2744,752 160192 1639496,0.78,1856,1.57,true,5,4
f37f_cu6f_anchor,13170769,m13h-1-1,cube,1000000,partitioned,Float32,5,12,uniform,dense,256,3.668,default,shipped,ok,,12,false,false,false,5 5 5,102.211,102.11,0.37,0.894,100.369,0.562,0.015,,5.727,1.11,28.955,1.175,65.704,0.89,0.0,0.0,0.0,0.003,7.0782e-04,2.5377e-06,3.8519e-03,true,21950,25278,21920096,3414506,8059108290,,,2384012,2384012,87585,32768,0 8 64 512 2744 21950,752 160192 1639496 20119656,3.88,9004,3.6,true,5,4
f37f_cu6f_reduced,13170769,m13h-1-1,cube,1000000,partitioned,Float32,5,12,uniform,dense,256,3.668,default,reduced,ok,,12,false,false,false,5 5 5,101.802,101.78,0.368,0.887,100.021,0.562,-0.036,,5.723,1.109,28.95,1.114,65.256,0.734,0.0,0.0,0.0,0.003,7.0781e-04,2.5377e-06,3.8519e-03,true,21950,25278,21920096,3414506,8059108290,,,2384012,2384012,87585,32768,0 8 64 512 2744 21950,752 160192 1639496 20119656,4.06,9004,5.57,true,5,4
f37f_cu6f_lut,13170769,m13h-1-1,cube,1000000,partitioned,Float32,5,12,uniform,dense,256,3.668,default,lut,ok,,12,false,false,false,5 5 5,95.148,95.087,0.37,0.903,93.318,0.564,-0.007,,5.728,1.118,28.943,1.125,58.54,0.704,0.0,0.0,0.0,0.004,7.0789e-04,2.5381e-06,3.8518e-03,true,21950,25278,21920096,3414506,8059108290,,,2384012,2384012,87585,32768,0 8 64 512 2744 21950,752 160192 1639496 20119656,3.95,9004,5.67,true,5,4
f37f_cu6d_anchor,13170769,m13h-1-1,cube,1000000,partitioned,Float64,5,12,uniform,dense,256,3.668,default,shipped,ok,,12,false,false,false,5 5 5,207.515,207.353,0.368,1.039,205.372,0.846,-0.11,,9.837,1.124,53.375,1.129,142.367,0.694,0.0,0.0,0.0,0.003,7.0780e-04,2.5389e-06,3.8518e-03,true,21950,25278,21920096,3414506,8059110648,,,2384012,2384012,87586,32768,0 8 64 512 2744 21950,752 160192 1639496 20119656,0.63,10064,6.32,true,5,4
f37f_cu6d_reduced,13170769,m13h-1-1,cube,1000000,partitioned,Float64,5,12,uniform,dense,256,3.668,default,reduced,ok,,12,false,false,false,5 5 5,203.91,203.748,0.369,1.043,201.705,0.849,-0.056,,9.851,1.122,53.357,1.129,139.067,0.692,0.0,0.0,0.0,0.003,7.0780e-04,2.5389e-06,3.8518e-03,true,21950,25278,21920096,3414506,8059110648,,,2384012,2384012,87586,32768,0 8 64 512 2744 21950,752 160192 1639496 20119656,0.62,10064,6.6,true,5,4
f37f_cu6d_fp32,13170769,m13h-1-1,cube,1000000,partitioned,Float64,5,12,uniform,dense,256,3.668,default,fp32,ok,,12,false,false,false,5 5 5,188.228,188.145,0.371,1.031,186.097,0.849,-0.119,,9.84,1.124,53.368,1.129,124.033,0.697,0.0,0.0,0.0,0.003,7.0780e-04,2.5387e-06,3.8518e-03,true,21950,25278,21920096,3414506,8059110648,,,2384012,2384012,87586,32768,0 8 64 512 2744 21950,752 160192 1639496 20119656,0.6,10064,6.6,true,5,4
f37f_cu6d_rfp32,13170769,m13h-1-1,cube,1000000,partitioned,Float64,5,12,uniform,dense,256,3.668,default,reduced_fp32,ok,,12,false,false,false,5 5 5,187.892,187.611,0.371,1.028,185.683,0.847,-0.036,,9.819,1.128,53.355,1.131,123.615,0.708,0.0,0.0,0.0,0.003,7.0780e-04,2.5387e-06,3.8518e-03,true,21950,25278,21920096,3414506,8059110648,,,2384012,2384012,87586,32768,0 8 64 512 2744 21950,752 160192 1639496 20119656,0.6,10064,6.54,true,5,4
f37f_cu6d_lut,13170769,m13h-1-1,cube,1000000,partitioned,Float64,5,12,uniform,dense,256,3.668,default,lut,ok,,12,false,false,false,5 5 5,191.012,190.74,0.369,1.025,188.774,0.847,-0.003,,9.815,1.127,53.376,2.028,125.313,0.686,0.0,0.0,0.0,0.003,7.0788e-04,2.5393e-06,3.8517e-03,true,21950,25278,21920096,3414506,8059110648,,,2384012,2384012,87586,32768,0 8 64 512 2744 21950,752 160192 1639496 20119656,0.6,10064,6.67,true,5,4
f37f_wa5f_anchor,13170769,m13h-1-1,wake,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,5 5 5,7.841,7.795,0.045,0.326,7.421,0.055,-0.007,,0.482,1.089,1.27,1.079,5.415,0.397,0.0,0.0,0.0,0.003,3.2988e-04,5.3594e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,1.8,1440,4.1,true,5,4
f37f_wa5f_reduced,13170769,m13h-1-1,wake,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,reduced,ok,,6,false,false,false,5 5 5,7.811,7.781,0.045,0.326,7.369,0.056,0.016,,0.484,1.089,1.269,1.076,5.412,0.398,0.0,0.0,0.0,0.003,3.2988e-04,5.3591e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,1.85,1440,2.48,true,5,4
f37f_wa5f_lut,13170769,m13h-1-1,wake,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,lut,ok,,6,false,false,false,5 5 5,7.549,7.529,0.046,0.333,7.126,0.055,-0.01,,0.485,1.086,1.269,1.069,5.074,0.354,0.0,0.0,0.0,0.003,3.2995e-04,5.3592e-05,2.4547e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,1.87,1440,2.45,true,5,4
f37f_wa5d_anchor,13170769,m13h-1-1,wake,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,5 5 5,14.425,14.37,0.045,0.334,13.998,0.064,-0.015,,0.915,1.105,2.276,1.091,11.031,0.399,0.0,0.0,0.0,0.003,3.2992e-04,5.3592e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,0.21,1968,2.6,true,5,4
f37f_wa5d_reduced,13170769,m13h-1-1,wake,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,reduced,ok,,6,false,false,false,5 5 5,14.207,14.199,0.045,0.336,13.78,0.063,-0.016,,0.903,1.106,2.27,1.091,10.814,0.393,0.0,0.0,0.0,0.003,3.2992e-04,5.3592e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,0.19,1968,2.76,true,5,4
f37f_wa5d_fp32,13170769,m13h-1-1,wake,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,fp32,ok,,6,false,false,false,5 5 5,13.378,13.343,0.047,0.341,12.925,0.063,0.003,,0.912,1.103,2.264,1.091,9.88,0.377,0.0,0.0,0.0,0.003,3.2991e-04,5.3592e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,0.19,1968,2.76,true,5,4
f37f_wa5d_rfp32,13170769,m13h-1-1,wake,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,reduced_fp32,ok,,6,false,false,false,5 5 5,13.351,13.307,0.045,0.336,12.913,0.064,-0.007,,0.906,1.11,2.267,1.095,9.882,0.402,0.0,0.0,0.0,0.003,3.2991e-04,5.3592e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,0.19,1968,2.76,true,5,4
f37f_wa5d_lut,13170769,m13h-1-1,wake,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,lut,ok,,6,false,false,false,5 5 5,14.013,13.949,0.046,0.336,13.582,0.063,-0.014,,0.916,1.111,2.262,1.093,10.352,0.407,0.0,0.0,0.0,0.003,3.2999e-04,5.3590e-05,2.4547e-03,true,896,1120,168200,48920,800541480,,,48920,48920,16,32768,0 8 16 32 168 896,32 352 9888 157928,0.2,1968,2.76,true,5,4
f37f_wa6f_anchor,13170769,m13h-1-1,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,6 6 6,83.558,83.503,0.369,1.011,81.656,0.563,-0.042,,3.359,1.359,4.937,1.349,73.883,0.652,0.0,0.0,0.0,0.003,2.9893e-04,4.8378e-05,2.8695e-03,true,6048,7168,2269736,401888,13415775910,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,2.4,9900,7.32,true,5,4
f37f_wa6f_reduced,13170769,m13h-1-1,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,reduced,ok,,6,false,false,false,6 6 6,83.156,83.105,0.367,1.027,81.27,0.562,-0.071,,3.361,1.36,4.931,1.352,73.501,0.659,0.0,0.0,0.0,0.003,2.9893e-04,4.8376e-05,2.8695e-03,true,6048,7168,2269736,401888,13415775910,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,2.26,9900,13.67,true,5,4
f37f_wa6f_lut,13170769,m13h-1-1,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,lut,ok,,6,false,false,false,6 6 6,79.993,79.928,0.369,1.001,78.05,0.561,0.012,,3.358,1.357,4.938,1.346,70.323,0.642,0.0,0.0,0.0,0.003,2.9894e-04,4.8377e-05,2.8695e-03,true,6048,7168,2269736,401888,13415775910,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,2.16,9900,13.67,true,5,4
f37f_wa6d_anchor,13170769,m13h-1-1,wake,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,shipped,ok,,6,false,false,false,6 6 6,178.823,178.427,0.37,1.167,176.535,0.855,-0.103,,6.449,1.384,9.05,1.372,163.895,0.708,0.0,0.0,0.0,0.003,2.9898e-04,4.8379e-05,2.8695e-03,true,6048,7168,2269736,401888,13415784610,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,0.44,10960,15.04,true,5,4
f37f_wa6d_reduced,13170769,m13h-1-1,wake,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,reduced,ok,,6,false,false,false,6 6 6,176.902,176.513,0.37,1.155,174.504,0.851,0.023,,6.452,1.379,9.036,1.369,162.043,0.694,0.0,0.0,0.0,0.003,2.9898e-04,4.8379e-05,2.8695e-03,true,6048,7168,2269736,401888,13415784610,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,0.43,10960,16.14,true,5,4
f37f_wa6d_fp32,13170769,m13h-1-1,wake,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,fp32,ok,,6,false,false,false,6 6 6,166.45,166.007,0.369,1.144,163.967,0.851,0.119,,6.394,1.373,9.049,1.364,151.861,0.701,0.0,0.0,0.0,0.003,2.9897e-04,4.8379e-05,2.8695e-03,true,6048,7168,2269736,401888,13415784610,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,0.42,10960,16.1,true,5,4
f37f_wa6d_rfp32,13170769,m13h-1-1,wake,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,reduced_fp32,ok,,6,false,false,false,6 6 6,166.228,165.979,0.37,1.147,164.156,0.85,-0.295,,6.403,1.379,9.047,1.37,151.741,0.71,0.0,0.0,0.0,0.003,2.9897e-04,4.8379e-05,2.8695e-03,true,6048,7168,2269736,401888,13415784610,,,401888,401888,3428,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,0.42,10960,16.07,true,5,4
