label,job,host,case,n,tf,literature_P,expansion_order,ell,q,kernel,rho_t,rho_c,rectangular,gh_mode,component_semantics,reference_checksum,reference_u_rel,reference_j_rel,u_cutoff_rel,u_fmm_rel,u_total_rel,u_triangle_rel,u_correlation,u_cancellation_ratio,u_identity_rel,u_triangle_pass,j_cutoff_rel,j_fmm_rel,j_total_rel,j_triangle_rel,j_correlation,j_cancellation_ratio,j_identity_rel
f37fd_cu5_shipped,13170769,m13h-1-1,cube,100000,Float32,5,4,4,12,partitioned,3.668,,false,shipped,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.00040522010471564964,0.000680597565619339,0.0009610274936360317,-0.022005039576184396,0.7081978092471728,0.0,true,0.0027426652134906965,0.0026930525946787134,0.0038824044984032123,0.0054357178081694095,0.02019457191395268,0.7142395237236739,1.886691144564769e-21
f37fd_cu5_shipped,13170769,m13h-1-1,cube,100000,Float64,5,4,4,12,partitioned,3.668,,false,shipped,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.00040521379983484183,0.0006805945242298938,0.000961021188755224,-0.022003229021080793,0.7081992907060076,0.0,true,0.0027426652134906965,0.002693050912510542,0.003882401915305485,0.005435716126001239,0.02019384009828901,0.7142392695480139,1.886691144564769e-21
f37fd_cu5_reduced,13170769,m13h-1-1,cube,100000,Float32,5,4,4,12,partitioned,3.668,,false,reduced,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.00040523418185943087,0.0006806010884175195,0.0009610415707798129,-0.022018957017597124,0.7081911013123636,0.0,true,0.0027426652134906965,0.002693042594659747,0.0038823878632870006,0.005435707808150443,0.0201895490138389,0.714237777362802,1.886691144564769e-21
f37fd_cu5_reduced,13170769,m13h-1-1,cube,100000,Float64,5,4,4,12,partitioned,3.668,,false,reduced,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0004052105049337537,0.0006805869069459816,0.0009610178938541358,-0.0220204984968101,0.708193792538562,0.0,true,0.0027426652134906965,0.002693038487822665,0.0038823866238548365,0.005435703701313362,0.020190425705072738,0.7142380889739784,1.886691144564769e-21
f37fd_cu5_fp32,13170769,m13h-1-1,cube,100000,Float32,5,4,4,12,partitioned,3.668,,false,fp32,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.00040521605122707555,0.0006805975349431279,0.0009610234401474576,-0.02199805938899525,0.7082007644253696,0.0,true,0.0027426652134906965,0.0026930499865887372,0.0038824011729296603,0.005435715200079434,0.020193794422870105,0.714239254638088,1.886691144564769e-21
f37fd_cu5_fp32,13170769,m13h-1-1,cube,100000,Float64,5,4,4,12,partitioned,3.668,,false,fp32,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.00040521398676708593,0.0006805914465521173,0.000961021375687468,-0.022012855601389002,0.7081959504441357,0.0,true,0.0027426652134906965,0.0026930509397163145,0.0038823955411430673,0.005435716153207011,0.0201904795035768,0.7142380933287875,1.886691144564769e-21
f37fd_cu5_rfp32,13170769,m13h-1-1,cube,100000,Float32,5,4,4,12,partitioned,3.668,,false,reduced_fp32,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0004052139196062605,0.0006805930232918038,0.0009610213085266427,-0.022007973684879056,0.7081976406280024,0.0,true,0.0027426652134906965,0.0026930331926032333,0.0038823821805156196,0.00543569840609393,0.020190060517282726,0.7142379673167855,1.886691144564769e-21
f37fd_cu5_rfp32,13170769,m13h-1-1,cube,100000,Float64,5,4,4,12,partitioned,3.668,,false,reduced_fp32,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.00040521018392401423,0.000680582595738754,0.0009610175728443961,-0.022032966346482875,0.7081895430115627,0.0,true,0.0027426652134906965,0.002693037349091476,0.0038823784267132035,0.005435702562582172,0.020186540740636798,0.7142367305816898,1.886691144564769e-21
f37fd_cu5_lut,13170769,m13h-1-1,cube,100000,Float32,5,4,4,12,partitioned,3.668,,false,lut,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.000405047390847689,0.0006804553291665148,0.0009608547797680711,-0.02213356999662459,0.7081770768010974,0.0,true,0.0027426652134906965,0.002692892872007597,0.0038822799031019892,0.005435558085498293,0.02018851341925029,0.714237589229274,1.886691144564769e-21
f37fd_cu5_lut,13170769,m13h-1-1,cube,100000,Float64,5,4,4,12,partitioned,3.668,,false,lut,cutoff,82fe79cd3e2ae3078da9ab28ec386973ecd67d5f0fa353b245c1c6ba68bb4cbb,1.465050770587339e-15,2.587100809343683e-15,0.0005558073889203821,0.0004050330085281926,0.0006804554012272478,0.0009608403974485746,-0.022108261220075795,0.7081877521325456,0.0,true,0.0027426652134906965,0.0026928973454919108,0.003882285415331761,0.005435562558982606,0.02018974630064812,0.7142380155143356,1.886691144564769e-21
