label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,rho_c,status,message,leaf_q,rectangular,ell_axes,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,direct_body_pairs,twopass_candidate_pairs,twopass_shell_pairs,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat,literature_P,expansion_order
037a_w5_base_cubic,13166480,m13h-1-1,wake,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,ok,,6,false,5 5 5,7.764,7.722,0.044,0.326,7.384,0.054,-0.045,,0.485,1.04,1.268,1.092,5.385,0.381,0.0,0.0,0.0,0.003,3.2988e-04,5.3594e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,32768,0 8 16 32 168 896,32 352 9888 157928,51.05,1440,1.57,true,5,4
037a_w5_base_rect,13166480,m13h-1-1,wake,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,ok,,6,true,3 3 5,7.68,7.641,0.044,0.319,7.202,0.054,0.06,,0.489,0.807,1.269,0.797,5.409,0.315,0.0,0.0,0.0,0.003,3.2746e-04,5.3593e-05,2.4537e-03,true,896,1100,168170,48920,800541480,,,32768,0 0 4 32 168 896,2 352 9888 157928,1.97,1440,1.76,true,5,4
037a_w6_base_cubic,13166480,m13h-1-1,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,ok,,6,false,6 6 6,83.552,83.418,0.368,1.012,81.638,0.561,-0.028,,3.355,1.304,4.933,1.296,73.885,0.575,0.0,0.0,0.0,0.003,2.9893e-04,4.8378e-05,2.8695e-03,true,6048,7168,2269736,401888,13415775910,,,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,2.04,9900,7.26,true,5,4
037a_w6_base_rect,13166480,m13h-1-1,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,ok,,6,true,4 4 6,83.285,83.178,0.365,0.985,81.408,0.562,-0.035,,3.328,1.074,4.908,1.064,73.882,0.566,0.0,0.0,0.0,0.003,2.9652e-04,4.8376e-05,2.8704e-03,true,6048,7148,2269706,401888,13415784610,,,262144,0 0 4 32 168 896 6048,2 352 9888 157928 2101536,1.82,9900,8.35,true,5,4
037a_w5_tp_r300_e5,13166480,m13h-1-1,wake,100000,twopass,Float32,5,3,uniform,dense,256,3.0,2.0,ok,,3,true,3 3 5,8.544,8.522,0.045,0.314,8.113,0.056,0.017,,0.49,0.811,0.876,0.818,6.169,0.348,0.0,0.0,0.0,0.003,2.1870e-03,2.4671e-04,1.5357e-02,false,896,1100,86654,18696,313475222,800441480,51844870,32768,0 0 4 32 168 896,6 288 7776 78584,4.05,1440,2.23,true,5,4
037a_w5_tp_r320_e5,13166480,m13h-1-1,wake,100000,twopass,Float32,5,3,uniform,dense,256,3.2,2.0,ok,,3,true,3 3 5,8.615,8.584,0.043,0.313,8.195,0.055,0.008,,0.48,0.805,0.875,0.799,6.274,0.321,0.0,0.0,0.0,0.003,1.9242e-03,2.3328e-04,1.2961e-02,false,896,1100,86654,18696,313475222,800441480,66847708,32768,0 0 4 32 168 896,6 288 7776 78584,0.75,1440,1.2,true,5,4
037a_w5_tp_r340_e5,13166480,m13h-1-1,wake,100000,twopass,Float32,5,3,uniform,dense,256,3.4,2.0,ok,,3,true,3 3 5,8.683,8.654,0.045,0.312,8.235,0.054,0.037,,0.486,0.807,0.876,0.796,6.393,0.319,0.0,0.0,0.0,0.003,1.8019e-03,2.2699e-04,1.2263e-02,false,896,1100,86654,18696,313475222,800441480,83536098,32768,0 0 4 32 168 896,6 288 7776 78584,0.79,1440,1.14,true,5,4
037a_w5_tp_r350_e5,13166480,m13h-1-1,wake,100000,twopass,Float32,5,3,uniform,dense,256,3.5,2.0,ok,,3,true,3 3 5,8.805,8.131,0.044,0.314,8.346,0.054,0.047,,0.485,0.805,0.875,0.795,6.466,0.323,0.0,0.0,0.0,0.003,1.7683e-03,2.2554e-04,1.2166e-02,false,896,1100,86654,18696,313475222,800441480,92528230,32768,0 0 4 32 168 896,6 288 7776 78584,0.8,1440,1.14,true,5,4
037a_w5_tp_r3668_e5,13166480,m13h-1-1,wake,100000,twopass,Float32,5,3,uniform,dense,256,3.668,2.0,ok,,3,true,3 3 5,8.88,8.835,0.044,0.315,8.43,0.054,0.037,,0.484,0.805,0.876,0.796,6.547,0.319,0.0,0.0,0.0,0.003,1.7353e-03,2.2332e-04,1.2128e-02,false,896,1100,86654,18696,313475222,800441480,108625334,32768,0 0 4 32 168 896,6 288 7776 78584,0.79,1440,1.14,true,5,4
037a_w5_tp_p6_r340,13166480,m13h-1-1,wake,100000,twopass,Float32,5,3,uniform,dense,256,3.4,2.0,ok,,3,true,3 3 5,10.918,10.9,0.044,0.316,10.501,0.053,0.003,,0.826,0.804,2.564,0.795,6.699,0.326,0.0,0.0,0.0,0.003,8.0713e-04,1.6087e-04,5.1141e-03,true,896,1196,1100,86654,18696,313475222,800441480,83536098,32768,0 0 4 32 168 896,6 288 7776 78584,1.5,1440,1.1,true,6,5
