label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,rho_c,status,message,leaf_q,rectangular,twopass_aabb,ell_axes,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,direct_body_pairs,twopass_candidate_pairs,twopass_shell_pairs,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat,literature_P,expansion_order
037a_aabb_w5_base,13170168,m13h-2-2,wake,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,ok,,6,true,false,3 3 5,7.633,7.612,0.045,0.333,7.157,0.057,0.04,,0.493,0.809,1.269,0.8,5.45,0.398,0.0,0.0,0.0,0.003,3.2745e-04,5.3595e-05,2.4537e-03,true,896,1100,168170,48920,800541480,,,32768,0 0 4 32 168 896,2 352 9888 157928,50.78,1440,0.92,true,5,4
037a_aabb_w5_control,13170168,m13h-2-2,wake,100000,twopass,Float32,5,3,uniform,dense,256,3.4,2.0,ok,,3,true,false,3 3 5,10.948,10.924,0.044,0.316,10.482,0.058,0.047,,0.826,0.819,2.559,0.822,6.706,0.39,0.0,0.0,0.0,0.003,8.0714e-04,1.6087e-04,5.1141e-03,true,896,1100,86654,18696,313475222,800441480,83536098,32768,0 0 4 32 168 896,6 288 7776 78584,4.65,1440,1.1,true,6,5
037a_aabb_w5_pruned,13170168,m13h-2-2,wake,100000,twopass,Float32,5,3,uniform,dense,256,3.4,2.0,ok,,3,true,true,3 3 5,10.637,10.613,0.044,0.314,10.139,0.054,0.086,,0.83,0.805,2.559,0.794,6.45,0.326,0.0,0.0,0.0,0.003,8.0714e-04,1.6087e-04,5.1141e-03,true,896,1100,86654,18696,313475222,355391158,83536098,32768,0 0 4 32 168 896,6 288 7776 78584,1.67,1440,1.1,true,6,5
037a_aabb_w6_base,13170168,m13h-2-2,wake,1000000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,ok,,6,true,false,4 4 6,83.306,83.241,0.367,1.008,81.385,0.562,-0.015,,3.323,1.065,4.9,1.058,73.893,0.552,0.0,0.0,0.0,0.003,2.9652e-04,4.8376e-05,2.8704e-03,true,6048,7148,2269706,401888,13415784610,,,262144,0 0 4 32 168 896 6048,2 352 9888 157928 2101536,2.04,9900,2.04,true,5,4
037a_aabb_w6_control,13170168,m13h-2-2,wake,1000000,twopass,Float32,6,3,uniform,dense,256,3.4,2.0,ok,,3,true,false,4 4 6,99.987,99.867,0.37,1.016,98.061,0.561,-0.022,,5.584,1.085,8.456,1.067,77.563,0.592,0.0,0.0,0.0,0.003,6.7321e-04,1.2941e-04,5.2247e-03,true,6048,7148,908542,142720,4788769096,13414784610,947277218,262144,0 0 4 32 168 896 6048,6 288 7776 78584 821888,1.86,9900,3.01,true,6,5
037a_aabb_w6_pruned,13170168,m13h-2-2,wake,1000000,twopass,Float32,6,3,uniform,dense,256,3.4,2.0,ok,,3,true,true,4 4 6,87.12,87.068,0.369,0.992,85.224,0.561,-0.027,,5.59,1.063,8.425,1.058,66.382,0.55,0.0,0.0,0.0,0.003,6.7322e-04,1.2941e-04,5.2247e-03,true,6048,7148,908542,142720,4788769096,4728903217,947277218,262144,0 0 4 32 168 896 6048,6 288 7776 78584 821888,1.86,9900,3.01,true,6,5
