case,n,ell,q,status,n_cells,n_direct,cp1,cp2,cp3,bp1,bp2,bp3,tot_bp,mixed_pairs,pair_skip,pair_skip_frac,blk32_skip_frac,blk16_skip_frac,skip_bp32,skip_bp32_mixed_share,skip_bp32_total_share,sigma_max_min,sigma_max_med,sigma_max_max,e2_bp,e2_share
cube,100000,4,12,fail: ArgumentError: regularized nearfield near-set adequacy failed: the direct stencil leaves an M2L gap of g_min*h_leaf = 0.1467 but the smoothing cutoff needs rho_t*sigma_max = 0.158 (ratio 0.9284; g_min,,,,,,,,,,,,,,,,,,,,,,
cube,1000000,5,12,ok,32728,5184778,0,32728,5152050,0,35053702,5485963952,5521017654,5152050,62335,0.012099067361535699,0.07653702216794724,0.0818956149149011,125272126,0.022835025365839298,0.022690042642634883,0.020000000000000004,0.020000000000000004,0.020000000000000004,0,0.0
wake,100000,5,6,fail: ArgumentError: regularized nearfield near-set adequacy failed: the direct stencil leaves an M2L gap of g_min*h_leaf = 0.232 but the smoothing cutoff needs rho_t*sigma_max = 0.2494 (ratio 0.9305; g_min,,,,,,,,,,,,,,,,,,,,,,
wake,1000000,6,6,ok,8717,590119,0,0,590119,0,0,9304245174,9304245174,590119,1353,0.002292757901372435,0.01517275239133667,0.028470957668314593,29524490,0.0031732278597412637,0.0031732278597412637,0.03155367569301822,0.03155367569301822,0.03155367569301822,0,0.0
rotor,100000,5,6,ok,972,52766,32610,0,20156,509178038,0,357985430,867163468,20156,13911,0.6901666997420123,0.8677814505152635,0.8883693600210034,313686022,0.876253600600449,0.36173805006278237,0.0001752832390699364,0.001768781330952839,0.0031081442655012813,509178038,0.5871765322106489
rotor,1000000,6,6,ok,2061,47767,33774,0,13993,11889114690,0,7061395582,18950510272,13993,7618,0.5444150646751947,0.8491734337062465,0.8541529759669546,6040904728,0.8554831205602893,0.3187726684555632,1.753031480145538e-5,0.00016604325226359022,0.0003108238111949644,11889114690,0.6273770214813982
