label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,rho_c,status,message,leaf_q,rectangular,twopass_aabb,ell_axes,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,direct_body_pairs,twopass_candidate_pairs,twopass_shell_pairs,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat,literature_P,expansion_order
037bc_cu5_anchor_f32,13170520,m13h-1-2,cube,100000,partitioned,Float32,4,12,uniform,dense,256,3.668,default,ok,,12,false,false,4 4 4,11.343,11.286,0.046,0.319,10.901,0.056,0.021,34.789,0.711,0.819,4.429,0.81,5.453,1.054,0.0,0.0,0.0,0.003,6.8060e-04,4.0548e-06,3.8824e-03,true,2744,3328,1800440,367744,544848018,,,4096,0 8 64 512 2744,752 160192 1639496,55.53,1328,1.07,true,5,4
037bc_cu5_anchor_f64,13170520,m13h-1-2,cube,100000,partitioned,Float64,4,12,uniform,dense,256,3.668,default,ok,,12,false,false,4 4 4,21.033,20.945,0.045,0.33,21.009,0.066,-0.417,64.279,1.248,0.825,8.429,0.81,10.785,0.491,0.0,0.0,0.0,0.003,6.8059e-04,4.0540e-06,3.8824e-03,true,2744,3328,1800440,367744,544848018,,,4096,0 8 64 512 2744,752 160192 1639496,18.77,1856,1.45,true,5,4
037bc_wa5_anchor_f32,13170520,m13h-1-2,wake,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,ok,,6,false,false,5 5 5,7.849,7.827,0.045,0.313,7.422,0.056,0.012,24.124,0.487,1.049,1.271,1.042,5.412,0.463,0.0,0.0,0.0,0.003,3.2988e-04,5.3595e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,32768,0 8 16 32 168 896,32 352 9888 157928,1.78,1440,1.95,true,5,4
037bc_wa5_anchor_f64,13170520,m13h-1-2,wake,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,ok,,6,false,false,5 5 5,14.43,14.401,0.049,0.33,13.987,0.064,0.0,43.835,0.91,1.129,2.282,1.091,11.092,0.472,0.0,0.0,0.0,0.003,3.2992e-04,5.3592e-05,2.4548e-03,true,896,1120,168200,48920,800541480,,,32768,0 8 16 32 168 896,32 352 9888 157928,0.21,1968,2.6,true,5,4
037bc_wa6_anchor_f64,13170520,m13h-1-2,wake,1000000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,ok,,6,false,false,6 6 6,179.024,178.595,0.372,1.159,176.638,0.86,-0.004,,6.424,1.339,9.046,1.32,164.185,0.721,0.0,0.0,0.0,0.003,2.9898e-04,4.8379e-05,2.8695e-03,true,6048,7168,2269736,401888,13415784610,,,262144,0 8 16 32 168 896 6048,32 352 9888 157928 2101536,0.44,10960,9.48,true,5,4
037bc_wa6_tp_l7q6_r30_f64,13170520,m13h-1-2,wake,1000000,twopass,Float64,7,6,uniform,dense,256,3.0,2.0,ok,,6,false,true,7 7 7,196.447,196.227,0.373,2.784,192.515,0.858,-0.084,,18.042,1.607,52.672,1.806,121.365,2.382,0.0,0.0,0.0,0.003,4.6991e-04,5.2823e-05,1.3086e-02,true,42259,49427,21055886,3093265,1896340690,1996194659,580434930,2097152,0 8 16 32 168 896 6048 42259,32 352 9888 157928 2101536 18786150,5.23,9936,35.7,true,5,4
037bc_ro5_anchor_f32,13170520,m13h-1-2,rotor,100000,partitioned,Float32,5,6,uniform,dense,256,3.668,default,ok,,6,false,false,5 5 5,12.331,11.651,0.045,0.444,11.835,0.052,-0.045,37.018,0.745,1.046,1.008,1.038,10.693,0.486,0.0,0.0,0.0,0.003,4.4067e-04,4.0345e-03,5.0825e-05,true,655,879,100780,32749,1231324486,,,32768,0 8 16 32 168 655,32 352 9888 90508,1.94,1440,28.01,true,5,4
037bc_ro5_anchor_f64,13170520,m13h-1-2,rotor,100000,partitioned,Float64,5,6,uniform,dense,256,3.668,default,ok,,6,false,false,5 5 5,22.943,21.199,0.046,0.456,23.951,0.063,-1.573,68.675,1.359,1.068,1.775,1.055,19.188,0.503,0.0,0.0,0.0,0.003,4.3689e-04,4.0371e-03,5.0860e-05,true,655,879,100780,32749,1231335658,,,32768,0 8 16 32 168 655,32 352 9888 90508,0.21,1968,2.7,true,5,4
037bc_ro5_pa_l6q6_f32,13170520,m13h-1-2,rotor,100000,partitioned,Float32,6,6,uniform,dense,256,3.668,default,ok,,6,false,false,6 6 6,7.006,6.966,0.044,0.325,6.589,0.051,-0.003,26.164,0.809,1.315,2.625,1.304,3.543,0.493,0.0,0.0,0.0,0.003,5.4102e-04,5.5799e-03,5.1527e-05,true,2043,2922,410062,70451,267825374,,,262144,0 8 16 32 168 655 2043,32 352 9888 90508 309282,1.93,2336,4.1,true,5,4
037bc_ro5_pa_l6q6_f64,13170520,m13h-1-2,rotor,100000,partitioned,Float64,6,6,uniform,dense,256,3.668,default,ok,,6,false,false,6 6 6,11.491,11.463,0.045,0.337,11.055,0.062,-0.009,39.69,1.394,1.336,4.638,1.32,6.117,0.509,0.0,0.0,0.0,0.003,5.3775e-04,5.5734e-03,5.1410e-05,true,2043,2922,410062,70451,267826160,,,262144,0 8 16 32 168 655 2043,32 352 9888 90508 309282,0.2,2864,5.79,true,5,4
