host,gpu,variant,precision,P,lh,n,ell,routes,n_direct,nonempty_classes,max_class,mean_class,n_angle_classes,nonempty_angle_classes,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-2-2,NVIDIA H200,concat,Float64,4,false,150,3,1684,15216,0,0,0.0,0,0,27036.455334,134217728,207618048,0.10361599561292678,0.6182399811223149,0.28201600071042776,0.5987840122543275,0.10976000339724123,80,4.257037,1241280,6.450759343357149e-9,3.4986016214308413e-7
m13h-2-2,NVIDIA H200,factored,Float64,4,false,150,3,1684,15216,928,7,1.8146551724137931,0,0,857.841088,33554432,102760448,0.10083200322696939,0.6291519966907799,0.05715199949918315,0.6104000494815409,0.11062400153605267,0,4.367679,1076368,6.450759315601573e-9,3.49860162150023e-7
m13h-2-2,NVIDIA H200,precomputed_y,Float64,4,false,150,3,1684,15216,928,7,1.8146551724137931,209,199,1271.200396,33554432,102760448,0.10012800339609385,0.6077759899199009,0.041663999581942335,0.5871359608136117,0.10953599849017337,0,4.134457,1078768,6.450759315601573e-9,3.4986016214308413e-7
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,4,false,150,3,1684,15216,928,7,1.8146551724137931,209,199,8.299985,33554432,102760448,0.09945599595084786,0.6077759899199009,30.0509762018919,0.6031999946571887,0.11119999544462189,0,35.293901000000005,7449040,6.450759315601573e-9,3.4986016214308413e-7
m13h-2-2,NVIDIA H200,precomputed_y,Float32,4,false,150,3,1684,15216,928,7,1.8146551724137931,209,199,5421.262049,123731968,192937984,0.06566400406882167,0.5902079865336418,0.03868800195050426,0.5859839729964733,0.08697599696461111,0,4.007575999999999,1073840,2.740033408499265e-8,8.553542014677618e-7
m13h-2-2,NVIDIA H200,concat,Float64,4,true,150,3,1122,16302,0,0,0.0,0,0,1146.188239,167772160,236978176,0.080672005424276,1.3904960360378027,0.593440025113523,1.3665599981322885,0.13046400272287428,160,6.572814,1631304,NaN,1.442912745258651e-7
m13h-2-2,NVIDIA H200,factored,Float64,4,true,150,3,1122,16302,696,5,1.6120689655172413,0,0,391.385266,67108864,136314880,0.07929599814815447,1.3043199433013797,0.1228159962920472,1.276864088140428,0.12675199832301587,0,5.675379,1375584,NaN,1.442912745189262e-7
m13h-2-2,NVIDIA H200,precomputed_y,Float64,4,true,150,3,1122,16302,696,5,1.6120689655172413,181,171,405.303304,67108864,136314880,0.07900800119386986,1.2989758979529142,0.10521599324420094,1.272799912840128,0.12710399460047483,0,5.708239000000001,1376432,NaN,1.442912745189262e-7
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,4,true,150,3,1122,16302,696,5,1.6120689655172413,181,171,10.657913,67108864,136314880,0.07923199882498011,1.30944000557065,64.79071825742722,1.3463359791785479,0.12799999967683107,0,72.319102,15965616,NaN,1.442912745189262e-7
m13h-2-2,NVIDIA H200,precomputed_y,Float32,4,true,150,3,1122,16302,696,5,1.6120689655172413,181,171,1420.610809,33554432,102760448,0.05196799975237809,1.3446719385683537,0.10569600271992385,1.3423999771475792,0.09996799781220034,0,5.894473,1367808,NaN,1.198984422412508e-6
m13h-2-2,NVIDIA H200,concat,Float64,8,false,150,3,11900,5000,0,0,0.0,0,0,17.507773,167772160,236978176,0.5486720474436879,0.616671983152628,0.2843200054485351,0.6013119709677994,0.561152002774179,80,4.91992,1241568,3.546098414908272e-10,2.5811966911093442e-8
