host,gpu,variant,precision,P,lh,n,ell,routes,n_direct,nonempty_classes,max_class,mean_class,n_angle_classes,nonempty_angle_classes,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-2-2,NVIDIA H200,concat,Float64,8,false,20000,3,192480,69664,0,0,0.0,0,0,28363.085231,1040187392,1113587712,11.264735832810402,0.6099200109019876,3.161791944876313,0.5948799662292004,13.298303820192814,160,30.66849,1738720,1.8891836706114162e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,factored,Float64,8,false,20000,3,192480,69664,3124,256,61.613316261203586,0,0,911.996878,268435456,337641472,11.217503808438778,0.5999039858579636,2.1257279440760612,0.5832960014231503,13.337439857423306,0,29.639018999999998,1538112,1.8891836706114162e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,precomputed_y,Float64,8,false,20000,3,192480,69664,3124,256,61.613316261203586,387,387,1326.338862,268435456,337641472,11.209472082555294,0.611967989243567,1.1663999175652862,0.6000639987178147,13.28659150749445,0,28.739423,1537536,1.8891836706114162e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,8,false,20000,3,192480,69664,3124,256,61.613316261203586,387,387,33.277642,268435456,337641472,11.20975986123085,0.6143359933048487,97.95123338699341,0.622431980445981,13.322719372808933,0,118.86688600000001,23052768,1.8891838093892943e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,concat,Float64,8,true,20000,3,192480,69664,0,0,0.0,0,0,1176.36128,2516582400,2585788416,11.547040194272995,1.2977600563317537,6.7132157273590565,1.2730560265481472,19.40895989537239,320,41.216939,2143536,NaN,1.0464450582534784e-8
m13h-2-2,NVIDIA H200,factored,Float64,8,true,20000,3,192480,69664,3124,256,61.613316261203586,0,0,398.991501,536870912,606076928,11.549919843673706,1.301727956160903,5.24159986525774,1.2730879243463278,19.47161741554737,0,39.776647999999994,1870864,NaN,1.0464450577330614e-8
m13h-2-2,NVIDIA H200,precomputed_y,Float64,8,true,20000,3,192480,69664,3124,256,61.613316261203586,387,387,447.409337,536870912,606076928,11.596575379371643,1.3332159724086523,3.0810239259153605,1.2940479209646583,19.409054890275,0,37.605857,1865440,NaN,1.0464450584269508e-8
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,8,true,20000,3,192480,69664,3124,256,61.613316261203586,387,387,45.809756,536870912,606076928,11.54982391744852,1.400320092216134,280.95367550849915,1.3058240292593837,19.43436823785305,0,317.867906,67932800,NaN,1.0464450584269508e-8
m13h-2-2,NVIDIA H200,concat,Float64,12,false,20000,3,230616,31528,0,0,0.0,0,0,29.867294,2013265920,2082471936,42.93910041451454,0.6049919757060707,8.99824034422636,0.5924479919485748,45.6765741109848,160,101.18790399999999,1727872,2.4663382447442928e-11,3.2731141824671184e-9
m13h-2-2,NVIDIA H200,factored,Float64,12,false,20000,3,230616,31528,3282,320,70.26691042047533,0,0,39.7738,503316480,572522496,42.94265806674957,0.6076800054870546,6.018432322889566,0.5910720210522413,45.710496604442596,0,98.234459,1629216,2.4663382447442928e-11,3.2731141824671184e-9
m13h-2-2,NVIDIA H200,precomputed_y,Float64,12,false,20000,3,230616,31528,3282,320,70.26691042047533,387,387,115.846278,536870912,606076928,42.91955009102821,0.6159360054880381,3.174335928633809,0.6100159953348339,45.64479738473892,0,95.410883,1627216,2.4663382447442928e-11,3.2731141824671184e-9
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,12,false,20000,3,230616,31528,3282,320,70.26691042047533,387,387,92.020038,536870912,606076928,42.93225333094597,0.6237120251171291,100.48463940620422,0.6128960521891713,45.65638303756714,0,188.651056,24226848,2.4663382447442928e-11,3.273114196344906e-9
m13h-2-2,NVIDIA H200,concat,Float64,12,true,20000,3,222648,39496,0,0,0.0,0,0,46.016727,5066719232,5135925248,41.73235222697258,1.2984639033675194,17.888128757476807,1.2754240306094289,59.87728014588356,320,123.493201,2133200,NaN,1.2386041255141311e-9
m13h-2-2,NVIDIA H200,factored,Float64,12,true,20000,3,222648,39496,3252,280,68.4649446494465,0,0,47.097458,1040187392,1109393408,41.75148904323578,1.2965439818799496,13.721728697419167,1.2715519405901432,59.88812819123268,0,119.477503,1977696,NaN,1.2386041237794077e-9
m13h-2-2,NVIDIA H200,precomputed_y,Float64,12,true,20000,3,222648,39496,3252,280,68.4649446494465,387,387,115.597741,1073741824,1142947840,41.69811308383942,1.3326400658115745,7.782879751175642,1.2981119798496366,59.962719678878784,0,113.592373,1969136,NaN,1.2386041168405137e-9
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,12,true,20000,3,222648,39496,3252,280,68.4649446494465,387,387,115.379122,1073741824,1142947840,41.694626212120056,1.3037760509178042,307.60350823402405,1.292607979848981,59.97369810938835,0,402.238111,70757536,NaN,1.2386041237794077e-9
