host,gpu,variant,precision,P,lh,n,ell,routes,n_direct,nonempty_classes,max_class,mean_class,n_angle_classes,nonempty_angle_classes,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-2-2,NVIDIA H200,concat,Float64,8,false,20000,3,192480,69664,0,0,0.0,0,0,27481.331921,1040187392,1113587712,11.251680552959442,0.6489279912784696,3.173088189214468,0.6215999601408839,13.316960074007511,160,30.829563,1738720,1.8891836706114162e-10,1.3024267234151843e-8
m13h-2-2,NVIDIA H200,factored,Float64,8,false,20000,3,192480,69664,3124,256,61.613316261203586,0,0,878.467453,100663296,169869312,11.22838445007801,0.6137280142866075,2.525151940062642,0.590080046094954,13.312608003616333,0,30.164972000000002,1597440,1.8891836706114162e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,precomputed_y,Float64,8,false,20000,3,192480,69664,3124,256,61.613316261203586,387,387,1305.771157,100663296,169869312,11.209376156330109,0.6134719587862492,1.3871999690309167,0.6037120474502444,13.322016224265099,0,29.000004999999998,1583472,1.8891836706114162e-10,1.3024267234151843e-8
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,8,false,20000,3,192480,69664,3124,256,61.613316261203586,387,387,31.285667,100663296,169869312,11.246912181377411,0.6225600372999907,94.71651166677475,0.6639680359512568,13.327008113265038,0,118.50921000000001,23052768,1.8891839481671724e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,concat,Float64,8,true,20000,3,192480,69664,0,0,0.0,0,0,1211.889647,2516582400,2585788416,11.545920744538307,1.3285760069265962,6.71542389318347,1.3088320847600698,19.399743527173996,320,41.107466,2143536,NaN,1.0464450580800061e-8
m13h-2-2,NVIDIA H200,factored,Float64,8,true,20000,3,192480,69664,3124,256,61.613316261203586,0,0,402.469334,167772160,236978176,11.568736284971237,1.321535906754434,6.225535646080971,1.3133439933881164,19.415007904171944,0,40.821232,2067136,NaN,1.0464450580800061e-8
m13h-2-2,NVIDIA H200,precomputed_y,Float64,8,true,20000,3,192480,69664,3124,256,61.613316261203586,387,387,448.972666,201326592,270532608,11.516320519149303,1.3543360400944948,3.597759874537587,1.3213440543040633,19.39462497830391,0,38.054544,2033488,NaN,1.0464450579065337e-8
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,8,true,20000,3,192480,69664,3124,256,61.613316261203586,387,387,40.746152,201326592,270532608,11.513824574649334,1.4001280069351196,273.9202678203583,1.309216022491455,19.383136183023453,0,312.95218600000004,67932800,NaN,1.0464450582534784e-8
m13h-2-2,NVIDIA H200,concat,Float64,12,false,20000,3,230616,31528,0,0,0.0,0,0,29.553939,2013265920,2082471936,42.86230355501175,0.6309120217338204,9.00432001799345,0.6154239526949823,45.599743723869324,160,101.120059,1727872,2.4663382447442928e-11,3.2731141824671184e-9
m13h-2-2,NVIDIA H200,factored,Float64,12,false,20000,3,230616,31528,3282,320,70.26691042047533,0,0,41.684257,201326592,270532608,42.8764782845974,0.6114559946581721,6.748576182872057,0.5999039858579636,45.606400817632675,0,99.011595,1701728,2.4663382447442928e-11,3.2731141824671184e-9
m13h-2-2,NVIDIA H200,precomputed_y,Float64,12,false,20000,3,230616,31528,3282,320,70.26691042047533,387,387,130.936975,201326592,270532608,42.84966364502907,0.6306880386546254,3.4988480620086193,0.6171519635245204,45.682113617658615,0,94.991084,1683296,2.4663382447442928e-11,3.2731141824671184e-9
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,12,false,20000,3,230616,31528,3282,320,70.26691042047533,387,387,89.936907,201326592,270532608,42.850494384765625,0.6325119757093489,96.76115214824677,0.6084160413593054,45.568160712718964,0,186.95071399999998,24226848,2.4663382447442928e-11,3.273114196344906e-9
m13h-2-2,NVIDIA H200,concat,Float64,12,true,20000,3,222648,39496,0,0,0.0,0,0,46.288651,5066719232,5135925248,41.66233539581299,1.3144960394129157,17.880704253911972,1.2878079432994127,59.88015979528427,320,123.67563299999999,2133200,NaN,1.2386041255141311e-9
m13h-2-2,NVIDIA H200,factored,Float64,12,true,20000,3,222648,39496,3252,280,68.4649446494465,0,0,45.816792,335544320,404750336,41.68924689292908,1.3138880021870136,15.285887755453587,1.294399960897863,59.893857687711716,0,121.060128,2195776,NaN,1.238604128983578e-9
m13h-2-2,NVIDIA H200,precomputed_y,Float64,12,true,20000,3,222648,39496,3252,280,68.4649446494465,387,387,112.486057,369098752,438304768,41.64739325642586,1.3558720238506794,8.555743843317032,1.3184319250285625,59.8968006670475,0,114.359085,2155856,NaN,1.2386041168405137e-9
m13h-2-2,NVIDIA H200,precomputed_y_perclass,Float64,12,true,20000,3,222648,39496,3252,280,68.4649446494465,387,387,112.133775,369098752,438304768,41.63756966590881,1.3171839527785778,298.48524928092957,1.322047901339829,59.89593639969826,0,397.62289899999996,70757536,NaN,1.2386041185752372e-9
