config,n,ell,policy,P,lamb_helmholtz,routes,list_seconds,form,seconds,seconds_per_route
tiny_parent,256,2,parent,1,false,3096,6.580270e-04,concat_host,9.690810e-04,3.130107e-07
tiny_parent,256,2,parent,1,false,3096,6.580270e-04,route_recurrence,7.383024e-03,2.384698e-06
tiny_parent,256,2,parent,1,true,3096,6.580270e-04,concat_host,3.228317e-03,1.042738e-06
tiny_parent,256,2,parent,1,true,3096,6.580270e-04,route_recurrence,8.925453e-03,2.882898e-06
tiny_parent,256,2,parent,2,false,3096,7.578540e-04,concat_host,2.202379e-03,7.113627e-07
tiny_parent,256,2,parent,2,false,3096,7.578540e-04,route_recurrence,8.175534e-03,2.640676e-06
tiny_parent,256,2,parent,2,true,3096,7.578540e-04,concat_host,6.194241e-03,2.000724e-06
tiny_parent,256,2,parent,2,true,3096,7.578540e-04,route_recurrence,1.044617e-02,3.374086e-06
tiny_parent,256,2,parent,3,false,3096,3.955830e-04,concat_host,3.887135e-03,1.255535e-06
tiny_parent,256,2,parent,3,false,3096,3.955830e-04,route_recurrence,9.263669e-03,2.992141e-06
tiny_parent,256,2,parent,3,true,3096,3.955830e-04,concat_host,1.050962e-02,3.394580e-06
tiny_parent,256,2,parent,3,true,3096,3.955830e-04,route_recurrence,1.288130e-02,4.160626e-06
tiny_parent,256,2,parent,4,false,3096,4.863340e-04,concat_host,6.392854e-03,2.064875e-06
tiny_parent,256,2,parent,4,false,3096,4.863340e-04,route_recurrence,1.116579e-02,3.606523e-06
tiny_parent,256,2,parent,4,true,3096,4.863340e-04,concat_host,1.619771e-02,5.231818e-06
tiny_parent,256,2,parent,4,true,3096,4.863340e-04,route_recurrence,1.641164e-02,5.300918e-06
tiny_parent,256,2,parent,6,false,3096,4.719270e-04,concat_host,1.399179e-02,4.519312e-06
tiny_parent,256,2,parent,6,false,3096,4.719270e-04,route_recurrence,1.756825e-02,5.674499e-06
tiny_parent,256,2,parent,6,true,3096,4.719270e-04,concat_host,3.389774e-02,1.094888e-05
tiny_parent,256,2,parent,6,true,3096,4.719270e-04,route_recurrence,2.653575e-02,8.570978e-06
tiny_parent,256,2,parent,8,false,3096,4.775270e-04,concat_host,2.631913e-02,8.501011e-06
tiny_parent,256,2,parent,8,false,3096,4.775270e-04,route_recurrence,3.041562e-02,9.824166e-06
tiny_parent,256,2,parent,8,true,3096,4.775270e-04,concat_host,6.292636e-02,2.032505e-05
tiny_parent,256,2,parent,8,true,3096,4.775270e-04,route_recurrence,4.346894e-02,1.404036e-05
small_constp,2048,3,constp,1,false,8,7.555946e-03,concat_host,6.255250e-06,7.819063e-07
small_constp,2048,3,constp,1,false,8,7.555946e-03,route_recurrence,2.007080e-05,2.508850e-06
small_constp,2048,3,constp,1,true,8,7.555946e-03,concat_host,1.691680e-05,2.114600e-06
small_constp,2048,3,constp,1,true,8,7.555946e-03,route_recurrence,2.454910e-05,3.068638e-06
small_constp,2048,3,constp,2,false,59334,1.132694e-02,concat_host,4.194903e-02,7.069981e-07
small_constp,2048,3,constp,2,false,59334,1.132694e-02,route_recurrence,1.584861e-01,2.671085e-06
small_constp,2048,3,constp,2,true,59334,1.132694e-02,concat_host,1.267815e-01,2.136743e-06
small_constp,2048,3,constp,2,true,59334,1.132694e-02,route_recurrence,2.031340e-01,3.423569e-06
small_constp,2048,3,constp,3,false,144290,1.169232e-02,concat_host,2.023295e-01,1.402242e-06
small_constp,2048,3,constp,3,false,144290,1.169232e-02,route_recurrence,4.407286e-01,3.054464e-06
small_constp,2048,3,constp,3,true,144290,1.169232e-02,concat_host,5.380470e-01,3.728928e-06
small_constp,2048,3,constp,3,true,144290,1.169232e-02,route_recurrence,6.087591e-01,4.218997e-06
small_constp,2048,3,constp,4,false,31254,1.134481e-02,concat_host,6.738871e-02,2.156163e-06
small_constp,2048,3,constp,4,false,31254,1.134481e-02,route_recurrence,1.140430e-01,3.648908e-06
small_constp,2048,3,constp,4,true,31254,1.134481e-02,concat_host,1.749923e-01,5.599038e-06
small_constp,2048,3,constp,4,true,31254,1.134481e-02,route_recurrence,1.642950e-01,5.256767e-06
small_constp,2048,3,constp,6,false,144290,6.549850e-03,concat_host,7.093359e-01,4.916043e-06
small_constp,2048,3,constp,6,false,144290,6.549850e-03,route_recurrence,8.245645e-01,5.714634e-06
small_constp,2048,3,constp,6,true,144290,6.549850e-03,concat_host,1.714123e+00,1.187971e-05
small_constp,2048,3,constp,6,true,144290,6.549850e-03,route_recurrence,1.285208e+00,8.907116e-06
small_constp,2048,3,constp,8,false,15492,1.887377e-02,concat_host,1.404680e-01,9.067134e-06
small_constp,2048,3,constp,8,false,15492,1.887377e-02,route_recurrence,1.524566e-01,9.840987e-06
small_constp,2048,3,constp,8,true,15492,1.887377e-02,concat_host,3.281553e-01,2.118224e-05
small_constp,2048,3,constp,8,true,15492,1.887377e-02,route_recurrence,2.172796e-01,1.402528e-05
medium_constp,20000,4,constp,2,false,12177052,6.089743e-01,concat_host,8.699822e+00,7.144440e-07
medium_constp,20000,4,constp,2,false,12177052,6.089743e-01,route_recurrence,3.868120e+01,3.176565e-06
medium_constp,20000,4,constp,2,true,12177052,6.089743e-01,concat_host,2.648655e+01,2.175120e-06
medium_constp,20000,4,constp,2,true,12177052,6.089743e-01,route_recurrence,4.808135e+01,3.948521e-06
medium_constp,20000,4,constp,4,false,11433838,6.051870e-01,concat_host,2.603058e+01,2.276626e-06
