layout,precision,blas_threads,P_phi,P_active,batch,ndof_phi,ndof_chi,gemms_per_stagepass,seconds,seconds_per_expansion
ragged,Float64,64,2,3,64,9,16,10,3.396880e-05,5.307625e-07
padded,Float64,64,2,3,64,16,16,10,4.239670e-05,6.624484e-07
padded_merged,Float64,64,2,3,64,16,16,5,4.078660e-05,6.372906e-07
ragged,Float64,64,2,3,4096,9,16,10,3.231733e-03,7.889973e-07
padded,Float64,64,2,3,4096,16,16,10,4.119211e-03,1.005667e-06
padded_merged,Float64,64,2,3,4096,16,16,5,3.971593e-03,9.696272e-07
ragged,Float64,64,4,5,64,25,36,10,9.912600e-05,1.548844e-06
padded,Float64,64,4,5,64,36,36,10,1.211870e-04,1.893547e-06
padded_merged,Float64,64,4,5,64,36,36,5,1.157770e-04,1.809016e-06
ragged,Float64,64,4,5,4096,25,36,10,7.392622e-03,1.804839e-06
padded,Float64,64,4,5,4096,36,36,10,8.137141e-03,1.986607e-06
padded_merged,Float64,64,4,5,4096,36,36,5,5.192396e-02,1.267675e-05
ragged,Float64,64,8,9,64,81,100,10,6.900670e-04,1.078230e-05
padded,Float64,64,8,9,64,100,100,10,6.576660e-04,1.027603e-05
padded_merged,Float64,64,8,9,64,100,100,5,5.163300e-04,8.067656e-06
ragged,Float64,64,8,9,4096,81,100,10,1.889658e-01,4.613422e-05
padded,Float64,64,8,9,4096,100,100,10,1.289163e-01,3.147370e-05
padded_merged,Float64,64,8,9,4096,100,100,5,8.432654e-02,2.058753e-05
ragged,Float64,64,12,13,64,169,196,10,2.410819e-03,3.766905e-05
padded,Float64,64,12,13,64,196,196,10,3.763980e-03,5.881219e-05
padded_merged,Float64,64,12,13,64,196,196,5,1.771277e-03,2.767620e-05
ragged,Float64,64,12,13,4096,169,196,10,7.425663e-02,1.812906e-05
padded,Float64,64,12,13,4096,196,196,10,7.730807e-02,1.887404e-05
padded_merged,Float64,64,12,13,4096,196,196,5,8.203905e-02,2.002907e-05
ragged,Float64,64,20,21,64,441,484,10,1.031472e-01,1.611675e-03
padded,Float64,64,20,21,64,484,484,10,9.782240e-02,1.528475e-03
padded_merged,Float64,64,20,21,64,484,484,5,4.906431e-02,7.666299e-04
ragged,Float64,64,20,21,4096,441,484,10,2.167617e-01,5.292034e-05
padded,Float64,64,20,21,4096,484,484,10,2.262429e-01,5.523510e-05
padded_merged,Float64,64,20,21,4096,484,484,5,2.475246e-01,6.043082e-05
