case,n_target,n_actual,seed,sampler_seed,samples,host,timestamp,index,ux,uy,uz,j11,j21,j31,j12,j22,j32,j13,j23,j33
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,96,-0.026331464201706484,-0.6478177861065388,1.0909032440629292,-0.6994564572114941,-0.08186389598063043,-0.3647348152970379,-0.08186389598063769,-2.710179074543777,-8.973359732361327,0.3886586823691022,9.561944798615537,3.409635531755308
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,105,-0.027097014512163196,-0.399599751749641,0.047788242863224605,-0.3909129779394126,0.07249437000290937,-0.9421005681357004,0.0724943700029224,0.6732458357361578,-13.893159815861972,0.8981836491047261,13.245516883298334,-0.28233285779674544
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,113,0.041976107017214076,0.6190217721574335,-0.2067409152458609,0.5896601049369964,-0.16674354230948307,-0.7923183880607537,-0.1667435423095055,-1.8580004536000558,-11.684321571058243,0.7312731716502534,10.784087587267106,1.2683403486630647
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,114,0.02758697168820428,0.406825151648444,-0.4077672037473266,0.37972634865554705,-0.13523941074553633,-0.6972113534101131,-0.1352394107455543,-1.6054789975716242,-10.28177785470206,0.7875767640234062,11.614396827601537,1.2257526489160895
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,126,0.0438643151210431,0.6468671825513697,1.0909032440629323,0.7053629281623343,0.13617299950991985,-0.6075941220453256,0.13617299950989017,2.7042726035929485,-8.960192283355825,0.6474477373295022,9.547913663758058,-3.40963553175531
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,130,0.06602282268449433,0.9736387579780065,0.08706613163356365,0.9525573358331227,-0.18317644200667513,-0.7676811105576022,-0.18317644200669428,-1.7363249209724327,-11.320995568128035,0.34646776417041303,5.109361124990454,0.7837675851393056
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,141,-0.06602282268449432,-0.9736387579780061,0.08706613163356114,-0.9525573358331222,0.1831764420066748,-0.7676811105576007,0.18317644200669508,1.736324920972447,-11.32099556812803,0.34646776417041275,5.109361124990455,-0.7837675851393231
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,176,0.07870277026363803,0.82780232226345,0.8774253265488274,0.8919306979497925,0.14904391893634433,-0.9880688777071593,0.14904391893631047,2.4454168528390294,-10.392591122045332,0.726192778864464,7.638156404676038,-3.3373475507888393
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,182,0.05368902835463362,0.5647056921015235,-0.5420966164164817,0.49647762973515125,-0.36122848914459954,-0.6267178873579613,-0.36122848914461814,-3.268610276182853,-6.591871173290064,0.805397388262444,8.471237112940624,2.772132646447738
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,194,-0.06136499474305759,-0.6454421487811056,1.0909032440629283,-0.7142009723560246,-0.19008268416929913,-0.8500078025232565,-0.19008268416928192,-2.6954345593992315,-8.94045318244568,0.9057619362799617,9.52687982594185,3.409635531755303
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,220,-0.054866245840332575,-0.44796408832341444,0.9136295041789124,-0.48096261699969967,-0.05425853443893257,-1.557935755289936,-0.05425853443891429,-0.9173194126928231,-12.72001135845679,1.559811703146769,12.73532782960491,1.398282029692524
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,229,0.10825475082144256,0.8838629291227709,-0.1605945790971554,0.8050936238711063,-0.4640763903266756,-1.2267715126529766,-0.4640763903267006,-2.9270913445188804,-10.01616884534035,0.7116996588004121,5.8107837329057475,2.121997720647744
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,237,-0.0912416031963698,-0.744956411123404,-0.3738674902182718,-0.6500602123488369,0.5136856018344924,-1.0194719004480184,0.5136856018345184,3.481090868824436,-8.32363857706868,0.8638341086699611,7.0529093621446135,-2.831030656475601
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,271,0.02099098247117187,0.13987802269208197,1.327718973728964,0.16850397613817447,0.09189427896129344,-1.007850963928632,0.09189427896129196,0.7670714521816924,-6.71603628826145,1.8169964191492296,12.107954770494482,-0.935575428319858
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,295,5.036881420847697e-18,3.8733122612044646e-17,0.21733735880836177,6.550783407475308e-17,2.620516650897464e-16,-2.5837334534479712,1.1561152697073945e-17,7.318364664277155e-18,-14.525249366511453,2.517509319796483,14.152950105499736,-1.4913200882538113e-16
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,319,-0.02801449007008828,-0.1574920406749614,1.046054931170878,-0.17732915126778961,-0.04304950341791352,-2.141243437110621,-0.04304950341791162,-0.4116875341942876,-12.037656143257442,2.413581596152417,13.568688559476543,0.5890166854620728
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,320,0.024771095572928753,0.13925830460503438,1.3277189737289663,0.1739179574911495,0.1079624030184696,-1.1893475012440098,0.10796240301846965,0.7616574708287163,-6.686281441281174,2.144206066401532,12.054311471682954,-0.9355754283198561
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,328,0.13143891656685236,0.7389241475547009,-0.3738674902182722,0.5824125369801485,-0.7340023547560964,-1.4686094651016204,-0.7340023547561041,-3.413443193455719,-8.256238147999518,1.2444040367496458,6.9957986271225385,2.8310306564756074
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,342,-0.07219604882413429,-0.40587221218502134,1.2460271889365333,-0.49832625155837074,-0.28262660734923767,-1.3333241560856333,-0.2826266073492335,-2.036925060175757,-7.495690326605549,1.9710286189864694,11.080741382630835,2.5352513117341
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,349,-0.03286264506855956,-0.15955797445804404,-0.18557163740008004,-0.13523552156875068,0.11236370649456524,-2.6069633468149576,0.11236370649456355,0.3871814045840668,-12.657587063864174,2.7257165860578887,13.23416957188808,-0.25194588301531323
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,376,0.17963082778782527,0.8721614152558838,-0.1605945790971584,0.7054314916150718,-0.7598630583048976,-2.0356241241352033,-0.7598630583048961,-2.827429212262852,-9.883564190506625,1.1809476986141414,5.733854421597795,2.121997720647761
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,385,-0.17963082778782521,-0.8721614152558836,-0.16059457909715852,-0.7054314916150715,0.7598630583048994,-2.035624124135203,0.7598630583048959,2.827429212262852,-9.88356419050663,1.1809476986141425,5.7338544215978,-2.121997720647761
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,417,-0.036499851600016314,-0.15574439111258,1.046054931170876,-0.18267053076194742,-0.05546644454510873,-2.7898086846669004,-0.055466444545109864,-0.40634615470012847,-11.904077300792032,3.144635860359817,13.418120235379272,0.5890166854620745
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,466,-0.040703928879674584,-0.15469888397661138,1.0460549311708776,-0.185837443318688,-0.06143987530439764,-3.111140711830412,-0.06143987530439965,-0.4031792421433903,-11.82416560910174,3.5068371185515095,13.328044821702315,0.5890166854620741
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,468,0.10489795921249766,0.3986739773835663,1.24602718893653,0.554184496735739,0.4033622256840636,-1.9372664462955345,0.4033622256840645,1.9810668149983774,-7.362752575879951,2.8638254177144047,10.884221946582313,-2.5352513117340925
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,473,0.24831760793467061,0.9437530448914064,0.08706613163356196,0.7892701265346522,-0.6677956094732211,-2.887315768688878,-0.6677956094732072,-1.5730377116739906,-10.973499104340648,1.3030955497980423,4.952529960057749,0.7837675851393215
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,483,-0.226585250836147,-0.8611572984399628,-0.1605945790971574,-0.6129209532076315,0.9463934242662023,-2.567724084198343,0.9463934242661932,2.734918673855393,-9.75886262379234,1.4896403574497699,5.661510010624012,-2.121997720647752
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,500,0.04487815277635936,0.15353991641665318,1.046054931170875,0.18932310634715593,0.06723309232346923,-3.430190942673252,0.06723309232346977,0.39969357911492,-11.73558174855755,3.8664663657751115,13.22819425271968,-0.5890166854620739
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,512,-0.21490323300312286,-0.735240253702018,0.37584595190743425,-0.693580873488106,0.27794495198456526,-3.8360494069068665,0.277944951984568,0.17610113773176164,-13.124129868752036,2.9417631040825354,10.064542169756157,0.5174797357563459
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,527,0.03357664578407604,0.11487450058225988,-0.716933452647594,0.0357525789770297,-0.25479671832679746,-1.2304860360174814,-0.25479671832679596,-0.7614992540369229,-4.2098150532948395,2.908749708359372,9.951594695174919,0.7257466750598963
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,592,0.13301358579276126,0.377785118537508,0.047788242863222204,0.27737487706295366,-0.33643291168842737,-4.624574957838005,-0.3364329116884363,-0.5597077348597062,-13.134715436921477,4.408995973125319,12.522428114476229,0.282332857796749
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,599,0.1498825407679263,0.42569631585555096,0.9136295041789138,0.5239102311350664,0.14085444361578697,-4.2559385243086,0.14085444361577806,0.8743717985574558,-12.087714426399613,4.261063202092168,12.10226953362702,-1.3982820296925285
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,603,0.2060519438211161,0.585228625763291,-0.2067409152458627,0.32851230647386565,-0.7738258218144168,-3.889325513635121,-0.7738258218144226,-1.5968526551369266,-11.046460340441433,3.5896672938482714,10.195371217415206,1.2683403486630676
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,689,0.15730013574317092,0.37975612107429013,0.3928343805760746,0.3258356210284266,-0.21760904655871194,-5.6285559553267905,-0.21760904655871266,-0.10938247208899536,-13.588536123925673,5.209656249433105,12.577222772683214,-0.21645314893943274
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,704,-0.05430842604312688,-0.13111213870445348,-0.5137688583965256,-0.02180241372266145,0.2714359087188248,-3.600759426372994,0.27143590871882634,0.52106940371499,-8.693002241992428,4.681341124275805,11.30175723232162,-0.4992669899923249
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,722,0.1350173630081266,0.3259607489300735,-0.6579500735480384,-0.06167746488463211,-0.9376408013016535,-1.984827544398303,-0.937640801301654,-1.9369590674879527,-4.791797576658057,3.7100624083202787,8.956882983417335,1.9986365323725719
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,727,-0.28721279702184155,-0.6933930298572378,-0.373867490218274,-0.08955530322801862,1.5050706314658306,-3.2091213410911354,1.5050706314658284,2.9205859597036303,-7.747504264963121,2.719200472398521,6.5647306592758286,-2.831030656475615
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,806,-0.3310208462972768,-0.6907871086924233,0.3758459519074337,-0.5820700773425012,0.40224081361955394,-5.908763229699886,0.4022408136195482,0.06459034158615821,-12.330635707839463,4.531271580755398,9.456032841989318,0.5174797357563422
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,818,0.3243311165691544,0.6768267218813918,-0.37386749021827154,-0.0819942446321316,-1.6589746022712413,-3.6238563133481922,-1.6589746022712293,-2.7490364118434694,-7.562403555594932,3.070619883700103,6.4078883704191885,2.8310306564756025
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,850,0.06477016691875637,0.12627202196945192,-0.513768858396525,-0.025686784350910846,-0.3117735971425413,-4.294394186553319,-0.3117735971425438,-0.47358020564141756,-8.372092629468124,5.583134480498506,10.884543198170416,0.49926698999232544
ring,10000,11368,33025,33026,512,m12-1-29,2026-08-05T00:29:46,858,-0.0730079808306582,-0.14233196852738766,1.0460549311708776,-0.2216792396323938,-0.10139104693392115,-5.580250056996701,-0.1013910469339198,-0.36733744582968736,-10.878919899588357,6.2899848779781555,12.262576221176449,0.5890166854620735
