case,n_target,n_actual,seed,sampler_seed,samples,host,timestamp,index,ux,uy,uz,j11,j21,j31,j12,j22,j32,j13,j23,j33
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,7983,4.168706392013364,4.400830895604435,2.059552586451383,-68404.89950583976,-5.638477306314646e6,2.894027664965099e6,5.713578894586588e6,25586.762856061807,5.647034770461443e6,-2.8954571657055626e6,-5.545782192622114e6,42818.13664978682
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,9292,-16.420217447932416,-26.039396190345826,-22.67242706362659,67899.30601709892,-5.40949848629777e6,-1.0803202977615315e6,5.447966408287942e6,-106022.91810201676,5.7195633849604055e6,1.1971228175148256e6,-5.757283183646185e6,38123.612084930566
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,9302,-4.951334328436404,8.574376630802497,-3.1612489226953766,34610.41225866747,-5.645287522055754e6,-1.195131001583707e6,5.60231612839247e6,-29971.455580735754,5.890450881966642e6,1.2387738540870873e6,-5.991456390767073e6,-4638.956677937946
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,12391,-11.27799774231712,-0.6121921622295526,2.3078741385512913,-3778.5493590998585,-4.844418051341059e6,-4.675330901629693e6,4.906671488818044e6,-43757.16640926584,-1.298806439034914e6,4.649180552467541e6,1.2843322138711931e6,47535.71576836338
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,13534,9.47735052395215,16.22379513975219,3.2442554935188865,16992.21788229166,-4.780038867024527e6,-3.056196149870728e6,4.758917031502443e6,26276.40082727427,-3.516513061735583e6,3.003545264997603e6,3.4316971024418157e6,-43268.618709567025
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,17245,-22.94398127948113,-4.602940904867274,10.616173859686466,14206.631618623689,-4.050743417917477e6,3.562837350587316e6,3.9776350703163217e6,9007.436535909048,-1.1789877449678504e6,-3.5912854153967407e6,1.2288271785707392e6,-23214.06815453119
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,17280,-4.580947223547887,-4.80043546657672,5.304471501678059,42149.56481513478,-4.07859069151764e6,3.6000703530474068e6,4.196791068563299e6,-6503.66551089671,-1.1604965385977128e6,-3.4722138126016343e6,1.1305767352113212e6,-35645.89930423817
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,20785,1.5508699487157172,-6.26145782323735,1.2498466263742067,-20772.94658617127,-3.6849553517190153e6,66873.26160028542,3.654352040282013e6,-3658.332427928307,3.27779762637437e6,-60040.975704860706,-3.3635961432668776e6,24431.27901409876
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,21519,15.070640839973073,35.19787418016669,23.370941266245293,77519.72621367287,-3.3034357110933675e6,-977379.7939378401,3.379517923680074e6,-110846.74254348119,2.785076630943087e6,1.0650995319268801e6,-2.7043846590097374e6,33327.01632980502
rotor,1000000,1000000,33025,33026,512,mecsrs-MacBook-Pro-188.local,2026-08-13T22:26:37,25367,-16.278716572920178,-7.479551110187678,5.574976806720305,-18638.43050413128,-3.3645667015895024e6,-1.9826893570390851e6,3.315795310731086e6,44271.54370621539,-2.0872416701975942e6,1.8911834799777102e6,1.9915720692621204e6,-25633.113202084776
