case,n_target,n_actual,seed,sampler_seed,samples,host,timestamp,index,ux,uy,uz,j11,j21,j31,j12,j22,j32,j13,j23,j33
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,1,-0.008699852349751258,-0.008269211423435497,0.016063793089393066,-0.007109166261332394,0.025782982891023192,0.07423069842396014,-0.022787657426219153,0.004470696232891681,-0.07710412380884551,-0.0034975650137828787,0.0051977075589474155,0.002638470028440691
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,2,-0.004844542743534005,0.0014440773111647856,0.03958480930767226,-0.0038577966514839078,0.026318273586318046,-0.020108590737509993,-0.031956671723292675,0.0033986327692161642,-0.06719065802369384,0.0002681812190021619,0.0019159209600519713,0.0004591638822677406
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,3,0.01142224211913907,-0.0027583358225381524,0.015360319353876242,0.003090033804257616,0.028229059434766078,0.015215128982167066,-0.017583329937101908,-0.002528637397736814,0.09745229113566681,-0.001281086619042262,0.0011722642317102765,-0.0005613964065208079
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,4,0.005012818936783225,0.008852182615877736,0.016521273819630384,-0.0037755559494920465,0.020859717227135192,-0.07827010332354138,-0.022907282255377127,-0.00012306045965659626,0.06459449237625395,0.005476787995263794,0.0050804303442183235,0.0038986164091486587
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,5,0.006690524268514533,0.006621340595950892,0.020005750557261,-0.003175839198370748,0.02485014243272468,-0.05710900027114847,-0.024160389155174475,-0.0011921766013106097,0.08780379210332759,0.003945009247534311,0.00466701572897808,0.004368015799681341
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,6,0.007420420092271764,-0.002342945931100597,0.03276464241047484,-0.0025584258687143765,0.028107058473872588,0.026295209737510337,-0.026627402229466485,0.002326925779798381,0.09145180439033694,0.0012689554641771646,0.0022881080812022685,0.0002315000889160055
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,7,-0.002713527384713406,-0.012866410441370381,0.008560858209575651,-0.0038360512937284375,0.0065514793468997865,0.07670137261966409,-0.024426305908251855,0.004090507719052278,-0.014233669089568949,-0.0015603630310534015,0.0005822127286735458,-0.00025445642532382707
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,8,-0.008516793517429259,-0.007962810322343352,0.01643109006941756,-0.004304655361836242,0.025120671496764647,0.06793615845341956,-0.019919425974069004,0.004992394328060363,-0.07630073422629528,0.003431006147137458,-0.002285440377670086,-0.0006877389662241179
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,9,0.00466469458286585,0.00024305535767080245,0.04103369573150187,-0.0025068321331863574,0.02676252916929604,-0.004237954345390917,-0.028440940908751898,0.0012110068547378468,0.06322125926605965,0.0008872228228983248,0.001430193249576391,0.001295825278448521
wake,10000,10000,33025,33026,10000,m12-2-18,2026-08-05T21:21:46,10,-0.0053655550052737,-0.00013600594605052443,0.036046138643515024,0.0033991418368676694,0.025006074417137945,0.012781589033687916,-0.029744997042391693,0.0023127013775560224,-0.07989323254867725,0.0006048719314231702,0.00044915591591349594,-0.005711843214423689
