pop,ccdf
1,1
2,0.9928619569879297
3,0.9807303474051835
4,0.9605416334783408
5,0.9343483855155934
6,0.9055817658231726
7,0.8790208933276147
8,0.858096930335151
9,0.8433000428895289
10,0.8344157833466087
11,0.8292077691317934
12,0.8247962747380675
13,0.8202009680779364
14,0.8134918203541449
15,0.801544023037804
16,0.7847252006617241
17,0.7596654616751425
18,0.7253844739905643
19,0.6834446418724343
20,0.6283622327063293
21,0.5671527479933828
22,0.5014398627535077
23,0.4321732736964647
24,0.36642975307885545
25,0.30194228294834874
26,0.23815942650572883
27,0.18565038906929723
28,0.14248514184179892
29,0.10416028429630537
30,0.07539366460388457
31,0.05293793272471049
32,0.03722198394706207
33,0.02548863427486061
34,0.016267385576864163
35,0.01087555909564365
36,0.007658844433551866
37,0.005085472703878439
38,0.003706880705839103
39,0.0027265486183444643
40,0.0020525703081919
41,0.0017462165308498253
42,0.0015624042644445807
43,0.0014398627535077509
44,0.0014092273757735432
54,0.0013785919980393358
58,0.0013479566203051284
77,0.0013173212425709208
112,0.0012866858648367134
121,0.001256050487102506
161,0.0012254151093682986
246,0.001194779731634091
249,0.0011641443538998836
633,0.0011335089761656762
1690,0.0011028735984314687
1720,0.0010722382206972611
1941,0.0010416028429630537
1949,0.0010109674652288463
2003,0.000980332087494639
2033,0.0009496967097604314
2247,0.0009190613320262239
2381,0.0008884259542920164
2610,0.000857790576557809
2618,0.0008271551988236015
2980,0.000796519821089394
3064,0.0007658844433551865
3079,0.0007352490656209791
3088,0.0007046136878867716
3533,0.0006739783101525642
3554,0.0006433429324183567
7274,0.0006127075546841493
7387,0.0005820721769499418
8213,0.0005514367992157344
8219,0.0005208014214815269
9618,0.0004901660437473195
9708,0.00045953066601311194
10659,0.0004288952882789045
10662,0.000398259910544697
16594,0.00036762453281048957
17651,0.0003369891550762821
17665,0.00030635377734207465
17702,0.0002757183996078672
18298,0.00024508302187365973
18608,0.00021444764413945224
18675,0.00018381226640524478
19284,0.00015317688867103732
23022,0.00012254151093682986
23023,9.190613320262239e-5
23061,6.127075546841493e-5
23415,3.0635377734207466e-5
