pop,ccdf
1,1
2,0.9831327020983014
3,0.9687158014940287
4,0.9489698815244801
5,0.9252985678260456
6,0.9011752390921635
7,0.8790978731503069
8,0.8616358186230194
9,0.8485273825950421
10,0.8405338535471285
11,0.8350145120616643
12,0.8303516201170481
13,0.8260217918827616
14,0.8201455964219442
15,0.8099157824618166
16,0.796188799543227
17,0.7760860255983252
18,0.7490602845315697
19,0.7158014940286435
20,0.6725270019508017
21,0.6248275205785793
22,0.5732978065375648
23,0.5189846314887948
24,0.46731217585763907
25,0.4167340724175667
26,0.3664176618927535
27,0.3246657467764191
28,0.2902412332873388
29,0.25981348432221535
30,0.23630870247894561
31,0.2174430223152686
32,0.20354950754151402
33,0.19198743874006757
34,0.1816862539848694
35,0.17352619308179093
36,0.16622258171956036
37,0.159014131417424
38,0.1521625350906409
39,0.14504924584859874
40,0.1372460389208736
41,0.12832468953704143
42,0.11797592425179616
43,0.10910215539801113
44,0.09922919541323691
45,0.08750059475662558
46,0.07791311795213399
47,0.06837322167768949
48,0.05880953513822144
49,0.049721653899224436
50,0.0412999000808869
51,0.03544749488509302
52,0.028928962268639672
53,0.023195508397963555
54,0.018080601417899796
55,0.014131417423990104
56,0.010658038730551458
57,0.007898367987819383
58,0.006114098111052957
59,0.00432982823428653
60,0.003211685778179569
61,0.002355236237331684
62,0.0016177380216015607
63,0.0009040300708949898
64,0.0004520150354474949
