pop,ccdf
1,1
2,0.9864061365286856
3,0.9688634713144517
4,0.9465096223674655
5,0.9218863471314451
6,0.8973311546840959
7,0.8755446623093682
8,0.8585239651416122
9,0.8463144517066086
10,0.8388707334785767
11,0.8343545751633987
12,0.8299518881626725
13,0.8255038126361656
14,0.8197848583877996
15,0.8100717138707335
16,0.7969317356572259
17,0.7778004720406682
18,0.7517701525054467
19,0.720610929557008
20,0.6791938997821351
21,0.6333287944807553
22,0.5837191358024691
23,0.53125
24,0.48080065359477125
25,0.4311909949164851
26,0.38096859114015974
27,0.33800835148874364
28,0.3013117283950617
29,0.2665668119099492
30,0.2375862381989833
31,0.21255446623093682
32,0.190359477124183
33,0.16957153231663036
34,0.14941902687000727
35,0.1312636165577342
36,0.11449255628177196
37,0.09931009440813363
38,0.08526234567901235
39,0.07312091503267974
40,0.06061637618010167
41,0.05049473493100944
42,0.0409177559912854
43,0.03238471314451707
44,0.025145243282498186
45,0.019653231663035585
46,0.015137073347857662
47,0.011710239651416121
48,0.009236564996368917
49,0.007057915758896151
50,0.005287763253449528
51,0.003880718954248366
52,0.0032679738562091504
53,0.002473674655047204
54,0.001974400871459695
55,0.0016566811909949164
56,0.0014524328249818446
57,0.001270878721859114
58,0.0009531590413943355
59,0.0008850762527233115
60,0.0007942992011619463
61,0.000703522149600581
62,0.00047657952069716776
63,0.0003177196804647785
64,0.0002042483660130719
