pop,ccdf
1,1
2,0.9928619569879297
3,0.9807303474051835
4,0.9605416334783408
5,0.9343483855155934
6,0.9055817658231726
7,0.8790208933276147
8,0.858096930335151
9,0.8433000428895289
10,0.8344157833466087
11,0.8292077691317934
12,0.8248269101158018
13,0.8202316034556706
14,0.8135530911096134
15,0.8016971999264751
16,0.7852460020832057
17,0.7604619814962319
18,0.7262728999448563
19,0.6847006923595368
20,0.6300778138594448
21,0.5692665890570431
22,0.5039519637277128
23,0.435022363825746
24,0.36961583236321305
25,0.3058023405428589
26,0.24275473316585994
27,0.19061332026223884
28,0.1478463329452852
29,0.10988909993260217
30,0.0812756571288524
31,0.05903437289381778
32,0.04341033024937197
33,0.031707615954904726
34,0.022425096501439864
35,0.017063905397953556
36,0.013847190735861773
37,0.011273819006188346
38,0.00989522700814901
39,0.008914894920654372
40,0.0082102812327676
41,0.007903927455425525
42,0.007720115189020281
43,0.007566938300349243
44,0.0075363029226150355
46,0.007475032167146621
47,0.007383126033943999
50,0.007352490656209791
51,0.007321855278475583
52,0.0072605845230071684
54,0.0072299491452729615
60,0.007199313767538754
68,0.007168678389804547
73,0.007138043012070339
120,0.007107407634336131
134,0.007076772256601924
160,0.007046136878867716
169,0.007015501501133509
173,0.006954230745665094
180,0.0069235953679308865
182,0.006892959990196679
187,0.006862324612462472
189,0.006801053856994057
190,0.006770418479259849
191,0.006739783101525642
194,0.006709147723791434
202,0.006678512346057227
216,0.0066478769683230195
221,0.006617241590588812
238,0.006586606212854605
251,0.006555970835120397
257,0.00652533545738619
272,0.006494700079651982
279,0.006464064701917775
283,0.006433429324183567
285,0.006402793946449359
305,0.006372158568715152
314,0.0063415231909809446
326,0.006310887813246738
330,0.00628025243551253
336,0.006249617057778323
341,0.006218981680044115
343,0.006188346302309907
351,0.0061577109245757
363,0.006127075546841492
365,0.0060658047913730775
368,0.0060351694136388705
382,0.006004534035904663
386,0.005943263280436248
418,0.00591262790270204
446,0.005881992524967833
449,0.005851357147233625
451,0.00579008639176521
473,0.005759451014031003
477,0.005728815636296796
485,0.005698180258562588
486,0.005667544880828381
488,0.005636909503094173
498,0.005606274125359966
502,0.005575638747625758
515,0.005545003369891551
523,0.005514367992157343
558,0.0054837326144231355
565,0.0054530972366889285
604,0.005422461858954721
613,0.005391826481220514
643,0.005361191103486306
653,0.005330555725752099
692,0.005299920348017891
697,0.005269284970283683
698,0.005238649592549476
699,0.005208014214815268
740,0.005177378837081061
760,0.005146743459346854
761,0.005116108081612647
781,0.005085472703878439
808,0.005054837326144231
811,0.005024201948410024
813,0.004993566570675816
866,0.004962931192941609
899,0.004932295815207401
902,0.004901660437473194
927,0.0048710250597389865
938,0.0048403896820047795
