schema_version,source_hash,slurm_job_id,host,blas_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,accuracy_samples,level,occupied_nodes,routes,nonempty_classes,mean_occupancy,p50_occupancy,p90_occupancy,p95_occupancy,p99_occupancy,max_occupancy,occupancy_skew,m2l_ms_median,m2l_ms_min,m2l_ms_iqr
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float32,false,5000,3,4,26031304,4,256,3,512,208320,3196,65.18147684605758,48.0,150.0,192.0,224.0,256,1.144602352839634,NaN,NaN,NaN
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float32,true,5000,3,4,26031321,4,256,3,512,208320,3196,65.18147684605758,48.0,150.0,192.0,224.0,256,1.144602352839634,NaN,NaN,NaN
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float64,false,5000,3,4,26031303,4,256,3,512,208320,3196,65.18147684605758,48.0,150.0,192.0,224.0,256,1.144602352839634,NaN,NaN,NaN
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float64,true,5000,3,4,26031320,4,256,3,512,208320,3196,65.18147684605758,48.0,150.0,192.0,224.0,256,1.144602352839634,NaN,NaN,NaN
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float32,false,5000,4,4,26031405,4,256,4,2873,7967472,29560,269.5355886332882,162.0,696.0999999999985,909.0499999999993,1253.4099999999999,1544,1.5745650975573164,NaN,NaN,NaN
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float32,true,5000,4,4,26031422,4,256,4,2886,8037428,29580,271.7183231913455,162.0,703.0,918.0,1271.0,1548,1.576715134906011,NaN,NaN,NaN
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float64,false,5000,4,4,26031404,4,256,4,2881,8011794,29602,270.6504290250659,163.0,697.0,911.0,1258.0,1549,1.5776462404761833,NaN,NaN,NaN
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float64,true,5000,4,4,26031421,4,256,4,2904,8140094,29610,274.91030057413036,165.0,708.0,921.0,1281.0,1565,1.5733091682754126,NaN,NaN,NaN
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float32,false,5000,5,4,26031506,4,256,5,4637,21389840,242824,88.08783316311403,49.0,232.0,308.0,446.0,652,1.748483286988102,NaN,NaN,NaN
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1,flat_12,concat,uniform,Float32,true,5000,5,4,26031523,4,256,5,4637,21388830,242146,88.33030485740008,49.0,234.0,309.0,449.0,619,1.7587245868131605,NaN,NaN,NaN
