schema_version,source_hash,slurm_job_id,host,julia_version,blas_vendor,blas_threads,julia_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,cells,nodes,routes,routes_per_level,direct_pairs,nclasses,construction_ms,grid_refresh_ms,occupancy_refresh_ms,direct_generation_ms,scan_compact_ms,tree_group_refresh_ms,update_ms_median,update_ms_min,update_ms_iqr,b2m_ms_median,m2m_ms_median,m2l_ms_median,m2l_ms_min,m2l_ms_iqr,l2l_ms_median,l2b_ms_median,step_ms_median,step_ms_min,step_ms_iqr,m2l_alloc_bytes,update_alloc_bytes,step_alloc_bytes,occupancy_bytes,operator_bytes,metadata_bytes,expansion_bytes,scratch_bytes,persistent_bytes,peak_bytes,accuracy_samples,potential_error,gradient_error,expansion_host_copies,route_uploads,operator_uploads
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float64,false,5000,5,4,26031505,4,4641,8113,21425886,21425886,112995,249868,8135.907028,NaN,NaN,NaN,NaN,NaN,1746.661428,1746.661428,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,754160,103520,871232,131072,0,1200000000,4646880,412528744,412528744,2163720192,256,7.146674982361212e-8,2.0559363376686235e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,concat,uniform,Float64,true,5000,5,4,26031522,4,4607,8034,21113266,21113266,111183,249868,8308.98092,NaN,NaN,NaN,NaN,NaN,1724.401633,1724.401633,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1685872,102080,1814976,131072,0,1200000000,11152512,971827528,971827528,2670993408,256,NaN,1.4786575862733506e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float32,false,5000,3,4,26031304,4,512,585,208320,208320,53824,3196,9663.617811,NaN,NaN,NaN,NaN,NaN,3.212362,3.212362,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,9168,17632,2048,7990000,5319592,140400,51200,13360792,602828800,256,1.552916133740201e-7,1.743909920428298e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float32,true,5000,3,4,26031321,4,512,585,208320,208320,53824,3196,16861.641545,NaN,NaN,NaN,NaN,NaN,3.167358,3.167358,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,9168,25216,2048,47569264,5319592,336960,124928,53013784,638771200,256,NaN,1.170770034663194e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float64,false,5000,3,4,26031303,4,512,585,208320,208320,53824,3196,7225.570275,NaN,NaN,NaN,NaN,NaN,3.358736,3.358736,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,9168,17632,2048,15980000,5319592,280800,102400,21401992,591958016,256,2.3496522051635882e-7,9.907730393311776e-6,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float64,true,5000,3,4,26031320,4,512,585,208320,208320,53824,3196,8886.464324,NaN,NaN,NaN,NaN,NaN,3.220617,3.220617,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,9168,25216,2048,95138528,5319592,673920,249856,100707976,686313472,256,NaN,1.230538046771137e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float32,false,5000,4,4,26031405,4,2873,3458,7967472,7967472,286657,29612,24679.739132,NaN,NaN,NaN,NaN,NaN,251.796418,251.796418,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,11680,23056,16384,74030000,336255016,1123440,614400,410899416,1363165184,256,1.6923899477661042e-7,1.1311630848742128e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float32,true,5000,4,4,26031422,4,2886,3471,8037428,8037428,291568,29612,88771.863346,NaN,NaN,NaN,NaN,NaN,254.018072,254.018072,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,11680,33584,16384,440745008,336255016,2696256,1499136,778499160,1738444800,256,NaN,1.2845170793581578e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float64,false,5000,4,4,26031404,4,2881,3466,8011794,8011794,288367,29612,9440.017069,NaN,NaN,NaN,NaN,NaN,254.908718,254.908718,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,11680,23056,16384,148060000,336255016,2246880,1228800,485543816,1416376320,256,8.241723738200424e-8,1.1795163687643509e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float64,true,5000,4,4,26031421,4,2904,3489,8140094,8140094,293122,29612,15975.597152,NaN,NaN,NaN,NaN,NaN,254.86615,254.86615,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,11680,33584,16384,881490016,336255016,5392512,2998272,1220743304,2228416512,256,NaN,9.779414746460824e-6,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float32,false,5000,5,4,26031506,4,4637,8103,21389840,21389840,111929,249868,172551.861522,NaN,NaN,NaN,NaN,NaN,1765.632504,1765.632504,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,104000,118288,131072,624670000,505996840,2323440,1000000,1131666840,2846552064,256,2.1626194599000392e-7,1.4155069875607107e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float32,true,5000,5,4,26031523,4,4637,8092,21388830,21388830,112939,249868,870070.351461,NaN,NaN,NaN,NaN,NaN,1830.683998,1830.683998,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,103648,131408,131072,3719035312,505996840,5576256,2440000,4227472152,6141915136,256,NaN,2.230602704395533e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float64,false,5000,5,4,26031505,4,4641,8113,21425886,21425886,112995,249868,22532.50679,NaN,NaN,NaN,NaN,NaN,1850.005289,1850.005289,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,104192,118480,131072,1249340000,505996840,4646880,2000000,1757336840,4462878720,256,7.146674982361212e-8,2.0559363376693174e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,dense,uniform,Float64,true,5000,5,4,26031522,4,4607,8034,21113266,21113266,111183,249868,73363.250582,NaN,NaN,NaN,NaN,NaN,1825.389326,1825.389326,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,736,102752,130512,131072,7438070624,505996840,11152512,4880000,7948947464,11402014720,256,NaN,1.4786575862724832e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float32,false,5000,3,4,26031304,4,512,585,208320,208320,53824,3196,6655.945984,NaN,NaN,NaN,NaN,NaN,3.873842,3.873842,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1440,9008,18176,2048,0,12582912,140400,45377776,45377776,626839552,256,1.552916133740201e-7,1.7437236559133748e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float32,true,5000,3,4,26031321,4,512,585,208320,208320,53824,3196,6677.147932,NaN,NaN,NaN,NaN,NaN,3.928204,3.928204,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1440,9008,25760,2048,0,12582912,336960,49387240,49387240,630517760,256,NaN,1.1706769024057324e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float64,false,5000,3,4,26031303,4,512,585,208320,208320,53824,3196,6208.628077,NaN,NaN,NaN,NaN,NaN,4.231372,4.231372,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1440,9008,18176,2048,0,12582912,280800,61293440,61293440,671141888,256,2.3496522051635882e-7,9.907730393339531e-6,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float64,true,5000,3,4,26031320,4,512,585,208320,208320,53824,3196,6122.54566,NaN,NaN,NaN,NaN,NaN,3.9737,3.9737,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1440,9008,25760,2048,0,12582912,673920,68106720,68106720,637607936,256,NaN,1.2305380467700962e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float32,false,5000,4,4,26031405,4,2873,3458,7967472,7967472,286657,29612,9862.159849,NaN,NaN,NaN,NaN,NaN,217.873554,217.873554,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,246720,11520,268880,16384,0,805306368,1123440,3023584560,3023584560,4458168320,256,1.6923899477661042e-7,1.1310233864880205e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float32,true,5000,4,4,26031422,4,2886,3471,8037428,8037428,291568,29612,10162.164194,NaN,NaN,NaN,NaN,NaN,220.800274,220.800274,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,585632,11520,618320,16384,0,805306368,2696256,3058827872,3058827872,4470353920,256,NaN,1.2839582858133886e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float64,false,5000,4,4,26031404,4,2881,3466,8011794,8011794,288367,29612,10185.387307,NaN,NaN,NaN,NaN,NaN,242.914752,242.914752,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,247200,11520,269360,16384,0,805306368,2246880,4018837472,4018837472,5831221248,256,8.241723738200424e-8,1.1795163687637437e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float64,true,5000,4,4,26031421,4,2904,3489,8140094,8140094,293122,29612,10383.963281,NaN,NaN,NaN,NaN,NaN,223.239385,223.239385,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,591456,11520,624144,16384,0,805306368,5392512,4078185936,4078185936,5944348672,256,NaN,9.779414746460824e-6,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float32,false,5000,5,4,26031506,4,4637,8103,21389840,21389840,111929,249868,34057.473496,NaN,NaN,NaN,NaN,NaN,1866.6343,1866.6343,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36096,103840,153488,131072,0,1200000000,2323440,30427153968,30427153968,35662524416,256,2.088113653930801e-7,1.4155069875607107e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float32,true,5000,5,4,26031523,4,4637,8092,21388830,21388830,112939,249868,35616.272901,NaN,NaN,NaN,NaN,NaN,1891.365618,1891.365618,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90368,103488,220880,131072,0,1200000000,5576256,30668497688,30668497688,35538206720,256,NaN,2.2306958366529947e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float64,false,5000,5,4,26031505,4,4641,8113,21425886,21425886,112995,249868,41399.742509,NaN,NaN,NaN,NaN,NaN,1884.595043,1884.595043,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38880,104032,156464,131072,0,1200000000,4646880,40592560256,40592560256,47033286656,256,7.146674982361212e-8,2.0559363376665418e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,factored,uniform,Float64,true,5000,5,4,26031522,4,4607,8034,21113266,21113266,111183,249868,43050.190982,NaN,NaN,NaN,NaN,NaN,1927.679472,1927.679472,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66848,102592,196464,131072,0,1200000000,11152512,40981293184,40981293184,46950338560,256,NaN,1.4786575862733506e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,false,5000,3,4,26031304,4,512,585,208320,208320,53824,3196,7645.722752,NaN,NaN,NaN,NaN,NaN,3.650433,3.650433,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29072,9344,46144,2048,0,12582912,140400,19922116,19922116,592482304,256,1.552916133740201e-7,1.7437236559133748e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,true,5000,3,4,26031321,4,512,585,208320,208320,53824,3196,7725.697319,NaN,NaN,NaN,NaN,NaN,3.81932,3.81932,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66800,9344,91456,2048,0,12582912,336960,38803108,38803108,621199360,256,NaN,1.1706769024057324e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float64,false,5000,3,4,26031303,4,512,585,208320,208320,53824,3196,7069.011859,NaN,NaN,NaN,NaN,NaN,3.87273,3.87273,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29072,9344,46144,2048,0,12582912,280800,32819776,32819776,606572544,256,2.3496522051635882e-7,9.907730393339531e-6,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float64,true,5000,3,4,26031320,4,512,585,208320,208320,53824,3196,7212.233585,NaN,NaN,NaN,NaN,NaN,3.524868,3.524868,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66800,9344,91456,2048,0,12582912,673920,69307136,69307136,665829376,256,NaN,1.2305380467697493e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,false,5000,4,4,26031405,4,2873,3458,7967472,7967472,286657,29612,8370.831793,NaN,NaN,NaN,NaN,NaN,254.296633,254.296633,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,496368,11856,518864,16384,0,805306368,1123440,895144420,895144420,1542696960,256,1.720373472152703e-7,1.1310699526167513e-5,0,0,0
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940963,m12-2-30,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,true,5000,4,4,26031422,4,2886,3471,8037428,8037428,291568,29612,8791.629056,NaN,NaN,NaN,NaN,NaN,257.842386,257.842386,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1331648,11856,1364672,16384,0,805306368,2696256,1598535772,1598535772,2041954304,256,NaN,1.2833994922686193e-5,0,0,0
