step,time,n_particles,max_u,min_sigma,min_sigma_ratio,max_gamma_over_sigma2,wall_s,p1_sigma_ratio,argmin_x,argmin_y,argmin_z
0,0.0,0,0.0,NaN,NaN,0.0,29.319391012191772,NaN,NaN,NaN,NaN
1,0.00030864197530864197,0,0.0,NaN,NaN,0.0,18.330157995224,NaN,NaN,NaN,NaN
2,0.0006172839506172839,0,0.0,NaN,NaN,0.0,2.3328537940979004,NaN,NaN,NaN,NaN
3,0.000925925925925926,0,0.0,NaN,NaN,0.0,2.0524489879608154,NaN,NaN,NaN,NaN
4,0.0012345679012345679,0,0.0,NaN,NaN,0.0,2.0447521209716797,NaN,NaN,NaN,NaN
5,0.0015432098765432098,330,1.9476282870453059,0.00445058959258554,1.0,2.445517325843603,56.91640901565552,1.0,-0.006155803407020135,-0.11862301185805857,-0.004992215053207233
6,0.001851851851851852,694,1.9385199749681576,0.004449587574749963,0.9997748572824495,2.6892234931209558,3.222024917602539,0.9997985580784191,-0.004333635191948556,-0.11033378698527592,-0.01276306420932334
7,0.0021604938271604936,1009,2.140073740173279,0.004447513224526982,0.9993087729177089,2.8237212801093796,2.646043062210083,0.9993241714112396,-0.0015434269015011546,-0.08918674522918046,-0.011342122740390445
8,0.0024691358024691358,1323,2.360964876763323,0.004443905588941228,0.9984981756899249,2.9023941576831302,3.5868101119995117,0.9985493812913773,-0.001113031952221283,-0.08917930814900744,-0.01133245269280266
9,0.002777777777777778,1623,2.402232110917087,0.0044400912743177545,0.9976411398873364,2.952899502586913,3.8041298389434814,0.9977712221639599,0.00017684922092608512,-0.08674301242556219,-0.010506641818860182
10,0.0030864197530864196,1930,2.646657645718198,0.004436519937117717,0.9968386985195707,3.129850381316811,2.44702410697937,0.9970430435608936,0.0005615091353814029,-0.08943880684933024,-0.01017320496658741
11,0.0033950617283950617,2242,2.872346033101211,0.004433426754711736,0.996143693432799,3.1760455407918147,2.2799248695373535,0.996486078434061,0.0011582203600563063,-0.08944902311409852,-0.01016317053433586
12,0.003703703703703704,2558,3.095300803971523,0.004430836205456677,0.9955616246526593,3.204169938720432,2.307913064956665,0.9960197941559193,0.0018037920281607333,-0.08946063776140104,-0.010153058228387633
13,0.004012345679012346,2882,3.383434848660762,0.004428664292180503,0.995073618910725,3.206426147454518,2.303149938583374,0.995619751223439,0.0025003668505166553,-0.08947357802734997,-0.010143171313392657
14,0.004320987654320987,3212,3.692434966612962,0.004426809152982155,0.9946567889245501,3.417245585422642,2.33617901802063,0.9953325023119651,0.0032515435829556304,-0.0894878409872784,-0.01013364450674568
15,0.004629629629629629,3546,3.976301869088972,0.004425186407947762,0.9942921754277009,3.6683291635116433,2.35654616355896,0.9949995985725903,0.004058393312602848,-0.089503390440916,-0.010124457518698839
16,0.0049382716049382715,3890,4.239070279153587,0.004421391414804612,0.9934394809556084,3.8758943952333724,2.3625447750091553,0.9946060565048205,-0.002617781358921099,-0.019220985854275112,-0.0020602644948621586
17,0.005246913580246914,4242,4.505610413709896,0.004415245761360498,0.9920586181920878,4.052909728671811,2.3827171325683594,0.9942661800395998,-0.002303844715478947,-0.019421768499934912,-0.0007746087998062487
18,0.005555555555555556,4602,4.748397228484561,0.004408205515032798,0.9904767499516576,4.1236831540825385,3.9075779914855957,0.9939728376951131,-0.0021072107860378975,-0.019871178176561005,-0.000684959711490915
19,0.005864197530864198,4970,4.971624576792771,0.004402202290879399,0.9891278895302429,4.18149052869783,2.3993890285491943,0.9936111284287291,-0.0016900428684666615,-0.019980293998161435,0.0006661765186909191
20,0.006172839506172839,5348,5.176200106831765,0.004394910510809681,0.9874895043414883,4.223144798665625,2.4938368797302246,0.993210505121836,-0.00133259673408345,-0.020439124156939992,0.000756926329565666
21,0.006481481481481481,5734,5.368613455304505,0.0043866760626336205,0.9856393116861648,4.248779780544785,2.476562023162842,0.9928151576710245,-0.0008072118632577854,-0.02044649277405737,0.002187396049539967
22,0.006790123456790123,6130,5.545851595883543,0.004378636033374487,0.9838328028873019,4.2602703853090675,2.492500066757202,0.9923419544505986,-0.0002889914653743817,-0.020919427397031336,0.002295271725431946
23,0.0070987654320987656,6536,5.714151446020721,0.004370095295336242,0.9819137901676223,4.261090159786411,2.5271260738372803,0.9918827513309715,0.0003256065934150724,-0.02075954593726125,0.0037814820457036905
24,0.007407407407407408,6954,5.87935255412677,0.004361165380007601,0.9799073334627585,4.255413306299518,2.768211841583252,0.9915029088144278,0.000998644261539438,-0.021238662098955897,0.003917052699647939
25,0.007716049382716049,7380,6.021834848329426,0.004352262036694992,0.9779068472064112,4.247253879069492,2.579617977142334,0.9911014926798326,0.001762678955782229,-0.021717233434874524,0.00405550519948019
26,0.008024691358024692,7818,6.154242232059086,0.0043433310317217005,0.9759001456700194,4.239474457336918,2.6229000091552734,0.9905213571446562,0.0026158509466811105,-0.022191393478939676,0.004197797056534453
27,0.008333333333333333,8266,6.278886944253929,0.004334408876901727,0.9738954326686594,4.233479303442427,4.1512451171875,0.9899329687219062,0.0035554293775010622,-0.022657489522384874,0.004344857352603666
28,0.008641975308641974,8724,6.397523480093311,0.004325452281559131,0.9718829812492974,4.230026099005847,2.64650297164917,0.9892995144068079,0.004139899453012501,-0.021053575545866905,0.007746726703995677
29,0.008950617283950617,9190,6.507676059672145,0.0043165856558342415,0.9698907450431865,4.229278764782034,2.657442092895508,0.9887078479954445,0.005160092401543165,-0.021509239422588762,0.007966720690326274
30,0.009259259259259259,9670,6.609718657264493,0.004307213798521028,0.9677849886892808,4.230625754933256,2.6835508346557617,0.9880511513884829,0.00596030601435069,-0.02074283301706091,0.009575959885956036
31,0.009567901234567902,10162,6.714719051886993,0.004295466262918539,0.9651454427688797,4.233103927844238,2.726485013961792,0.9873955327739367,0.007079016336509953,-0.021167721552438675,0.009830124819014869
32,0.009876543209876543,10664,6.807521803145727,0.0042843995556366,0.9626588717086373,4.236203744602806,2.719774007797241,0.9866613368168143,0.008255422187940752,-0.02157210460842388,0.01008836402788845
33,0.010185185185185186,11178,6.920617452325905,0.004274270612808519,0.9603830063165655,4.239725038785746,2.764068126678467,0.985699245139197,0.009482106660928405,-0.021949249816875113,0.010354274846698793
34,0.010493827160493827,11702,7.024614617437226,0.004263861258932165,0.9580441355535331,4.243442643082953,2.7912278175354004,0.984928490494493,0.010282955907015797,-0.02090209416480888,0.011999289494720698
35,0.010802469135802469,12236,7.1187667207442615,0.004251849243032338,0.9553451637319484,4.247058002568905,2.7974870204925537,0.984043283365673,0.011555120063116485,-0.021209652033834746,0.012305474148554747
36,0.011111111111111112,12780,7.20207718816686,0.0042413051770285,0.952976024591057,4.250162601169289,4.921905994415283,0.9830277180978549,0.012872105886079187,-0.021466626708082352,0.01261815413045254
37,0.011419753086419753,13332,7.285505129363672,0.004232210143146321,0.950932467508793,4.252226850015986,2.7944841384887695,0.9816000281416672,0.013598907042479015,0.020113880845930774,-0.014218319803398665
38,0.011728395061728396,13896,7.378221842319547,0.004220005124862656,0.9481901301106203,4.252742638034231,2.8327548503875732,0.9804948384449501,0.014952298883124986,0.020269884559306315,-0.014531815341817102
39,0.012037037037037037,14472,7.477506598860155,0.004209088442795175,0.9457372681155113,4.250568794575354,2.8982861042022705,0.978894290587097,0.016352582046667372,0.0203757670807018,-0.014811479579073444
40,0.012345679012345678,15062,7.55529633957025,0.004200300236495252,0.9437626519175667,4.245825418193041,2.949894905090332,0.9777237908720104,0.017795661325347774,0.020444832448645093,-0.015044945752049843
41,0.012654320987654321,15654,7.620185778066469,0.004191273993432548,0.9417345513985385,4.238985292465682,2.996007204055786,0.9764812943738082,0.01838555175951471,0.018761363935841022,-0.016469644379043274
42,0.012962962962962963,16260,7.676002440262736,0.004180986888676412,0.9394231487085952,4.230460206179137,3.030322790145874,0.9751857595272991,0.019828916405749523,0.018797881847664125,-0.016634424282147058
43,0.013271604938271606,16876,7.727746531153636,0.004172401772412419,0.9374941646750425,4.219376425784233,3.116441011428833,0.9736132104592136,0.021288956186522705,0.01883743826278082,-0.01675710100091675
44,0.013580246913580247,17500,7.781833008244549,0.004165968271897066,0.936048625745533,4.20563720617038,3.2628350257873535,0.9725252884362422,0.022756740866947713,0.01888672383895761,-0.01684807507143129
45,0.013888888888888888,18132,7.837178333472045,0.004161233753385324,0.9349848299465158,4.189152612513805,4.899928092956543,0.9708525245965937,0.023117477538911198,0.016986042888593823,-0.01804526834078974
46,0.014197530864197531,18770,7.893500566388056,0.0041546133613290905,0.9334972984816369,4.1693365440204655,3.5185658931732178,0.9696706755531656,0.024532841137213098,0.01704327483545648,-0.018110498137458974
47,0.014506172839506172,19418,7.950791636138774,0.004149003765118251,0.9322368820594655,4.145920642005412,3.5729310512542725,0.968758965642554,0.025944027316644434,0.017107440597247493,-0.01816608952844486
48,0.014814814814814815,20076,8.009230395359378,0.004132978141361597,0.9286360953719327,4.119152745572952,4.088971138000488,0.9676826203428639,0.03222619804814763,-0.02346833169497569,0.01253874248041799
49,0.015123456790123457,20744,8.072057497572278,0.004113101145804134,0.9241699465294114,4.089294269503792,3.8182129859924316,0.9665873033102877,0.033844474252927206,-0.023458681788684384,0.012555227393400028
50,0.015432098765432098,21412,8.133829295293065,0.004098588377565956,0.920909082336866,4.056534194270841,3.8719348907470703,0.965836947658586,0.03546807685812402,-0.023431472853516676,0.012574145385653504
51,0.01574074074074074,22086,8.198099326406473,0.0040961684905760545,0.9203653595469837,4.021038025937409,3.7598230838775635,0.9648391165720386,0.03709795089130833,-0.02338380166435231,0.012596038988112339
52,0.016049382716049384,22764,8.265175961124216,0.004096080013816758,0.9203454797630908,3.9830758562910367,3.6098408699035645,0.9637442936775827,0.0387359396477545,-0.023312518949297065,0.01262136348444959
53,0.016358024691358025,23442,8.335547827343415,0.004100245006849309,0.9212813092629598,3.9428397140169618,3.5523569583892822,0.963219755828797,0.04038440483552623,-0.02321543113253701,0.012647680230029268
54,0.016666666666666666,24128,8.408847857516733,0.004106760763092445,0.9227453301769508,3.9007739906531342,5.070199012756348,0.9626207315182768,0.04204411198488593,-0.023090407393503397,0.012672025786947178
55,0.016975308641975308,24814,8.48430018783329,0.004114640663737885,0.9245158597846611,3.8565983444738436,3.5292701721191406,0.9615999690097679,0.043715834157649416,-0.022937943131628856,0.012688249263404765
56,0.01728395061728395,25504,8.559654698823635,0.004116934975552483,0.9250313671723608,3.810686253593823,3.6455929279327393,0.9603792573988105,0.036755566050103904,0.015222025317193232,-0.019431801617540687
57,0.017592592592592594,26200,8.631354965073433,0.004113791555677194,0.9243250742621978,3.763381111593409,3.998879909515381,0.9594656991787505,0.03809221991670372,0.01518227082517393,-0.019434052430537654
58,0.017901234567901235,26896,8.694018682557568,0.004110658344335122,0.9236210751005379,3.7143559508324104,3.7810940742492676,0.9582364910675903,0.03943269240534431,0.015131464998952215,-0.01941732044895916
59,0.018209876543209876,27590,8.745515978708958,0.004107433206601178,0.9228964210593482,3.6646663569145184,3.7927889823913574,0.9574431047381027,0.04077489717124793,0.015076333406981278,-0.01937748285985986
60,0.018518518518518517,28284,8.788478099183948,0.0041042138164151245,0.9221730584308514,3.614116963951778,3.7728819847106934,0.956429146187639,0.04211814128153736,0.015023366542702286,-0.019314706463771102
61,0.018827160493827162,28980,8.824823409523486,0.00410083406140154,0.9214136635364728,3.563320303838494,3.7385411262512207,0.9551839877775621,0.04345922937827884,0.014980716012694843,-0.019231869707935875
62,0.019135802469135803,29676,8.856314001303854,0.004097189696147022,0.9205948135439708,3.5119936993710867,3.77187180519104,0.9539869354964454,0.04479536312377179,0.014954958422867825,-0.01913310508244029
63,0.019444444444444445,30372,8.88400593817486,0.004093283198831909,0.9197170652740289,3.4654425695010747,5.276053190231323,0.9530466066790224,0.0461253230648069,0.014949737405013574,-0.019024636110842024
64,0.019753086419753086,31066,8.908654332691103,0.00408914130156978,0.9187864251473749,3.452990434545127,3.838141918182373,0.9520503542412485,0.047448293996641674,0.014966033829872483,-0.01891192955240265
65,0.020061728395061727,31760,8.930743403698187,0.004084618001394929,0.9177700878552583,3.439934228814666,4.088912010192871,0.9510050230449756,0.04876307055180911,0.015005160431238417,-0.01880096310890759
66,0.020370370370370372,32452,8.950629535210414,0.004078422070565624,0.9163779282996731,3.4263136088669097,3.870353937149048,0.9499503135169663,0.05686191439932257,-0.023359011721977383,0.011250495005664354
67,0.020679012345679013,33144,8.968801242082582,0.004073911518398718,0.9153644553489388,3.4121125943922817,3.908745050430298,0.9488077499404197,0.05134926176245099,-0.01511693013750315,0.018580523782010444
68,0.020987654320987655,33836,8.98570510199632,0.004063155883921906,0.9129477790293045,3.397709578314831,4.1660850048065186,0.9476338050185824,0.040192132299536595,0.021671563202964015,0.0022991198673601777
69,0.021296296296296296,34530,9.001897769440665,0.004050954127196601,0.9102061744684993,3.383054788226596,4.0723490715026855,0.9464530860916857,0.041312867318269324,0.021638564380775868,0.0021199374571619968
70,0.021604938271604937,35222,9.017794157197963,0.004038699673359603,0.9074527294288997,3.369607195354214,3.97940993309021,0.9453787340527648,0.042438974113383855,0.021581337305658924,0.0019362824690121602
71,0.021913580246913582,35914,9.06809050106178,0.004026556120823118,0.9047242027283664,3.3564009617484913,3.9441380500793457,0.944286471163646,0.0435688519810222,0.02149968559100126,0.0017534099415528776
72,0.022222222222222223,36603,9.154191625984941,0.004014682853455976,0.9020564062218267,3.3431948658009087,5.607712030410767,0.9431634768661221,0.0447004996384473,0.0213952272680985,0.001576640562337935
73,0.022530864197530864,37296,9.228182718808029,0.004003224613593491,0.8994818619678308,3.3298591543039415,4.244720935821533,0.941939668737432,0.045831321203905935,0.021271007536099926,0.0014104593030316635
74,0.022839506172839506,37989,9.291477968084747,0.003992312668092322,0.8970300642286397,3.3181949831486337,4.149045944213867,0.9410628466141928,0.04695894115660634,0.021130932404354614,0.0012579756194111512
75,0.023148148148148147,38678,9.34503625190724,0.003982097593646867,0.8947348459810455,3.316861112596261,4.182783126831055,0.9402298108458612,0.0480808162239505,0.020979277177668607,0.0011209104402087463
76,0.02345679012345679,39371,9.393324715529923,0.003972579971138323,0.8925963377428561,3.3162207454411092,4.169343948364258,0.9392826214667579,0.04919427297304434,0.020820466871737886,0.0009989607636964701
77,0.023765432098765433,40064,9.436628322763355,0.003959802266401426,0.8897253238083913,3.313705414724225,4.510136842727661,0.938370449448858,0.060809405216598736,0.013873784725253092,-0.01919768546603997
78,0.024074074074074074,40758,9.475819596787257,0.0039460175447578365,0.8866280439184293,3.3088979607597717,4.36408805847168,0.937413669610435,0.06211420854000481,0.013981310499406456,-0.01929088777275357
