step,wall_s,body_influence,controls_setup,io,monitors,remaining_aerodynamics,rigid_kinematics,shedding,solve,total_step,unclassified_residual,wake_influence,wake_propagation_maintenance,wake_sfs,g_influence_pass1,g_influence_pass3
27,2.61,1.092117099,2.0168e-05,0.400605118,1.606762421,0.100756286,0.000534845,0.018946692,0.670632582,4.174795363,0.00022125900000080634,0.270023365,0.014175528,0.170211446,0.09958,1.092
28,4.18,1.088558957,2.8687e-05,0.395037467,0.065277866,0.107736142,0.000503748,0.019864,0.66710104,2.643587738,0.00021487299999956022,0.285122367,0.014142591,0.179849046,0.10502,1.0884
29,2.64,1.087763434,2.5294e-05,0.399898112,0.068557294,0.10840432500000001,0.000469537,0.020670085,0.66626904,2.66537998,0.00018788800000013595,0.300728524,0.012406447,0.191950031,0.10854,1.0876
30,2.67,1.089177523,2.2246e-05,0.427555447,0.07526169,0.109025168,0.000532406,0.021137806,0.670644631,2.723433547,0.00020551099999988054,0.310312868,0.019558251,0.194153504,0.11594,1.089
31,2.72,1.089409183,2.278e-05,0.40877743,0.071352319,0.10952630499999999,0.000503064,0.021586326,0.658475912,2.701372368,0.0001796869999997064,0.326038145,0.015501217,0.205457542,0.12036,1.0893
32,2.7,1.090379795,2.3072e-05,0.422778121,0.074579708,0.109378531,0.000481152,0.02192662,0.670891628,2.734816708,0.00018387500000027757,0.329860065,0.014334141,0.206555638,0.12306,1.0902
33,2.74,1.090770858,2.1769e-05,0.42640573,0.075576048,0.10904423299999999,0.0004946,0.022398923,0.696022305,2.773145528,0.00018709800000049626,0.334019393,0.018204571,0.20919867399999997,0.12457,1.0906
34,2.77,1.08913687,2.212e-05,0.457940303,0.115305539,0.10928753499999999,0.000508313,0.023066934,0.670054027,2.824705238,0.00017792399999994046,0.343268234,0.015937439,0.214882381,0.12811,1.089
35,2.83,1.088287126,2.1395e-05,0.586541285,0.080391723,0.108540111,0.000515172,0.023151039,0.671025855,2.928737019,0.00017991700000008493,0.352248185,0.017835211,0.22031625000000002,0.13168,1.0881
36,2.93,1.087602233,2.2627e-05,0.432805611,2.059092851,0.107828873,0.000538839,0.021583572,0.668449017,4.761861863,0.0001918560000007119,0.364509249,0.019237135,0.22847325999999998,0.13578,1.0875
37,4.76,1.088521823,2.7443e-05,0.429118823,0.071569944,0.10117762699999999,0.000504292,0.022111024,0.672425392,2.782133748,0.00017867199999965777,0.382313728,0.01418498,0.23930384799999999,0.14264,1.0884
38,2.78,1.087864985,1.8173e-05,0.442242826,0.072675788,0.09978581399999999,0.000490106,0.022339872,0.673018386,2.849249668,0.00018599100000038504,0.434614542,0.016013185,0.275231666,0.15911,1.0877
39,2.85,1.088543442,1.97e-05,0.453303836,0.086618875,0.09995441399999999,0.000491425,0.024193122,0.67898634,2.926846667,0.00021797700000059095,0.476664422,0.017853114,0.301279328,0.17507,1.0884
40,2.93,1.088580423,2.3062e-05,0.454075324,0.089056647,0.10584725699999999,0.000493833,0.023984568,0.656628267,2.94876365,0.0001769759999996623,0.515598942,0.014298351,0.328449297,0.18683,1.0884
41,2.95,1.089402849,2.0284e-05,0.458371342,0.091476195,0.105278282,0.000512011,0.024605049,0.66788123,3.004056138,0.00017893200000029807,0.549917345,0.016412619,0.35015394299999997,0.19948,1.0893
42,3.0,1.090435438,2.0257e-05,0.454417172,0.097026347,0.106065981,0.000455518,0.025944749,0.666426056,3.032131699,0.00018288800000032523,0.577043625,0.014113668,0.370605423,0.20616,1.0903
43,3.03,1.092088432,1.7484e-05,0.486871029,0.100084868,0.10645991599999999,0.000511207,0.026097757,0.662133079,3.159713194,0.00019813999999929166,0.662446134,0.022805148,0.423885035,0.23832,1.0919
44,3.16,1.111981799,2.1461e-05,0.468085156,0.104354768,0.10723427799999999,0.000483565,0.027205993,0.653795726,3.241018495,0.00022999900000009177,0.752395065,0.015230685,0.484638131,0.26735,1.1118
45,3.24,1.110254275,3.1086e-05,0.521933319,1.664553911,0.107073378,0.000529799,0.027516666,0.667925604,4.958374024,0.00024369799999934827,0.841952194,0.016360094,0.544551146,0.29708,1.1101
46,4.96,1.109328118,3.1418e-05,0.473526833,0.108928731,0.108235254,0.000478101,0.027770159,0.673320714,3.47056388,0.0002234019999995951,0.953646421,0.015074729,0.6183192909999999,0.33495,1.1092
