ell,rho,epsilon_lower_inclusive,epsilon_upper_exclusive,epsilon_chosen,total_offset_count,accepted_offset_count,nearest_rejected_squared_norm,nearest_accepted_squared_norm,mismatch_count
2,0.22083647796503184,0.04180776115630017,0.055904165498874434,0.04885596332758729,343,164,12,13,0
3,0.11041823898251592,0.08361552231260035,0.11180833099774887,0.09771192665517459,3375,3196,12,13,0
4,0.05520911949125796,0.1672310446252007,0.22361666199549773,0.19542385331034917,29791,29612,12,13,0
5,0.02760455974562898,0.3344620892504014,0.44723332399099547,0.39084770662069834,250047,249868,12,13,0
6,0.01380227987281449,0.6689241785008028,0.8944666479819909,0.7816954132413967,2048383,2048204,12,13,0
7,0.006901139936407245,1.3378483570016055,1.7889332959639819,1.5633908264827934,16581375,16581196,12,13,0
