n,seed,sampler_seed,reference_samples,host,timestamp,index,reference_potential,reference_gradient_x,reference_gradient_y,reference_gradient_z
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,1,0.06600942384857642,-0.10099624846982265,0.0005498186032000671,-0.06306206707286736
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,2,0.0749249095846349,0.008269286325303481,-0.02326049244592786,0.08126027008592966
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,3,0.06960689433312847,-0.08761333866639362,0.01921523126027534,-0.011709683952658456
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,4,0.09065820529581999,0.018000701294970823,-0.06647898740915738,0.000566952388658485
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,5,0.08489102832949073,0.00795129053279189,-0.0017685669105366154,-0.06499307697220205
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,6,0.06995488307280212,0.09281770169542186,0.0020701320916959474,-0.017547347681711702
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,7,0.07148176092498067,-0.07936456961894019,0.022671827218957944,-0.009085096951785412
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,8,0.07471968243128078,-0.024261708255409152,0.003692221039840557,0.09428666968188808
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,9,0.07564219148682219,-0.04990011119107649,0.00807744873788282,-0.07908043704974344
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,10,0.07858796739245194,-0.09979026961408341,-0.008579241641304849,0.1580800713487764
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,11,0.06051230638472466,-0.02155999689119145,-0.06546893864043338,-0.04443823154499336
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,12,0.0740445171796227,0.06238332738274353,0.04610578836412008,-0.013973807627209742
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,13,0.07775838668801643,-0.02341421728182382,-0.08260803087329836,-0.005842476176347893
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,14,0.08650509496476512,0.015085660679134786,0.0807283942579317,-0.014036079344382963
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,15,0.06838425912090729,-0.015345292134300496,-0.09645248846671556,0.005740346229179055
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,16,0.08868502593981678,0.03559738193371662,-0.026595229180961077,-0.004834401298235098
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,17,0.07002441631335271,0.0658874082576811,0.010835328501253058,0.021178574263177617
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,18,0.06001556254459542,-0.037305270864130845,-0.06833059866929964,0.003579261736664234
1000,24025,24026,1000,m12-2-9,2026-07-25T08:52:39Z,19,0.06341364898521411,0.04496125782172073,-0.08485619526557028,-0.01719018466942089
