n,seed,sampler_seed,reference_samples,host,timestamp,index,reference_potential,reference_gradient_x,reference_gradient_y,reference_gradient_z
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,1,0.065568652461531,-0.08073892141929921,0.017386730594110014,-0.052151273587568506
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,2,0.07556176522918757,0.0031396893820293845,-0.0269334623931516,0.07549434542254255
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,3,0.07266371756827071,0.04106546991225317,-0.1358244486585386,0.27490814883432185
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,4,0.08869915453055317,0.006662730534891389,-0.04032841913880714,0.010677861069273742
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,5,0.08475176907352001,0.008697181878777641,0.011957045500874453,-0.05834438856283933
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,6,0.07026467476114966,0.09194460727763665,0.010960027207963725,-0.01837995230537734
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,7,0.07180328410198313,-0.06073964686969874,0.046322512741137745,-0.002005420210773638
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,8,0.07598279164765535,0.008252532762113105,0.05348314844093859,0.08954232822614475
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,9,0.07531208727606736,-0.052734164080705526,0.039216522994368314,-0.018020393869489167
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,10,0.07700267560104034,-0.026725977026521637,-0.018576428360863574,0.10400581276068474
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,11,0.060871576001248665,-0.012064172355988913,-0.06132629620981254,-0.052373132449646004
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,12,0.07468017008493807,0.048429068706377566,0.045264149450207264,-0.01091721837475308
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,13,0.07663328880716919,-0.005845911643037719,-0.07814097342318366,0.009212340530620738
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,14,0.08452648080175953,-0.006474651425570086,0.058541205899123545,-0.020543303279774806
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,15,0.06920311659064014,-0.010094468624261409,-0.09129096440044057,0.00559910248738676
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,16,0.08904620432429541,0.03179903930100476,-0.014423204912722006,0.00148736156297506
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,17,0.06982852023214585,0.04101492968051983,-0.02576475394594976,0.0014141609723096109
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,18,0.06384188461502255,-0.0674985561656222,-0.1512209711037347,0.10989865753695535
