rho,u_deficit
2.0,0.08784651747476195
2.5,0.025533110409963575
2.8,0.010767917255375114
3.0,0.005619360186301
3.2,0.002944802471925923
3.4,0.0014166403049887624
3.668,0.0005143991274419219
