case,n,gamma,res,block,bins,solver,prec,refresh,bracket,M_ext,spread_ms,fft_ms,kmul_ms,interp_ms,restrict_ms,halo_ms,top_ms,launch_ms,refresh_ms,total_ms,bytes_persistent,launches
cube,100000,1.4142,nom,32,16,msm,f32,perstep,3,0,0.3333,4.9397,0.0000,0.6667,0.0000,0.0289,0.0933,2.6300,0.6000,15.1425,9.340e+07,42
cube,100000,1.4142,nom,32,16,msm,f32,epoch,1,0,0.0500,0.5293,0.0000,0.1000,0.0000,0.0124,0.0400,0.5840,0.1030,1.6200,9.340e+07,42
cube,100000,1.4142,nom,32,16,msm,f32,epoch,2,0,0.1250,1.4819,0.0000,0.2500,0.0000,0.0173,0.0560,1.2100,0.1075,4.1298,9.340e+07,42
cube,100000,1.4142,nom,32,16,msm,f32,epoch,3,0,0.3333,4.9397,0.0000,0.6667,0.0000,0.0289,0.0933,2.6300,0.1200,14.6625,9.340e+07,42
cube,100000,1.4142,nom,32,16,msm,f64,perstep,1,0,0.1000,1.0585,0.0000,0.2000,0.0000,0.0248,0.0800,0.5840,0.5300,2.9800,1.868e+08,42
cube,100000,1.4142,nom,32,16,msm,f64,perstep,2,0,0.2500,2.9638,0.0000,0.5000,0.0000,0.0347,0.1120,1.2100,0.5750,7.4096,1.868e+08,42
cube,100000,1.4142,nom,32,16,msm,f64,perstep,3,0,0.6667,9.8794,0.0000,1.3333,0.0000,0.0578,0.1866,2.6300,0.7000,27.1550,1.868e+08,42
cube,100000,1.4142,nom,32,16,msm,f64,epoch,1,0,0.1000,1.0585,0.0000,0.2000,0.0000,0.0248,0.0800,0.5840,0.1060,2.5560,1.868e+08,42
cube,100000,1.4142,nom,32,16,msm,f64,epoch,2,0,0.2500,2.9638,0.0000,0.5000,0.0000,0.0347,0.1120,1.2100,0.1150,6.9496,1.868e+08,42
cube,100000,1.4142,nom,32,16,msm,f64,epoch,3,0,0.6667,9.8794,0.0000,1.3333,0.0000,0.0578,0.1866,2.6300,0.1400,26.5950,1.868e+08,42
cube,100000,1.4142,nom,32,32,amrfft,f32,perstep,1,0,0.0500,0.6059,0.1859,0.1000,0.0000,0.0124,0.0400,0.6560,0.5150,2.1652,9.340e+07,78
cube,100000,1.4142,nom,32,32,amrfft,f32,perstep,2,0,0.1250,1.6966,0.2602,0.2500,0.0000,0.0173,0.0560,1.3900,0.5375,4.3327,9.340e+07,78
cube,100000,1.4142,nom,32,32,amrfft,f32,perstep,3,0,0.3333,5.6555,0.4337,0.6667,0.0000,0.0289,0.0933,3.1700,0.6000,10.9814,9.340e+07,78
cube,100000,1.4142,nom,32,32,amrfft,f32,epoch,1,0,0.0500,0.6059,0.1859,0.1000,0.0000,0.0124,0.0400,0.6560,0.1030,1.7532,9.340e+07,78
cube,100000,1.4142,nom,32,32,amrfft,f32,epoch,2,0,0.1250,1.6966,0.2602,0.2500,0.0000,0.0173,0.0560,1.3900,0.1075,3.9027,9.340e+07,78
