case,n,gamma,res,level,s_ell,pop,cum_sources,tiles_core,tiles_field,cov_targets,cov_mult8,padded8_ratio,npatch_b64,interior_pts_b64,padded_pts_b64
cube,100000,1.4142,optalt,4,1.723548e-01,0,100000,8,64,100000,1.000,0.000,8,32768,1109250
cube,100000,1.4142,optalt,5,2.437465e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
cube,100000,1.4142,optalt,6,3.447096e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
cube,100000,1.4142,optalt,7,4.874929e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
cube,100000,1.4142,optalt,8,6.894191e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
cube,100000,1.4142,optalt,9,9.749858e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
cube,100000,1.4142,optalt,10,1.378838e+00,0,100000,1,27,100000,1.000,0.000,8,13824,857375
cube,100000,2.0000,optalt,0,4.308869e-02,100000,100000,125,343,100000,1.000,1.000,8,175616,2889000
cube,100000,2.0000,optalt,1,8.617739e-02,0,100000,27,125,100000,1.000,0.000,8,64000,2044125
cube,100000,2.0000,optalt,2,1.723548e-01,0,100000,8,64,100000,1.000,0.000,8,32768,1790448
cube,100000,2.0000,optalt,3,3.447096e-01,0,100000,1,27,100000,1.000,0.000,8,13824,1331000
cube,100000,2.0000,optalt,4,6.894191e-01,0,100000,1,27,100000,1.000,0.000,8,13824,1331000
cube,100000,2.0000,optalt,5,1.378838e+00,0,100000,1,27,100000,1.000,0.000,8,13824,1331000
cube,100000,2.0000,optalt,6,2.757676e+00,0,100000,1,27,100000,1.000,0.000,8,13824,1331000
cube,100000,2.0000,optalt,7,5.515353e+00,0,100000,1,27,100000,1.000,0.000,8,13824,1331000
cube,100000,2.0000,optalt,8,1.103071e+01,0,100000,1,27,100000,1.000,0.000,8,13824,1331000
cube,100000,2.0000,optalt,9,2.206141e+01,0,100000,1,27,100000,1.000,0.000,8,13824,1331000
cube,100000,2.0000,optalt,10,4.412282e+01,0,100000,1,27,100000,1.000,0.000,8,13824,1331000
cube,100000,4.0000,optalt,0,4.308869e-02,100000,100000,125,343,100000,1.000,1.000,8,175616,8328000
cube,100000,4.0000,optalt,1,1.723548e-01,0,100000,8,64,100000,1.000,0.000,8,32768,5567616
cube,100000,4.0000,optalt,2,6.894191e-01,0,100000,1,27,100000,1.000,0.000,8,13824,4913000
cube,100000,4.0000,optalt,3,2.757676e+00,0,100000,1,27,100000,1.000,0.000,8,13824,4913000
cube,100000,4.0000,optalt,4,1.103071e+01,0,100000,1,27,100000,1.000,0.000,8,13824,4913000
cube,100000,4.0000,optalt,5,4.412282e+01,0,100000,1,27,100000,1.000,0.000,8,13824,4913000
cube,100000,4.0000,optalt,6,1.764913e+02,0,100000,1,27,100000,1.000,0.000,8,13824,4913000
cube,100000,4.0000,optalt,7,7.059652e+02,0,100000,1,27,100000,1.000,0.000,8,13824,4913000
cube,100000,4.0000,optalt,8,2.823861e+03,0,100000,1,27,100000,1.000,0.000,8,13824,4913000
cube,100000,4.0000,optalt,9,1.129544e+04,0,100000,1,27,100000,1.000,0.000,8,13824,4913000
cube,100000,4.0000,optalt,10,4.518177e+04,0,100000,1,27,100000,1.000,0.000,8,13824,4913000
cube,100000,1.4142,tight,0,4.308869e-02,100000,100000,512,1000,100000,1.000,1.000,21,512000,8942400
cube,100000,1.4142,tight,1,6.093662e-02,0,100000,216,512,100000,1.000,0.000,8,262144,3686176
cube,100000,1.4142,tight,2,8.617739e-02,0,100000,64,216,100000,1.000,0.000,8,110592,2922480
cube,100000,1.4142,tight,3,1.218732e-01,0,100000,27,125,100000,1.000,0.000,8,64000,2376512
cube,100000,1.4142,tight,4,1.723548e-01,0,100000,8,64,100000,1.000,0.000,8,32768,1916784
cube,100000,1.4142,tight,5,2.437465e-01,0,100000,8,64,100000,1.000,0.000,8,32768,1916784
cube,100000,1.4142,tight,6,3.447096e-01,0,100000,1,27,100000,1.000,0.000,8,13824,1481544
cube,100000,1.4142,tight,7,4.874929e-01,0,100000,1,27,100000,1.000,0.000,8,13824,1481544
cube,100000,1.4142,tight,8,6.894191e-01,0,100000,1,27,100000,1.000,0.000,8,13824,1481544
cube,100000,1.4142,tight,9,9.749858e-01,0,100000,1,27,100000,1.000,0.000,8,13824,1481544
cube,100000,1.4142,tight,10,1.378838e+00,0,100000,1,27,100000,1.000,0.000,8,13824,1481544
cube,100000,2.0000,tight,0,4.308869e-02,100000,100000,512,1000,100000,1.000,1.000,21,512000,16777421
cube,100000,2.0000,tight,1,8.617739e-02,0,100000,64,216,100000,1.000,0.000,8,110592,4913560
cube,100000,2.0000,tight,2,1.723548e-01,0,100000,8,64,100000,1.000,0.000,8,32768,3969000
cube,100000,2.0000,tight,3,3.447096e-01,0,100000,1,27,100000,1.000,0.000,8,13824,3176523
cube,100000,2.0000,tight,4,6.894191e-01,0,100000,1,27,100000,1.000,0.000,8,13824,3176523
cube,100000,2.0000,tight,5,1.378838e+00,0,100000,1,27,100000,1.000,0.000,8,13824,3176523
cube,100000,2.0000,tight,6,2.757676e+00,0,100000,1,27,100000,1.000,0.000,8,13824,3176523
cube,100000,2.0000,tight,7,5.515353e+00,0,100000,1,27,100000,1.000,0.000,8,13824,3176523
cube,100000,2.0000,tight,8,1.103071e+01,0,100000,1,27,100000,1.000,0.000,8,13824,3176523
cube,100000,2.0000,tight,9,2.206141e+01,0,100000,1,27,100000,1.000,0.000,8,13824,3176523
cube,100000,2.0000,tight,10,4.412282e+01,0,100000,1,27,100000,1.000,0.000,8,13824,3176523
cube,100000,4.0000,tight,0,4.308869e-02,100000,100000,512,1000,100000,1.000,1.000,21,512000,62427000
cube,100000,4.0000,tight,1,1.723548e-01,0,100000,8,64,100000,1.000,0.000,8,32768,16272375
cube,100000,4.0000,tight,2,6.894191e-01,0,100000,1,27,100000,1.000,0.000,8,13824,14706125
cube,100000,4.0000,tight,3,2.757676e+00,0,100000,1,27,100000,1.000,0.000,8,13824,14706125
cube,100000,4.0000,tight,4,1.103071e+01,0,100000,1,27,100000,1.000,0.000,8,13824,14706125
cube,100000,4.0000,tight,5,4.412282e+01,0,100000,1,27,100000,1.000,0.000,8,13824,14706125
cube,100000,4.0000,tight,6,1.764913e+02,0,100000,1,27,100000,1.000,0.000,8,13824,14706125
cube,100000,4.0000,tight,7,7.059652e+02,0,100000,1,27,100000,1.000,0.000,8,13824,14706125
cube,100000,4.0000,tight,8,2.823861e+03,0,100000,1,27,100000,1.000,0.000,8,13824,14706125
cube,100000,4.0000,tight,9,1.129544e+04,0,100000,1,27,100000,1.000,0.000,8,13824,14706125
cube,100000,4.0000,tight,10,4.518177e+04,0,100000,1,27,100000,1.000,0.000,8,13824,14706125
cube,1000000,1.4142,nom,0,2.000000e-02,1000000,1000000,1728,2744,1000000,1.000,1.000,27,1404928,10688050
cube,1000000,1.4142,nom,1,2.828427e-02,0,1000000,727,1331,1000000,1.000,0.000,27,681472,7414875
cube,1000000,1.4142,nom,2,4.000000e-02,0,1000000,216,512,1000000,1.000,0.000,8,262144,2522250
cube,1000000,1.4142,nom,3,5.656854e-02,0,1000000,125,343,1000000,1.000,0.000,8,175616,2336625
cube,1000000,1.4142,nom,4,8.000000e-02,0,1000000,27,125,1000000,1.000,0.000,8,64000,1526328
cube,1000000,1.4142,nom,5,1.131371e-01,0,1000000,27,125,1000000,1.000,0.000,8,64000,1526328
cube,1000000,1.4142,nom,6,1.600000e-01,0,1000000,8,64,1000000,1.000,0.000,8,32768,1109250
cube,1000000,1.4142,nom,7,2.262742e-01,0,1000000,8,64,1000000,1.000,0.000,8,32768,1109250
cube,1000000,1.4142,nom,8,3.200000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,857375
cube,1000000,1.4142,nom,9,4.525483e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,857375
cube,1000000,1.4142,nom,10,6.400000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,857375
cube,1000000,2.0000,nom,0,2.000000e-02,1000000,1000000,1728,2744,1000000,1.000,1.000,27,1404928,18399744
cube,1000000,2.0000,nom,1,4.000000e-02,0,1000000,216,512,1000000,1.000,0.000,8,262144,4215456
cube,1000000,2.0000,nom,2,8.000000e-02,0,1000000,27,125,1000000,1.000,0.000,8,64000,2436128
cube,1000000,2.0000,nom,3,1.600000e-01,0,1000000,8,64,1000000,1.000,0.000,8,32768,2028672
cube,1000000,2.0000,nom,4,3.200000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1643032
cube,1000000,2.0000,nom,5,6.400000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1643032
cube,1000000,2.0000,nom,6,1.280000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,1643032
cube,1000000,2.0000,nom,7,2.560000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,1643032
cube,1000000,2.0000,nom,8,5.120000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,1643032
cube,1000000,2.0000,nom,9,1.024000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1643032
cube,1000000,2.0000,nom,10,2.048000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1643032
cube,1000000,4.0000,nom,0,2.000000e-02,1000000,1000000,1728,2744,1000000,1.000,1.000,27,1404928,48960125
cube,1000000,4.0000,nom,1,8.000000e-02,0,1000000,27,125,1000000,1.000,0.000,8,64000,9183600
cube,1000000,4.0000,nom,2,3.200000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,6859000
cube,1000000,4.0000,nom,3,1.280000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,6859000
cube,1000000,4.0000,nom,4,5.120000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,6859000
cube,1000000,4.0000,nom,5,2.048000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,6859000
cube,1000000,4.0000,nom,6,8.192000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,6859000
cube,1000000,4.0000,nom,7,3.276800e+02,0,1000000,1,27,1000000,1.000,0.000,8,13824,6859000
cube,1000000,4.0000,nom,8,1.310720e+03,0,1000000,1,27,1000000,1.000,0.000,8,13824,6859000
cube,1000000,4.0000,nom,9,5.242880e+03,0,1000000,1,27,1000000,1.000,0.000,8,13824,6859000
cube,1000000,4.0000,nom,10,2.097152e+04,0,1000000,1,27,1000000,1.000,0.000,8,13824,6859000
cube,1000000,1.4142,optalt,0,2.000000e-02,1000000,1000000,729,1331,1000000,1.000,1.000,27,681472,7414875
cube,1000000,1.4142,optalt,1,2.828427e-02,0,1000000,343,729,1000000,1.000,0.000,8,373248,2982250
cube,1000000,1.4142,optalt,2,4.000000e-02,0,1000000,125,343,1000000,1.000,0.000,8,175616,2336625
cube,1000000,1.4142,optalt,3,5.656854e-02,0,1000000,64,216,1000000,1.000,0.000,8,110592,1750050
cube,1000000,1.4142,optalt,4,8.000000e-02,0,1000000,27,125,1000000,1.000,0.000,8,64000,1526328
cube,1000000,1.4142,optalt,5,1.131371e-01,0,1000000,8,64,1000000,1.000,0.000,8,32768,1109250
cube,1000000,1.4142,optalt,6,1.600000e-01,0,1000000,8,64,1000000,1.000,0.000,8,32768,1109250
cube,1000000,1.4142,optalt,7,2.262742e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,857375
cube,1000000,1.4142,optalt,8,3.200000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,857375
cube,1000000,1.4142,optalt,9,4.525483e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,857375
cube,1000000,1.4142,optalt,10,6.400000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,857375
cube,1000000,2.0000,optalt,0,2.000000e-02,1000000,1000000,729,1331,1000000,1.000,1.000,27,681472,10360232
cube,1000000,2.0000,optalt,1,4.000000e-02,0,1000000,125,343,1000000,1.000,0.000,8,175616,2889000
cube,1000000,2.0000,optalt,2,8.000000e-02,0,1000000,27,125,1000000,1.000,0.000,8,64000,2044125
cube,1000000,2.0000,optalt,3,1.600000e-01,0,1000000,8,64,1000000,1.000,0.000,8,32768,1790448
cube,1000000,2.0000,optalt,4,3.200000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1331000
cube,1000000,2.0000,optalt,5,6.400000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1331000
cube,1000000,2.0000,optalt,6,1.280000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,1331000
cube,1000000,2.0000,optalt,7,2.560000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,1331000
cube,1000000,2.0000,optalt,8,5.120000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,1331000
cube,1000000,2.0000,optalt,9,1.024000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1331000
cube,1000000,2.0000,optalt,10,2.048000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1331000
cube,1000000,4.0000,optalt,0,2.000000e-02,1000000,1000000,729,1331,1000000,1.000,1.000,27,681472,28372625
cube,1000000,4.0000,optalt,1,8.000000e-02,0,1000000,27,125,1000000,1.000,0.000,8,64000,6582912
cube,1000000,4.0000,optalt,2,3.200000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,4913000
cube,1000000,4.0000,optalt,3,1.280000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,4913000
cube,1000000,4.0000,optalt,4,5.120000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,4913000
cube,1000000,4.0000,optalt,5,2.048000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,4913000
cube,1000000,4.0000,optalt,6,8.192000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,4913000
cube,1000000,4.0000,optalt,7,3.276800e+02,0,1000000,1,27,1000000,1.000,0.000,8,13824,4913000
cube,1000000,4.0000,optalt,8,1.310720e+03,0,1000000,1,27,1000000,1.000,0.000,8,13824,4913000
cube,1000000,4.0000,optalt,9,5.242880e+03,0,1000000,1,27,1000000,1.000,0.000,8,13824,4913000
cube,1000000,4.0000,optalt,10,2.097152e+04,0,1000000,1,27,1000000,1.000,0.000,8,13824,4913000
cube,1000000,1.4142,tight,0,2.000000e-02,1000000,1000000,4096,5832,1000000,1.000,1.000,56,2985984,32317056
cube,1000000,1.4142,tight,1,2.828427e-02,0,1000000,1721,2744,1000000,1.000,0.000,27,1404928,15892848
cube,1000000,1.4142,tight,2,4.000000e-02,0,1000000,512,1000,1000000,1.000,0.000,21,512000,8942400
cube,1000000,1.4142,tight,3,5.656854e-02,0,1000000,216,512,1000000,1.000,0.000,8,262144,3686176
cube,1000000,1.4142,tight,4,8.000000e-02,0,1000000,64,216,1000000,1.000,0.000,8,110592,2922480
cube,1000000,1.4142,tight,5,1.131371e-01,0,1000000,27,125,1000000,1.000,0.000,8,64000,2376512
cube,1000000,1.4142,tight,6,1.600000e-01,0,1000000,8,64,1000000,1.000,0.000,8,32768,1916784
cube,1000000,1.4142,tight,7,2.262742e-01,0,1000000,8,64,1000000,1.000,0.000,8,32768,1916784
cube,1000000,1.4142,tight,8,3.200000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1481544
cube,1000000,1.4142,tight,9,4.525483e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1481544
cube,1000000,1.4142,tight,10,6.400000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,1481544
cube,1000000,2.0000,tight,0,2.000000e-02,1000000,1000000,4096,5832,1000000,1.000,1.000,56,2985984,57233296
cube,1000000,2.0000,tight,1,4.000000e-02,0,1000000,512,1000,1000000,1.000,0.000,21,512000,16777421
cube,1000000,2.0000,tight,2,8.000000e-02,0,1000000,64,216,1000000,1.000,0.000,8,110592,4913560
cube,1000000,2.0000,tight,3,1.600000e-01,0,1000000,8,64,1000000,1.000,0.000,8,32768,3969000
cube,1000000,2.0000,tight,4,3.200000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,3176523
cube,1000000,2.0000,tight,5,6.400000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,3176523
cube,1000000,2.0000,tight,6,1.280000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,3176523
cube,1000000,2.0000,tight,7,2.560000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,3176523
cube,1000000,2.0000,tight,8,5.120000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,3176523
cube,1000000,2.0000,tight,9,1.024000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,3176523
