case,n,mode,gamma,hs,p_int,M_assign,M_ext,uerr_rel_rms,jerr_rel_rms,tail_max_rel,pass_abs
uniform,384,ml,2.0000,0.550,6,1,0,9.228e-04,5.089e-03,0.000e+00,true
uniform,384,ml,2.0000,0.275,6,1,0,1.734e-05,1.867e-04,0.000e+00,true
uniform,384,ml,2.0000,0.138,6,1,0,2.788e-07,6.226e-06,0.000e+00,true
uniform,384,ml,4.0000,0.550,6,1,0,9.257e-04,5.106e-03,0.000e+00,true
uniform,384,vic,2.0000,0.550,6,0,0,9.257e-04,5.106e-03,0.000e+00,NA
uniform,384,vic,2.0000,0.275,6,0,0,1.738e-05,1.872e-04,0.000e+00,NA
hetero18x,384,ml,2.0000,0.550,6,5,0,2.283e-03,3.506e-03,2.495e-74,false
hetero18x,384,ml,2.0000,0.275,6,5,0,2.492e-05,7.197e-05,1.647e-40,true
hetero18x,384,ml,2.0000,0.138,6,5,0,2.965e-07,1.227e-06,1.658e-18,true
hetero18x,384,ml,4.0000,0.550,6,3,0,2.165e-03,3.180e-03,1.647e-40,false
boundary,384,ml,2.0000,0.550,6,5,0,6.991e-03,3.326e-03,5.396e-70,false
boundary,384,ml,2.0000,0.275,6,5,0,3.615e-05,8.950e-05,7.624e-41,true
boundary,384,ml,2.0000,0.138,6,5,0,5.896e-07,1.571e-06,4.988e-18,true
boundary,384,ml,4.0000,0.550,6,3,0,6.643e-03,2.937e-03,7.624e-41,false
filament,384,ml,2.0000,0.550,6,1,0,1.710e-03,5.389e-03,0.000e+00,false
filament,384,ml,2.0000,0.275,6,1,0,3.071e-05,2.179e-04,0.000e+00,true
filament,384,ml,2.0000,0.138,6,1,0,5.065e-07,7.108e-06,0.000e+00,true
filament,384,ml,4.0000,0.550,6,1,0,1.715e-03,5.409e-03,0.000e+00,false
filament,384,vic,2.0000,0.550,6,0,0,1.715e-03,5.409e-03,0.000e+00,NA
filament,384,vic,2.0000,0.275,6,0,0,3.081e-05,2.185e-04,0.000e+00,NA
island_distinct,384,ml,2.0000,0.550,6,5,0,1.158e-03,3.424e-03,1.521e-71,false
island_distinct,384,ml,2.0000,0.275,6,5,0,2.452e-05,1.762e-04,1.096e-40,true
island_distinct,384,ml,2.0000,0.138,6,5,0,4.073e-07,5.054e-06,1.510e-18,true
island_distinct,384,ml,4.0000,0.550,6,3,0,9.128e-04,3.446e-03,1.096e-40,true
extreme_ladder,384,ml,2.0000,0.550,6,5,0,5.224e-02,3.460e-03,4.015e-73,false
extreme_ladder,384,ml,2.0000,0.275,6,5,0,5.326e-04,7.204e-05,9.555e-40,true
extreme_ladder,384,ml,2.0000,0.138,6,5,1,4.510e-06,1.208e-06,1.047e-17,true
extreme_ladder,384,ml,4.0000,0.550,6,3,0,5.048e-02,3.144e-03,9.555e-40,false
