manifest,job,policy,strategy,precision,expansion_order,lh,n,ell,window_classes,level,nonempty_classes,total_routes,max_class,mean_class,p10,p50,p90
c0afa01083322fb8,13045768,sched6-4-4,dense,Float32,3,false,316228,4,898,2,262,1896,16,7.236641221374046,2.0,6.0,12.0
c0afa01083322fb8,13045768,sched6-4-4,dense,Float32,3,false,316228,4,898,3,898,127848,336,142.369710467706,36.0,126.0,263.20000000000164
c0afa01083322fb8,13045768,sched6-4-4,dense,Float32,3,false,316228,4,898,4,418,710088,3360,1698.7751196172248,686.0,1470.0,3150.0
