idx,speedup
5,0.139
10,0.149
13,0.682
14,0.453
15,0.456
16,0.48
17,0.413
19,0.629
20,0.658
21,0.74
22,0.577
23,1.811
24,1.595
25,1.483
26,1.524
28,3.547
29,7.164
30,5.802
31,5.92
32,2.816
