case,n,emitted,sigma_min,sigma_max,sigma_range,nodes,leaves,K_max,census_mode
rotor,100000,100000,0.0001732304686888132,0.0031081442655012813,17.942249357326812,2457,1787,128,full_imported_tree_lists
rotor,1000000,1000000,1.732335870704312e-5,0.0003108238111949644,17.942468112063825,28355,16418,128,full_imported_tree_lists
synthetic,100000,100000,0.032316520350478266,0.032316520350478266,1.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.032316520350478266,0.032316520350478266,1.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.032316520350478266,0.032316520350478266,1.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.018657951723620645,0.05597385517086194,3.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.018657951723620645,0.05597385517086194,3.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.018675418423706187,0.05595459141952234,2.9961626642054107,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.010219381035869422,0.10219381035869424,10.000000000000002,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.010219381035869422,0.10219381035869424,10.000000000000002,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.01023944263068976,0.1021201100060444,9.97320984054044,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.007617076894725416,0.13710738410505746,17.999999999999996,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.007617076894725416,0.13710738410505746,17.999999999999996,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.007635851722837464,0.13698327494127394,17.939488601066138,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.043088693800637685,0.043088693800637685,1.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.043088693800637685,0.043088693800637685,1.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.043088693800637685,0.043088693800637685,1.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.024877268964827524,0.07463180689448258,3.0000000000000004,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.024877268964827524,0.07463180689448258,3.0000000000000004,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.024900557898274917,0.07460612189269644,2.99616266420541,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.013625841381159227,0.1362584138115923,10.000000000000002,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.013625841381159227,0.1362584138115923,10.000000000000002,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.013652590174253014,0.13616014667472587,9.97320984054044,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.010156102526300554,0.18280984547340995,18.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.010156102526300554,0.18280984547340995,18.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.010181135630449952,0.18264436658836525,17.93948860106614,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.06463304070095653,0.06463304070095653,1.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.06463304070095653,0.06463304070095653,1.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.06463304070095653,0.06463304070095653,1.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.03731590344724129,0.11194771034172388,3.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.03731590344724129,0.11194771034172388,3.0,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.037350836847412375,0.11190918283904468,2.9961626642054107,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.020438762071738843,0.20438762071738847,10.000000000000002,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.020438762071738843,0.20438762071738847,10.000000000000002,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.02047888526137952,0.2042402200120888,9.97320984054044,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.015234153789450831,0.2742147682101149,17.999999999999996,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.015234153789450831,0.2742147682101149,17.999999999999996,6415,5611,32,full_imported_tree_lists
synthetic,100000,100000,0.015271703445674929,0.27396654988254787,17.939488601066138,6415,5611,32,full_imported_tree_lists
cube,4096,4096,0.12500000000000003,0.12500000000000003,1.0,585,512,32,full_imported_tree_lists
wake,4096,4096,0.19687500000000005,0.19687500000000005,1.0,1068,847,32,full_imported_tree_lists
multiscale,4096,4096,0.018750000000000003,0.018750000000000003,1.0,839,724,32,full_imported_tree_lists
matched,2048,2048,0.03801894167345472,0.3713572025421294,9.767689109594953,577,504,16,full_imported_tree_lists
matched,4096,4096,0.03064635771193526,0.2905983155036172,9.482311674200792,585,512,16,full_imported_tree_lists
matched,2048,2048,0.07603788334690945,0.7427144050842588,9.767689109594953,73,64,128,full_imported_tree_lists
matched,4096,4096,0.06129271542387052,0.5811966310072344,9.482311674200792,73,64,128,full_imported_tree_lists
