case,n,K_max,P,precision,sigma_classes,demoted_pairs,candidate_reclaimed_pairs,routes,demoted_direct_ns,residual_direct_ns,class_P2M_ns,refresh_scatter_ns,metadata_ns,route_group_ns,new_table_ns,proposed_subwork_ns,nearfield_anchor_ns,proposed_nearfield_ns,proposed_nearfield_delta_fraction,solve_anchor_ns,proposed_solve_ns,proposed_solve_delta_fraction,accuracy_certified,selected_nearfield_ns,selected_solve_ns,selected_nearfield_delta_fraction,selected_solve_delta_fraction,capacity_bytes,bounded_capacity,selector_decision
rotor,100000,128,4,Float32,1,0,0,0,0.000000,0.000000,103300.000000,27000.000000,0.000000,0.000000,0.000000,130300.000000,1.2269e7,1.23993e7,-0.01062026245007743,1.1816e7,1.19463e7,-0.011027420446851727,false,1.2269e7,1.1816e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,4,Float64,1,0,0,0,0.000000,0.000000,206600.000000,45000.000000,0.000000,0.000000,0.000000,251600.000000,2.321e7,2.34616e7,-0.010840155105557948,2.202e7,2.22716e7,-0.011425976385104451,false,2.321e7,2.202e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,8,Float32,1,0,0,0,0.000000,0.000000,103300.000000,27000.000000,0.000000,0.000000,0.000000,130300.000000,1.2269e7,1.23993e7,-0.01062026245007743,1.1816e7,1.19463e7,-0.011027420446851727,false,1.2269e7,1.1816e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,8,Float64,1,0,0,0,0.000000,0.000000,206600.000000,45000.000000,0.000000,0.000000,0.000000,251600.000000,2.321e7,2.34616e7,-0.010840155105557948,2.202e7,2.22716e7,-0.011425976385104451,false,2.321e7,2.202e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,4,Float32,2,0,0,0,0.000000,0.000000,103300.000000,27000.000000,0.000000,0.000000,0.000000,130300.000000,1.2269e7,1.23993e7,-0.01062026245007743,1.1816e7,1.19463e7,-0.011027420446851727,false,1.2269e7,1.1816e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,4,Float64,2,0,0,0,0.000000,0.000000,206600.000000,45000.000000,0.000000,0.000000,0.000000,251600.000000,2.321e7,2.34616e7,-0.010840155105557948,2.202e7,2.22716e7,-0.011425976385104451,false,2.321e7,2.202e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,8,Float32,2,0,0,0,0.000000,0.000000,103300.000000,27000.000000,0.000000,0.000000,0.000000,130300.000000,1.2269e7,1.23993e7,-0.01062026245007743,1.1816e7,1.19463e7,-0.011027420446851727,false,1.2269e7,1.1816e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,8,Float64,2,0,0,0,0.000000,0.000000,206600.000000,45000.000000,0.000000,0.000000,0.000000,251600.000000,2.321e7,2.34616e7,-0.010840155105557948,2.202e7,2.22716e7,-0.011425976385104451,false,2.321e7,2.202e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,4,Float32,4,0,0,0,0.000000,0.000000,103300.000000,27000.000000,0.000000,0.000000,0.000000,130300.000000,1.2269e7,1.23993e7,-0.01062026245007743,1.1816e7,1.19463e7,-0.011027420446851727,false,1.2269e7,1.1816e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,4,Float64,4,0,0,0,0.000000,0.000000,206600.000000,45000.000000,0.000000,0.000000,0.000000,251600.000000,2.321e7,2.34616e7,-0.010840155105557948,2.202e7,2.22716e7,-0.011425976385104451,false,2.321e7,2.202e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,8,Float32,4,0,0,0,0.000000,0.000000,103300.000000,27000.000000,0.000000,0.000000,0.000000,130300.000000,1.2269e7,1.23993e7,-0.01062026245007743,1.1816e7,1.19463e7,-0.011027420446851727,false,1.2269e7,1.1816e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,8,Float64,4,0,0,0,0.000000,0.000000,206600.000000,45000.000000,0.000000,0.000000,0.000000,251600.000000,2.321e7,2.34616e7,-0.010840155105557948,2.202e7,2.22716e7,-0.011425976385104451,false,2.321e7,2.202e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,4,Float32,8,0,0,0,0.000000,0.000000,103300.000000,27000.000000,0.000000,0.000000,0.000000,130300.000000,1.2269e7,1.23993e7,-0.01062026245007743,1.1816e7,1.19463e7,-0.011027420446851727,false,1.2269e7,1.1816e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,4,Float64,8,0,0,0,0.000000,0.000000,206600.000000,45000.000000,0.000000,0.000000,0.000000,251600.000000,2.321e7,2.34616e7,-0.010840155105557948,2.202e7,2.22716e7,-0.011425976385104451,false,2.321e7,2.202e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,8,Float32,8,0,0,0,0.000000,0.000000,103300.000000,27000.000000,0.000000,0.000000,0.000000,130300.000000,1.2269e7,1.23993e7,-0.01062026245007743,1.1816e7,1.19463e7,-0.011027420446851727,false,1.2269e7,1.1816e7,0.0,0.0,0,true,direct_fallback
rotor,100000,128,8,Float64,8,0,0,0,0.000000,0.000000,206600.000000,45000.000000,0.000000,0.000000,0.000000,251600.000000,2.321e7,2.34616e7,-0.010840155105557948,2.202e7,2.22716e7,-0.011425976385104451,false,2.321e7,2.202e7,0.0,0.0,0,true,direct_fallback
rotor,1000000,128,4,Float32,1,0,0,0,0.000000,0.000000,1033000.000000,270000.000000,0.000000,0.000000,0.000000,1303000.000000,2.40636e8,2.41939e8,-0.0054148174005551955,2.36791e8,2.38094e8,-0.005502742925195637,false,2.40636e8,2.36791e8,0.0,0.0,0,true,direct_fallback
rotor,1000000,128,4,Float64,1,0,0,0,0.000000,0.000000,2066000.000000,450000.000000,0.000000,0.000000,0.000000,2516000.000000,4.78532e8,4.81048e8,-0.0052577466083772876,4.70122e8,4.72638e8,-0.005351802298126869,false,4.78532e8,4.70122e8,0.0,0.0,0,true,direct_fallback
rotor,1000000,128,8,Float32,1,0,0,0,0.000000,0.000000,1033000.000000,270000.000000,0.000000,0.000000,0.000000,1303000.000000,2.40636e8,2.41939e8,-0.0054148174005551955,2.36791e8,2.38094e8,-0.005502742925195637,false,2.40636e8,2.36791e8,0.0,0.0,0,true,direct_fallback
rotor,1000000,128,8,Float64,1,0,0,0,0.000000,0.000000,2066000.000000,450000.000000,0.000000,0.000000,0.000000,2516000.000000,4.78532e8,4.81048e8,-0.0052577466083772876,4.70122e8,4.72638e8,-0.005351802298126869,false,4.78532e8,4.70122e8,0.0,0.0,0,true,direct_fallback
rotor,1000000,128,4,Float32,2,0,0,0,0.000000,0.000000,1033000.000000,270000.000000,0.000000,0.000000,0.000000,1303000.000000,2.40636e8,2.41939e8,-0.0054148174005551955,2.36791e8,2.38094e8,-0.005502742925195637,false,2.40636e8,2.36791e8,0.0,0.0,0,true,direct_fallback
rotor,1000000,128,4,Float64,2,0,0,0,0.000000,0.000000,2066000.000000,450000.000000,0.000000,0.000000,0.000000,2516000.000000,4.78532e8,4.81048e8,-0.0052577466083772876,4.70122e8,4.72638e8,-0.005351802298126869,false,4.78532e8,4.70122e8,0.0,0.0,0,true,direct_fallback
rotor,1000000,128,8,Float32,2,0,0,0,0.000000,0.000000,1033000.000000,270000.000000,0.000000,0.000000,0.000000,1303000.000000,2.40636e8,2.41939e8,-0.0054148174005551955,2.36791e8,2.38094e8,-0.005502742925195637,false,2.40636e8,2.36791e8,0.0,0.0,0,true,direct_fallback
rotor,1000000,128,8,Float64,2,0,0,0,0.000000,0.000000,2066000.000000,450000.000000,0.000000,0.000000,0.000000,2516000.000000,4.78532e8,4.81048e8,-0.0052577466083772876,4.70122e8,4.72638e8,-0.005351802298126869,false,4.78532e8,4.70122e8,0.0,0.0,0,true,direct_fallback
rotor,1000000,128,4,Float32,4,0,0,0,0.000000,0.000000,1033000.000000,270000.000000,0.000000,0.000000,0.000000,1303000.000000,2.40636e8,2.41939e8,-0.0054148174005551955,2.36791e8,2.38094e8,-0.005502742925195637,false,2.40636e8,2.36791e8,0.0,0.0,0,true,direct_fallback
