precision,P,channel,component,side,rho,tail_relative_bound,measured_tail_relative,scalar_local_bound,measured_scalar_local,tail_bound_holds,scalar_bound_holds,pointwise_side
Float32,4,phi,U,-1,4.202578,0.000516477943791,0.000516474246979,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,U,1,4.219422,0.000482853608112,0.000482857198222,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,phi,J11,-1,4.779422,0.000520821014406,0.000361595099093,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,J11,1,4.798578,0.000480571589184,0.000333739444613,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,phi,J12,-1,4.779422,0.000520821014406,0.000520751287695,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,J12,1,4.798578,0.000480571589184,0.000480727030663,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,phi,J13,-1,4.779422,0.000520821014406,0.000520751287695,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,J13,1,4.798578,0.000480571589184,0.000480727030663,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,phi,J21,-1,4.779422,0.000520821014406,0.000520751287695,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,J21,1,4.798578,0.000480571589184,0.000480727030663,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,phi,J22,-1,4.779422,0.000520821014406,0.000361595099093,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,J22,1,4.798578,0.000480571589184,0.000333739444613,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,phi,J23,-1,4.779422,0.000520821014406,0.000520751287695,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,J23,1,4.798578,0.000480571589184,0.000480727030663,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,phi,J31,-1,4.779422,0.000520821014406,0.000520751287695,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,J31,1,4.798578,0.000480571589184,0.000480727030663,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,phi,J32,-1,4.779422,0.000520821014406,0.000520751287695,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,J32,1,4.798578,0.000480571589184,0.000480727030663,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,phi,J33,-1,4.779422,0.000520821014406,0.000361595099093,1.4911287441e-05,1.4911287441e-05,true,true,false
Float32,4,phi,J33,1,4.798578,0.000480571589184,0.000333739444613,1.4911287441e-05,1.4911287441e-05,true,true,true
Float32,4,chi,U,-1,4.202578,0.000516477943791,0.000516474246979,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,U,1,4.219422,0.000482853608112,0.000482857198222,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,4,chi,J11,-1,4.779422,0.000520821014406,0.000361595099093,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,J11,1,4.798578,0.000480571589184,0.000333739444613,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,4,chi,J12,-1,4.779422,0.000520821014406,0.000520751287695,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,J12,1,4.798578,0.000480571589184,0.000480727030663,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,4,chi,J13,-1,4.779422,0.000520821014406,0.000520751287695,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,J13,1,4.798578,0.000480571589184,0.000480727030663,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,4,chi,J21,-1,4.779422,0.000520821014406,0.000520751287695,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,J21,1,4.798578,0.000480571589184,0.000480727030663,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,4,chi,J22,-1,4.779422,0.000520821014406,0.000361595099093,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,J22,1,4.798578,0.000480571589184,0.000333739444613,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,4,chi,J23,-1,4.779422,0.000520821014406,0.000520751287695,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,J23,1,4.798578,0.000480571589184,0.000480727030663,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,4,chi,J31,-1,4.779422,0.000520821014406,0.000520751287695,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,J31,1,4.798578,0.000480571589184,0.000480727030663,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,4,chi,J32,-1,4.779422,0.000520821014406,0.000520751287695,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,J32,1,4.798578,0.000480571589184,0.000480727030663,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,4,chi,J33,-1,4.779422,0.000520821014406,0.000361595099093,2.23669311615e-05,2.23669311614e-05,true,true,false
Float32,4,chi,J33,1,4.798578,0.000480571589184,0.000333739444613,2.23669311615e-05,2.23669311614e-05,true,true,true
Float32,8,phi,U,-1,4.202578,0.000516477943791,0.000516474246979,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,U,1,4.219422,0.000482853608112,0.000482857198222,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,phi,J11,-1,4.779422,0.000520821014406,0.000361595099093,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,J11,1,4.798578,0.000480571589184,0.000333739444613,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,phi,J12,-1,4.779422,0.000520821014406,0.000520751287695,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,J12,1,4.798578,0.000480571589184,0.000480727030663,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,phi,J13,-1,4.779422,0.000520821014406,0.000520751287695,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,J13,1,4.798578,0.000480571589184,0.000480727030663,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,phi,J21,-1,4.779422,0.000520821014406,0.000520751287695,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,J21,1,4.798578,0.000480571589184,0.000480727030663,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,phi,J22,-1,4.779422,0.000520821014406,0.000361595099093,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,J22,1,4.798578,0.000480571589184,0.000333739444613,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,phi,J23,-1,4.779422,0.000520821014406,0.000520751287695,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,J23,1,4.798578,0.000480571589184,0.000480727030663,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,phi,J31,-1,4.779422,0.000520821014406,0.000520751287695,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,J31,1,4.798578,0.000480571589184,0.000480727030663,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,phi,J32,-1,4.779422,0.000520821014406,0.000520751287695,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,J32,1,4.798578,0.000480571589184,0.000480727030663,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,phi,J33,-1,4.779422,0.000520821014406,0.000361595099093,6.3587500493e-06,6.35875004929e-06,true,true,false
Float32,8,phi,J33,1,4.798578,0.000480571589184,0.000333739444613,6.3587500493e-06,6.35875004929e-06,true,true,true
Float32,8,chi,U,-1,4.202578,0.000516477943791,0.000516474246979,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,U,1,4.219422,0.000482853608112,0.000482857198222,9.53812507395e-06,9.53812507393e-06,true,true,true
Float32,8,chi,J11,-1,4.779422,0.000520821014406,0.000361595099093,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,J11,1,4.798578,0.000480571589184,0.000333739444613,9.53812507395e-06,9.53812507393e-06,true,true,true
Float32,8,chi,J12,-1,4.779422,0.000520821014406,0.000520751287695,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,J12,1,4.798578,0.000480571589184,0.000480727030663,9.53812507395e-06,9.53812507393e-06,true,true,true
Float32,8,chi,J13,-1,4.779422,0.000520821014406,0.000520751287695,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,J13,1,4.798578,0.000480571589184,0.000480727030663,9.53812507395e-06,9.53812507393e-06,true,true,true
Float32,8,chi,J21,-1,4.779422,0.000520821014406,0.000520751287695,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,J21,1,4.798578,0.000480571589184,0.000480727030663,9.53812507395e-06,9.53812507393e-06,true,true,true
Float32,8,chi,J22,-1,4.779422,0.000520821014406,0.000361595099093,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,J22,1,4.798578,0.000480571589184,0.000333739444613,9.53812507395e-06,9.53812507393e-06,true,true,true
Float32,8,chi,J23,-1,4.779422,0.000520821014406,0.000520751287695,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,J23,1,4.798578,0.000480571589184,0.000480727030663,9.53812507395e-06,9.53812507393e-06,true,true,true
Float32,8,chi,J31,-1,4.779422,0.000520821014406,0.000520751287695,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,J31,1,4.798578,0.000480571589184,0.000480727030663,9.53812507395e-06,9.53812507393e-06,true,true,true
Float32,8,chi,J32,-1,4.779422,0.000520821014406,0.000520751287695,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,J32,1,4.798578,0.000480571589184,0.000480727030663,9.53812507395e-06,9.53812507393e-06,true,true,true
Float32,8,chi,J33,-1,4.779422,0.000520821014406,0.000361595099093,9.53812507395e-06,9.53812507393e-06,true,true,false
Float32,8,chi,J33,1,4.798578,0.000480571589184,0.000333739444613,9.53812507395e-06,9.53812507393e-06,true,true,true
Float64,4,phi,U,-1,4.202578,0.000516477943791,0.000516477943791,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,U,1,4.219422,0.000482853608112,0.000482853608112,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,phi,J11,-1,4.779422,0.000520821014406,0.000361729234926,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,J11,1,4.798578,0.000480571589184,0.00033367289454,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,phi,J12,-1,4.779422,0.000520821014406,0.000520821014406,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,J12,1,4.798578,0.000480571589184,0.000480571589183,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,phi,J13,-1,4.779422,0.000520821014406,0.000520821014406,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,J13,1,4.798578,0.000480571589184,0.000480571589183,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,phi,J21,-1,4.779422,0.000520821014406,0.000520821014406,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,J21,1,4.798578,0.000480571589184,0.000480571589183,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,phi,J22,-1,4.779422,0.000520821014406,0.000361729234926,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,J22,1,4.798578,0.000480571589184,0.00033367289454,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,phi,J23,-1,4.779422,0.000520821014406,0.000520821014406,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,J23,1,4.798578,0.000480571589184,0.000480571589183,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,phi,J31,-1,4.779422,0.000520821014406,0.000520821014406,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,J31,1,4.798578,0.000480571589184,0.000480571589183,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,phi,J32,-1,4.779422,0.000520821014406,0.000520821014406,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,J32,1,4.798578,0.000480571589184,0.000480571589183,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,phi,J33,-1,4.779422,0.000520821014406,0.000361729234926,1.4911287441e-05,1.4911287441e-05,true,true,false
Float64,4,phi,J33,1,4.798578,0.000480571589184,0.00033367289454,1.4911287441e-05,1.4911287441e-05,true,true,true
Float64,4,chi,U,-1,4.202578,0.000516477943791,0.000516477943791,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,U,1,4.219422,0.000482853608112,0.000482853608112,2.23669311615e-05,2.23669311614e-05,true,true,true
Float64,4,chi,J11,-1,4.779422,0.000520821014406,0.000361729234926,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,J11,1,4.798578,0.000480571589184,0.00033367289454,2.23669311615e-05,2.23669311614e-05,true,true,true
Float64,4,chi,J12,-1,4.779422,0.000520821014406,0.000520821014406,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,J12,1,4.798578,0.000480571589184,0.000480571589183,2.23669311615e-05,2.23669311614e-05,true,true,true
Float64,4,chi,J13,-1,4.779422,0.000520821014406,0.000520821014406,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,J13,1,4.798578,0.000480571589184,0.000480571589183,2.23669311615e-05,2.23669311614e-05,true,true,true
Float64,4,chi,J21,-1,4.779422,0.000520821014406,0.000520821014406,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,J21,1,4.798578,0.000480571589184,0.000480571589183,2.23669311615e-05,2.23669311614e-05,true,true,true
Float64,4,chi,J22,-1,4.779422,0.000520821014406,0.000361729234926,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,J22,1,4.798578,0.000480571589184,0.00033367289454,2.23669311615e-05,2.23669311614e-05,true,true,true
Float64,4,chi,J23,-1,4.779422,0.000520821014406,0.000520821014406,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,J23,1,4.798578,0.000480571589184,0.000480571589183,2.23669311615e-05,2.23669311614e-05,true,true,true
Float64,4,chi,J31,-1,4.779422,0.000520821014406,0.000520821014406,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,J31,1,4.798578,0.000480571589184,0.000480571589183,2.23669311615e-05,2.23669311614e-05,true,true,true
Float64,4,chi,J32,-1,4.779422,0.000520821014406,0.000520821014406,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,J32,1,4.798578,0.000480571589184,0.000480571589183,2.23669311615e-05,2.23669311614e-05,true,true,true
Float64,4,chi,J33,-1,4.779422,0.000520821014406,0.000361729234926,2.23669311615e-05,2.23669311614e-05,true,true,false
Float64,4,chi,J33,1,4.798578,0.000480571589184,0.00033367289454,2.23669311615e-05,2.23669311614e-05,true,true,true
