policy,strategy,blas_threads,ell,verdict,n_lower,n_upper
hierarchical_12,concat,1,3,not_observed,0,0
hierarchical_12,concat,1,4,observed,256,512
hierarchical_12,concat,1,5,observed,256,512
hierarchical_12,concat,64,3,not_observed,0,0
hierarchical_12,concat,64,4,observed,256,512
hierarchical_12,concat,64,5,observed,256,512
hierarchical_12,factored,1,3,not_observed,0,0
hierarchical_12,factored,1,4,observed,512,1024
hierarchical_12,factored,1,5,observed,0,256
hierarchical_12,factored,64,3,not_observed,0,0
hierarchical_12,factored,64,4,observed,256,512
hierarchical_12,factored,64,5,observed,0,256
hierarchical_12,precomputed_y,1,3,not_observed,0,0
hierarchical_12,precomputed_y,1,4,not_observed,0,0
hierarchical_12,precomputed_y,1,5,not_observed,0,0
hierarchical_12,precomputed_y,64,3,not_observed,0,0
hierarchical_12,precomputed_y,64,4,not_observed,0,0
hierarchical_12,precomputed_y,64,5,not_observed,0,0
hierarchical_12,dense,1,3,not_observed,0,0
hierarchical_12,dense,1,4,observed,512,1024
hierarchical_12,dense,1,5,observed,0,256
hierarchical_12,dense,64,3,not_observed,0,0
hierarchical_12,dense,64,4,observed,256,512
hierarchical_12,dense,64,5,observed,0,256
hierarchical_3,concat,1,3,observed,128,256
hierarchical_3,concat,1,4,observed,0,128
hierarchical_3,concat,1,5,observed,0,256
hierarchical_3,concat,64,3,observed,64,128
hierarchical_3,concat,64,4,observed,0,128
hierarchical_3,concat,64,5,observed,0,256
hierarchical_3,factored,1,3,observed,64,128
hierarchical_3,factored,1,4,observed,0,128
hierarchical_3,factored,1,5,observed,0,256
hierarchical_3,factored,64,3,observed,64,128
hierarchical_3,factored,64,4,observed,0,128
hierarchical_3,factored,64,5,observed,0,256
hierarchical_3,precomputed_y,1,3,not_observed,0,0
hierarchical_3,precomputed_y,1,4,observed,256,512
hierarchical_3,precomputed_y,1,5,observed,0,256
hierarchical_3,precomputed_y,64,3,not_observed,0,0
hierarchical_3,precomputed_y,64,4,observed,256,512
hierarchical_3,precomputed_y,64,5,observed,0,256
hierarchical_3,dense,1,3,observed,0,64
hierarchical_3,dense,1,4,observed,0,128
hierarchical_3,dense,1,5,observed,0,256
hierarchical_3,dense,64,3,observed,0,64
hierarchical_3,dense,64,4,observed,0,128
hierarchical_3,dense,64,5,observed,0,256
