policy,strategy,blas_threads,ell,npoints,n_min,n_max,route_exponent,m2l_exponent
flat,concat,1,3,5,64,1024,1.4363624777368307,1.470196974156605
flat,concat,1,4,7,128,8192,1.6438331897383052,1.6576931642977997
flat,concat,1,5,5,256,4096,1.958665724446753,1.9532378544192472
flat,concat,64,3,5,64,1024,1.4363624777368307,1.4167373323886214
flat,concat,64,4,7,128,8192,1.6438331897383052,1.6330266188159193
flat,concat,64,5,5,256,4096,1.958665724446753,1.956344924594738
flat,factored,1,3,5,64,1024,1.4363624777368307,1.2685662765991137
flat,factored,1,4,7,128,8192,1.6438331897383052,1.5175976027262423
flat,factored,1,5,5,256,4096,1.958665724446753,1.7253820079435804
flat,factored,64,3,5,64,1024,1.4363624777368307,1.3180616427117728
flat,factored,64,4,7,128,8192,1.6438331897383052,1.515165486450097
flat,factored,64,5,5,256,4096,1.958665724446753,1.7215038176415685
flat,precomputed_y,1,3,5,64,1024,1.4363624777368307,1.309341973628407
flat,precomputed_y,1,4,7,128,8192,1.6438331897383052,1.5123918414471726
flat,precomputed_y,1,5,5,256,4096,1.958665724446753,1.6142973001870982
flat,precomputed_y,64,3,5,64,1024,1.4363624777368307,1.3208048086436586
flat,precomputed_y,64,4,7,128,8192,1.6438331897383052,1.5532216139196624
flat,precomputed_y,64,5,5,256,4096,1.958665724446753,1.6197451675999697
flat,dense,1,3,5,64,1024,1.4363624777368307,0.9740054396108232
flat,dense,1,4,7,128,8192,1.6438331897383052,1.243134375446413
flat,dense,1,5,5,256,4096,1.958665724446753,1.2901469109863442
flat,dense,64,3,5,64,1024,1.4363624777368307,0.9169779000674196
flat,dense,64,4,7,128,8192,1.6438331897383052,1.2819978969544652
flat,dense,64,5,5,256,4096,1.958665724446753,1.2505727839910412
hierarchical_12,concat,1,3,5,64,1024,1.4082729861344252,1.3658858060464065
hierarchical_12,concat,1,4,7,128,8192,1.2928178724927852,1.2733577130897717
hierarchical_12,concat,1,5,5,256,4096,1.369976825707982,1.356086180624074
hierarchical_12,concat,64,3,5,64,1024,1.4082729861344252,1.3671722971976688
hierarchical_12,concat,64,4,7,128,8192,1.2928178724927852,1.2772143592547809
hierarchical_12,concat,64,5,5,256,4096,1.369976825707982,1.3537702797264564
hierarchical_12,factored,1,3,5,64,1024,1.4082729861344252,1.3633357986486623
hierarchical_12,factored,1,4,7,128,8192,1.2928178724927852,1.276671866836939
hierarchical_12,factored,1,5,5,256,4096,1.369976825707982,1.3566036149379175
hierarchical_12,factored,64,3,5,64,1024,1.4082729861344252,1.370109421904915
hierarchical_12,factored,64,4,7,128,8192,1.2928178724927852,1.2770244568726894
hierarchical_12,factored,64,5,5,256,4096,1.369976825707982,1.355433744673433
hierarchical_12,precomputed_y,1,3,5,64,1024,1.4082729861344252,1.3700790186767362
hierarchical_12,precomputed_y,1,4,7,128,8192,1.2928178724927852,1.2808649965199308
hierarchical_12,precomputed_y,1,5,5,256,4096,1.369976825707982,1.354302178575848
hierarchical_12,precomputed_y,64,3,5,64,1024,1.4082729861344252,1.3661029439255714
hierarchical_12,precomputed_y,64,4,7,128,8192,1.2928178724927852,1.2768248515831582
hierarchical_12,precomputed_y,64,5,5,256,4096,1.369976825707982,1.3548794960648816
