P,lh,n,variant,blas_threads,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols
4,false,80,factored_023a,8,642,506,4,1.2687747035573123,506,4,1315.163791,7170728,41760,1.108625,1808,2.22425,124272,12
4,false,80,precomputed_scalar,8,642,157,22,4.089171974522293,506,4,593.282042,2057760,1594240,0.47766600000000004,2928,1.5504589999999998,19792,9223372036854775807
4,false,80,precomputed_gemm,8,642,157,22,4.089171974522293,506,4,2.860625,2057760,1594240,0.530542,2928,1.604208,19792,1
4,false,80,precomputed_optimized,8,642,157,22,4.089171974522293,506,4,2.861416,2057760,1594240,0.45829200000000003,2928,1.5384170000000001,19792,12
4,true,80,factored_023a,8,586,422,5,1.3886255924170616,422,5,439.759458,8226792,64800,2.4290420000000004,1808,4.205125,132672,12
4,true,80,precomputed_scalar,8,586,143,13,4.0979020979020975,422,5,192.134,4338304,1950144,1.10625,3216,2.97825,27856,9223372036854775807
4,true,80,precomputed_gemm,8,586,143,13,4.0979020979020975,422,5,3.99975,4338304,1950144,1.208208,3216,2.830458,27856,1
4,true,80,precomputed_optimized,8,586,143,13,4.0979020979020975,422,5,3.998458,4338304,1950144,1.465917,3216,2.729667,27856,12
