host,kernel,cpu_model,julia_version,cpu_threads,julia_threads,blas_vendor,blas_config,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,factored_023a,2128,1010,6,2.106930693069307,1010,6,17.808712,10718888,120160,5.0145349999999995,1808,7.457275999999999,113744,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_scalar,2128,197,100,10.802030456852792,1010,6,9.403103,2057760,1980640,2.115847,6192,4.514906,23104,9223372036854775807,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_gemm,2128,197,100,10.802030456852792,1010,6,9.230549,2057760,1980640,2.1966989999999997,6192,4.62344,23104,1,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_production,2128,197,100,10.802030456852792,1010,6,9.323493,2057760,1980640,2.057317,6192,4.464141,23104,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,9.767869,2057760,1980640,2.133519,6192,4.560962,23104,4,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,10.23089,2057760,1980640,2.108603,6192,4.525546,23104,8,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,129.231985,2057760,1980640,2.043241,6192,4.4632689999999995,23104,12,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,150,precomputed_candidate,2128,197,100,10.802030456852792,1010,6,5.696867,2057760,1980640,2.060613,6192,4.460824000000001,23104,24,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,150,factored_023a,1618,866,6,1.8683602771362586,866,6,11.572651,11291112,163360,9.556883000000001,1808,13.147261,121520,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),64,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,150,precomputed_scalar,1618,171,52,9.461988304093568,866,6,8.879188,4338304,2336544,4.081431,8848,7.3685599999999996,33536,9223372036854775807,16
