host,kernel,cpu_model,julia_version,cpu_threads,julia_threads,blas_vendor,blas_config,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,150,precomputed_candidate,1618,171,52,9.461988304093568,866,6,8.60734,4338304,2336544,3.9585410000000003,8848,7.388369,33536,24,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,false,150,factored_023a,12364,2618,21,4.722689075630252,2618,21,27.969627,36175944,187360,106.473858,1808,111.61946,18464,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,false,150,precomputed_scalar,12364,383,1146,32.281984334203656,2618,21,51.535716,15574688,59119840,42.255021,14256,47.738048,31168,9223372036854775807,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,false,150,precomputed_gemm,12364,383,1146,32.281984334203656,2618,21,43.149782,15574688,59119840,35.383243,14256,41.1802,31168,1,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,false,150,precomputed_production,12364,383,1146,32.281984334203656,2618,21,39.291369,15574688,59119840,36.274287,14256,41.628423,31168,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,false,150,precomputed_candidate,12364,383,1146,32.281984334203656,2618,21,111.846587,15574688,59119840,35.558182,14256,41.360439,31168,4,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,false,150,precomputed_candidate,12364,383,1146,32.281984334203656,2618,21,35.492989,15574688,59119840,40.399922999999994,14256,41.347564000000006,31168,8,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,false,150,precomputed_candidate,12364,383,1146,32.281984334203656,2618,21,38.489712,15574688,59119840,35.994101,14256,41.647819000000005,31168,12,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,false,150,precomputed_candidate,12364,383,1146,32.281984334203656,2618,21,112.127014,15574688,59119840,36.588869,14256,42.235854,31168,24,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,true,150,factored_023a,12830,2578,21,4.976726144297905,2578,21,55.695285,50669416,307360,253.544017,1808,263.980865,26240,16,16
