variant,form,precision,blas_threads,P,lamb_helmholtz,batch,measured_batch,scaled,seconds,seconds_per_expansion
materialized,batched_operator,Float64,1,4,false,1,1,false,7.897090e-07,7.897090e-07
factored,batched_operator,Float64,1,4,false,1,1,false,9.621250e-07,9.621250e-07
materialized,batched_operator,Float64,1,4,false,8,8,false,5.974170e-06,7.467713e-07
factored,batched_operator,Float64,1,4,false,8,8,false,7.468750e-06,9.335938e-07
materialized,batched_operator,Float64,1,4,false,64,64,false,4.960410e-05,7.750641e-07
factored,batched_operator,Float64,1,4,false,64,64,false,6.259590e-05,9.780609e-07
materialized,batched_operator,Float64,1,4,false,512,512,false,3.769580e-04,7.362461e-07
factored,batched_operator,Float64,1,4,false,512,512,false,4.735840e-04,9.249687e-07
materialized,batched_operator,Float64,1,4,false,4096,4096,false,3.021666e-03,7.377114e-07
factored,batched_operator,Float64,1,4,false,4096,4096,false,3.905375e-03,9.534607e-07
production_recurrence,recurrence,Float64,1,4,false,1,1,false,6.742910e-07,6.742910e-07
production_recurrence,recurrence,Float64,1,4,false,8,8,false,5.386250e-06,6.732813e-07
production_recurrence,recurrence,Float64,1,4,false,64,64,false,4.309170e-05,6.733078e-07
production_recurrence,recurrence,Float64,1,4,false,512,512,false,3.452910e-04,6.743965e-07
production_recurrence,recurrence,Float64,1,4,false,4096,2048,true,2.761750e-03,6.742554e-07
materialized,batched_operator,Float64,1,4,true,1,1,false,1.593340e-06,1.593340e-06
factored,batched_operator,Float64,1,4,true,1,1,false,2.889590e-06,2.889590e-06
materialized,batched_operator,Float64,1,4,true,8,8,false,1.221250e-05,1.526563e-06
factored,batched_operator,Float64,1,4,true,8,8,false,2.274170e-05,2.842712e-06
materialized,batched_operator,Float64,1,4,true,64,64,false,9.710840e-05,1.517319e-06
factored,batched_operator,Float64,1,4,true,64,64,false,1.867500e-04,2.917969e-06
materialized,batched_operator,Float64,1,4,true,512,512,false,7.755000e-04,1.514648e-06
factored,batched_operator,Float64,1,4,true,512,512,false,1.448667e-03,2.829428e-06
materialized,batched_operator,Float64,1,4,true,4096,4096,false,6.240166e-03,1.523478e-06
factored,batched_operator,Float64,1,4,true,4096,4096,false,1.164542e-02,2.843119e-06
production_recurrence,recurrence,Float64,1,4,true,1,1,false,9.082910e-07,9.082910e-07
production_recurrence,recurrence,Float64,1,4,true,8,8,false,7.466250e-06,9.332812e-07
production_recurrence,recurrence,Float64,1,4,true,64,64,false,5.980830e-05,9.345047e-07
production_recurrence,recurrence,Float64,1,4,true,512,512,false,4.803340e-04,9.381523e-07
production_recurrence,recurrence,Float64,1,4,true,4096,2048,true,3.754166e-03,9.165444e-07
materialized,batched_operator,Float64,1,8,false,1,1,false,3.444580e-06,3.444580e-06
factored,batched_operator,Float64,1,8,false,1,1,false,3.963330e-06,3.963330e-06
materialized,batched_operator,Float64,1,8,false,8,8,false,2.728750e-05,3.410937e-06
factored,batched_operator,Float64,1,8,false,8,8,false,3.135410e-05,3.919263e-06
materialized,batched_operator,Float64,1,8,false,64,64,false,2.191670e-04,3.424484e-06
factored,batched_operator,Float64,1,8,false,64,64,false,2.511670e-04,3.924484e-06
materialized,batched_operator,Float64,1,8,false,512,512,false,1.754250e-03,3.426270e-06
factored,batched_operator,Float64,1,8,false,512,512,false,2.004750e-03,3.915527e-06
materialized,batched_operator,Float64,1,8,false,4096,4096,false,1.405633e-02,3.431722e-06
factored,batched_operator,Float64,1,8,false,4096,4096,false,1.622925e-02,3.962219e-06
production_recurrence,recurrence,Float64,1,8,false,1,1,false,3.697500e-06,3.697500e-06
production_recurrence,recurrence,Float64,1,8,false,8,8,false,2.952920e-05,3.691150e-06
production_recurrence,recurrence,Float64,1,8,false,64,64,false,2.364580e-04,3.694656e-06
production_recurrence,recurrence,Float64,1,8,false,512,512,false,1.891000e-03,3.693359e-06
production_recurrence,recurrence,Float64,1,8,false,4096,2048,true,1.474842e-02,3.600688e-06
materialized,batched_operator,Float64,1,8,true,1,1,false,5.893340e-06,5.893340e-06
factored,batched_operator,Float64,1,8,true,1,1,false,1.027090e-05,1.027090e-05
