variant,precision,P,lamb_helmholtz,batch,n_dir,n_norm,n_offset_class,seconds,seconds_per_expansion
factored,Float64,8,true,4096,1,4096,4096,3.992383e-02,9.747030e-06
materialized,Float64,8,true,4096,8,1,8,2.495113e-02,6.091583e-06
factored,Float64,8,true,4096,8,1,8,4.212979e-02,1.028559e-05
materialized,Float64,8,true,4096,8,8,8,2.496929e-02,6.096019e-06
factored,Float64,8,true,4096,8,8,8,4.216296e-02,1.029369e-05
materialized,Float64,8,true,4096,8,64,64,2.499437e-02,6.102142e-06
factored,Float64,8,true,4096,8,64,64,4.217921e-02,1.029766e-05
materialized,Float64,8,true,4096,8,4096,4096,2.488667e-02,6.075846e-06
factored,Float64,8,true,4096,8,4096,4096,4.202950e-02,1.026111e-05
materialized,Float64,8,true,4096,64,1,64,2.520083e-02,6.152547e-06
factored,Float64,8,true,4096,64,1,64,4.299504e-02,1.049684e-05
materialized,Float64,8,true,4096,64,8,64,2.502571e-02,6.109792e-06
factored,Float64,8,true,4096,64,8,64,4.298954e-02,1.049549e-05
materialized,Float64,8,true,4096,64,64,64,2.500242e-02,6.104106e-06
factored,Float64,8,true,4096,64,64,64,4.295283e-02,1.048653e-05
materialized,Float64,8,true,4096,64,4096,4096,2.495946e-02,6.093618e-06
factored,Float64,8,true,4096,64,4096,4096,4.306862e-02,1.051480e-05
materialized,Float64,8,true,4096,4096,1,4096,2.489350e-02,6.077515e-06
factored,Float64,8,true,4096,4096,1,4096,4.299954e-02,1.049794e-05
materialized,Float64,8,true,4096,4096,8,4096,2.494571e-02,6.090261e-06
factored,Float64,8,true,4096,4096,8,4096,4.314042e-02,1.053233e-05
materialized,Float64,8,true,4096,4096,64,4096,2.494283e-02,6.089559e-06
factored,Float64,8,true,4096,4096,64,4096,4.301342e-02,1.050132e-05
materialized,Float64,8,true,4096,4096,4096,4096,2.498667e-02,6.100260e-06
factored,Float64,8,true,4096,4096,4096,4096,4.303717e-02,1.050712e-05
materialized,Float64,20,false,64,1,1,1,2.949084e-03,4.607944e-05
factored,Float64,20,false,64,1,1,1,2.449459e-03,3.827280e-05
materialized,Float64,20,false,64,1,8,8,2.948333e-03,4.606770e-05
factored,Float64,20,false,64,1,8,8,2.450375e-03,3.828711e-05
materialized,Float64,20,false,64,1,64,64,2.951166e-03,4.611197e-05
factored,Float64,20,false,64,1,64,64,2.446792e-03,3.823113e-05
materialized,Float64,20,false,64,8,1,8,2.952500e-03,4.613281e-05
factored,Float64,20,false,64,8,1,8,2.564583e-03,4.007161e-05
materialized,Float64,20,false,64,8,8,8,2.951167e-03,4.611198e-05
factored,Float64,20,false,64,8,8,8,2.564625e-03,4.007227e-05
materialized,Float64,20,false,64,8,64,64,2.952542e-03,4.613347e-05
factored,Float64,20,false,64,8,64,64,2.636250e-03,4.119141e-05
materialized,Float64,20,false,64,64,1,64,3.038250e-03,4.747266e-05
factored,Float64,20,false,64,64,1,64,2.657875e-03,4.152930e-05
materialized,Float64,20,false,64,64,8,64,2.955000e-03,4.617188e-05
factored,Float64,20,false,64,64,8,64,2.751875e-03,4.299805e-05
materialized,Float64,20,false,64,64,64,64,3.049000e-03,4.764063e-05
factored,Float64,20,false,64,64,64,64,2.604417e-03,4.069402e-05
materialized,Float64,20,false,4096,1,1,1,1.916011e-01,4.677761e-05
factored,Float64,20,false,4096,1,1,1,1.606778e-01,3.922798e-05
materialized,Float64,20,false,4096,1,8,8,1.913189e-01,4.670871e-05
factored,Float64,20,false,4096,1,8,8,1.607068e-01,3.923506e-05
materialized,Float64,20,false,4096,1,64,64,1.913637e-01,4.671967e-05
factored,Float64,20,false,4096,1,64,64,1.604512e-01,3.917266e-05
materialized,Float64,20,false,4096,1,4096,4096,1.912494e-01,4.669174e-05
factored,Float64,20,false,4096,1,4096,4096,1.608842e-01,3.927836e-05
materialized,Float64,20,false,4096,8,1,8,1.916520e-01,4.679003e-05
factored,Float64,20,false,4096,8,1,8,1.670030e-01,4.077223e-05
materialized,Float64,20,false,4096,8,8,8,1.917542e-01,4.681500e-05
factored,Float64,20,false,4096,8,8,8,1.670125e-01,4.077453e-05
materialized,Float64,20,false,4096,8,64,64,1.916217e-01,4.678264e-05
factored,Float64,20,false,4096,8,64,64,1.673667e-01,4.086100e-05
materialized,Float64,20,false,4096,8,4096,4096,1.914679e-01,4.674509e-05
factored,Float64,20,false,4096,8,4096,4096,1.678687e-01,4.098356e-05
materialized,Float64,20,false,4096,64,1,64,1.915780e-01,4.677197e-05
factored,Float64,20,false,4096,64,1,64,1.702080e-01,4.155469e-05
materialized,Float64,20,false,4096,64,8,64,1.914251e-01,4.673464e-05
factored,Float64,20,false,4096,64,8,64,1.700996e-01,4.152822e-05
materialized,Float64,20,false,4096,64,64,64,1.915348e-01,4.676142e-05
factored,Float64,20,false,4096,64,64,64,1.697933e-01,4.145343e-05
materialized,Float64,20,false,4096,64,4096,4096,1.914995e-01,4.675280e-05
factored,Float64,20,false,4096,64,4096,4096,1.698593e-01,4.146956e-05
materialized,Float64,20,false,4096,4096,1,4096,1.917240e-01,4.680762e-05
factored,Float64,20,false,4096,4096,1,4096,1.693281e-01,4.133987e-05
materialized,Float64,20,false,4096,4096,8,4096,1.914917e-01,4.675091e-05
factored,Float64,20,false,4096,4096,8,4096,1.693853e-01,4.135383e-05
materialized,Float64,20,false,4096,4096,64,4096,1.915663e-01,4.676911e-05
factored,Float64,20,false,4096,4096,64,4096,1.696173e-01,4.141048e-05
materialized,Float64,20,false,4096,4096,4096,4096,1.916851e-01,4.679812e-05
factored,Float64,20,false,4096,4096,4096,4096,1.695682e-01,4.139849e-05
materialized,Float64,20,true,64,1,1,1,4.222792e-03,6.598113e-05
factored,Float64,20,true,64,1,1,1,5.594959e-03,8.742123e-05
materialized,Float64,20,true,64,1,8,8,4.219000e-03,6.592187e-05
factored,Float64,20,true,64,1,8,8,5.595625e-03,8.743164e-05
materialized,Float64,20,true,64,1,64,64,4.216791e-03,6.588736e-05
factored,Float64,20,true,64,1,64,64,5.578083e-03,8.715755e-05
materialized,Float64,20,true,64,8,1,8,4.218000e-03,6.590625e-05
factored,Float64,20,true,64,8,1,8,5.797625e-03,9.058789e-05
materialized,Float64,20,true,64,8,8,8,4.222667e-03,6.597917e-05
factored,Float64,20,true,64,8,8,8,5.824833e-03,9.101302e-05
materialized,Float64,20,true,64,8,64,64,4.223875e-03,6.599805e-05
factored,Float64,20,true,64,8,64,64,5.795500e-03,9.055469e-05
materialized,Float64,20,true,64,64,1,64,4.224250e-03,6.600391e-05
factored,Float64,20,true,64,64,1,64,5.833125e-03,9.114258e-05
materialized,Float64,20,true,64,64,8,64,4.221750e-03,6.596484e-05
factored,Float64,20,true,64,64,8,64,5.840666e-03,9.126041e-05
materialized,Float64,20,true,64,64,64,64,4.220291e-03,6.594205e-05
factored,Float64,20,true,64,64,64,64,5.837000e-03,9.120313e-05
materialized,Float64,20,true,4096,1,1,1,2.743018e-01,6.696822e-05
factored,Float64,20,true,4096,1,1,1,3.600581e-01,8.790482e-05
materialized,Float64,20,true,4096,1,8,8,2.744487e-01,6.700408e-05
factored,Float64,20,true,4096,1,8,8,3.623151e-01,8.845583e-05
materialized,Float64,20,true,4096,1,64,64,2.743835e-01,6.698815e-05
factored,Float64,20,true,4096,1,64,64,3.629523e-01,8.861141e-05
materialized,Float64,20,true,4096,1,4096,4096,2.745495e-01,6.702870e-05
factored,Float64,20,true,4096,1,4096,4096,3.621118e-01,8.840621e-05
materialized,Float64,20,true,4096,8,1,8,2.748092e-01,6.709208e-05
factored,Float64,20,true,4096,8,1,8,3.774178e-01,9.214303e-05
materialized,Float64,20,true,4096,8,8,8,2.743572e-01,6.698175e-05
factored,Float64,20,true,4096,8,8,8,3.769042e-01,9.201762e-05
materialized,Float64,20,true,4096,8,64,64,2.746245e-01,6.704701e-05
factored,Float64,20,true,4096,8,64,64,3.772535e-01,9.210290e-05
materialized,Float64,20,true,4096,8,4096,4096,2.747026e-01,6.706607e-05
factored,Float64,20,true,4096,8,4096,4096,3.771704e-01,9.208261e-05
materialized,Float64,20,true,4096,64,1,64,2.745645e-01,6.703234e-05
factored,Float64,20,true,4096,64,1,64,3.798909e-01,9.274681e-05
materialized,Float64,20,true,4096,64,8,64,2.747228e-01,6.707098e-05
factored,Float64,20,true,4096,64,8,64,3.801127e-01,9.280094e-05
materialized,Float64,20,true,4096,64,64,64,2.745115e-01,6.701941e-05
factored,Float64,20,true,4096,64,64,64,3.798644e-01,9.274034e-05
materialized,Float64,20,true,4096,64,4096,4096,2.742166e-01,6.694741e-05
factored,Float64,20,true,4096,64,4096,4096,3.796658e-01,9.269185e-05
materialized,Float64,20,true,4096,4096,1,4096,2.742995e-01,6.696764e-05
factored,Float64,20,true,4096,4096,1,4096,3.786725e-01,9.244935e-05
materialized,Float64,20,true,4096,4096,8,4096,2.744002e-01,6.699224e-05
factored,Float64,20,true,4096,4096,8,4096,3.789810e-01,9.252466e-05
materialized,Float64,20,true,4096,4096,64,4096,2.742311e-01,6.695095e-05
factored,Float64,20,true,4096,4096,64,4096,3.788075e-01,9.248231e-05
materialized,Float64,20,true,4096,4096,4096,4096,2.744508e-01,6.700459e-05
factored,Float64,20,true,4096,4096,4096,4096,3.790847e-01,9.254997e-05
