variant,precision,P,lamb_helmholtz,batch,n_dir,n_norm,n_offset_class,seconds,seconds_per_expansion
materialized,Float64,8,false,64,1,1,1,2.232080e-04,3.487625e-06
factored,Float64,8,false,64,1,1,1,2.367910e-04,3.699859e-06
materialized,Float64,8,false,64,1,8,8,2.225000e-04,3.476562e-06
factored,Float64,8,false,64,1,8,8,2.370410e-04,3.703766e-06
materialized,Float64,8,false,64,1,64,64,2.225000e-04,3.476562e-06
factored,Float64,8,false,64,1,64,64,2.371250e-04,3.705078e-06
materialized,Float64,8,false,64,8,1,8,2.244170e-04,3.506516e-06
factored,Float64,8,false,64,8,1,8,2.492080e-04,3.893875e-06
materialized,Float64,8,false,64,8,8,8,2.243330e-04,3.505203e-06
factored,Float64,8,false,64,8,8,8,2.491250e-04,3.892578e-06
materialized,Float64,8,false,64,8,64,64,2.244170e-04,3.506516e-06
factored,Float64,8,false,64,8,64,64,2.490830e-04,3.891922e-06
materialized,Float64,8,false,64,64,1,64,2.244170e-04,3.506516e-06
factored,Float64,8,false,64,64,1,64,2.543330e-04,3.973953e-06
materialized,Float64,8,false,64,64,8,64,2.242920e-04,3.504563e-06
factored,Float64,8,false,64,64,8,64,2.544580e-04,3.975906e-06
materialized,Float64,8,false,64,64,64,64,2.243330e-04,3.505203e-06
factored,Float64,8,false,64,64,64,64,2.542080e-04,3.972000e-06
materialized,Float64,8,false,4096,1,1,1,1.436079e-02,3.506053e-06
factored,Float64,8,false,4096,1,1,1,1.527179e-02,3.728465e-06
materialized,Float64,8,false,4096,1,8,8,1.436304e-02,3.506602e-06
factored,Float64,8,false,4096,1,8,8,1.525312e-02,3.723907e-06
materialized,Float64,8,false,4096,1,64,64,1.435683e-02,3.505086e-06
factored,Float64,8,false,4096,1,64,64,1.525150e-02,3.723511e-06
materialized,Float64,8,false,4096,1,4096,4096,1.434433e-02,3.502034e-06
factored,Float64,8,false,4096,1,4096,4096,1.523625e-02,3.719788e-06
materialized,Float64,8,false,4096,8,1,8,1.451183e-02,3.542928e-06
factored,Float64,8,false,4096,8,1,8,1.601846e-02,3.910757e-06
materialized,Float64,8,false,4096,8,8,8,1.447163e-02,3.533112e-06
factored,Float64,8,false,4096,8,8,8,1.600038e-02,3.906342e-06
materialized,Float64,8,false,4096,8,64,64,1.454875e-02,3.551941e-06
