contrast,t_step_ms,vel_rel_rms,popmax,mem_gb
1,106.09,0.0002218,96,2.156
3,106.037,0.0002621,127,2.219
10,126.632,0.0003593,298,2.219
30,170.073,0.0004783,792,2.219
100,259.267,0.0004117,2442,2.219
300,747.521,0.0004232,7026,2.219
1000,6184.795,0.0002645,23415,2.219
