contrast,t_step_ms,vel_rel_rms,popmax,mem_gb
1,274.438,0.0002306,8,58.938
3,279.238,0.0002718,9,59.312
10,259.146,0.0003665,14,58.719
30,251.44,0.0004859,27,58.312
100,212.513,0.0004298,59,58.156
300,220.875,0.0004579,140,58.125
1000,254.765,0.0003614,430,58.094
