contrast,t_step_ms,vel_rel_rms,popmax,mem_gb
1,320.687,0.0003944,64,5.314
3,155.981,0.0003742,64,5.219
10,125.581,0.0004795,64,5.219
30,155.214,0.0005435,64,5.219
100,126.91,0.0004577,64,5.219
300,137.03,0.000467,64,5.219
1000,120.823,0.0003684,64,5.219
