contrast,t_step_ms,vel_rel_rms,popmax,mem_gb
1,142.994,0.0002245,22,15.688
3,152.528,0.0002656,26,16.062
10,194.505,0.0003625,55,16.062
30,191.817,0.0004819,128,16
100,230.332,0.0004242,346,16
300,305.756,0.0004511,942,16
1000,510.033,0.0003436,3009,16
