contrast,t_step_ms,vel_rel_rms,popmax,mem_gb
1,150.946,0.0002176,562,0.469
3,157.706,0.0002583,818,0.469
10,290.474,0.000347,2124,0.469
30,839.502,0.000458,5851,0.469
100,4030.928,0.0003637,18763,0.469
300,32974.562,0.0002919,55450,0.469
1000,284082.751,0.0001306,162729,0.469
