schema_version,source_hash,slurm_job_id,host,blas_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,accuracy_samples,level,occupied_nodes,routes,nonempty_classes,mean_occupancy,p50_occupancy,p90_occupancy,p95_occupancy,p99_occupancy,max_occupancy,occupancy_skew,m2l_ms_median,m2l_ms_min,m2l_ms_iqr
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_3,precomputed_y,uniform,Float64,false,2048,5,4,26028553,4,0,2,64,3096,316,9.79746835443038,8.0,18.0,24.0,32.0,32,1.0845695227111591,2.9519835,2.922758,0.06871450000000001
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_3,precomputed_y,uniform,Float64,false,2048,5,4,26028553,4,0,3,498,50780,316,160.69620253164558,137.0,282.0,319.0,363.84999999999997,366,0.5676533698701824,39.028622999999996,39.001577,0.09648374999999731
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_3,precomputed_y,uniform,Float64,false,2048,5,4,26028553,4,0,4,1611,91906,316,290.84177215189874,245.5,512.0,523.25,563.4499999999994,570,0.41745374013934805,74.6737715,74.581508,0.05736550000000307
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_3,precomputed_y,uniform,Float64,false,2048,5,4,26028553,4,0,5,1975,20010,316,63.322784810126585,54.0,114.50000000000006,119.5,125.84999999999997,128,0.45211375206580406,20.569378999999998,20.53537,0.06711574999999925
