schema_version,source_hash,slurm_job_id,host,blas_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,accuracy_samples,level,occupied_nodes,routes,nonempty_classes,mean_occupancy,p50_occupancy,p90_occupancy,p95_occupancy,p99_occupancy,max_occupancy,occupancy_skew,m2l_ms_median,m2l_ms_min,m2l_ms_iqr
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,256,4,4,26026660,4,0,2,64,752,164,4.585365853658536,4.0,8.0,8.0,8.0,8,0.13831200420623618,4.303515,4.239895,0.05316149999999986
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,256,4,4,26026660,4,0,3,204,25352,1718,14.756693830034925,13.0,30.299999999999955,34.0,39.0,45,0.6443522853122527,27.6945645,27.132978,0.5006412499999975
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,256,4,4,26026660,4,0,4,243,9892,1662,5.951865222623345,5.0,11.0,12.0,16.0,19,0.6076219898241054,15.7788005,15.276956,0.5113417500000015
