mode,offset_case,ox,oy,oz,scale,operator_dof,max_abs_error,relative_error,tolerance,pass,diagonal_exponents
scalar,axial_pos,0,0,2,0.25,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,axial_pos,0,0,2,0.5,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,axial_pos,0,0,2,2.0,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,axial_pos,0,0,2,4.0,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,axial_neg,0,0,-2,0.25,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,axial_neg,0,0,-2,0.5,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,axial_neg,0,0,-2,2.0,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,axial_neg,0,0,-2,4.0,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,equatorial,2,1,0,0.25,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,equatorial,2,1,0,0.5,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,equatorial,2,1,0,2.0,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,equatorial,2,1,0,4.0,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,generic,2,-3,1,0.25,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,generic,2,-3,1,0.5,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,generic,2,-3,1,2.0,16,0.0,0.0,1.0e-13,true,target=source=n
scalar,generic,2,-3,1,4.0,16,0.0,0.0,1.0e-13,true,target=source=n
lamb_helmholtz,axial_pos,0,0,2,0.25,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,axial_pos,0,0,2,0.5,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,axial_pos,0,0,2,2.0,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,axial_pos,0,0,2,4.0,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,axial_neg,0,0,-2,0.25,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,axial_neg,0,0,-2,0.5,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,axial_neg,0,0,-2,2.0,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,axial_neg,0,0,-2,4.0,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,equatorial,2,1,0,0.25,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,equatorial,2,1,0,0.5,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,equatorial,2,1,0,2.0,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,equatorial,2,1,0,4.0,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,generic,2,-3,1,0.25,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,generic,2,-3,1,0.5,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,generic,2,-3,1,2.0,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
lamb_helmholtz,generic,2,-3,1,4.0,41,0.0,0.0,1.0e-13,true,"target=(n_phi,n_chi+1);source=(n_phi,n_chi-1)"
