near_radius2,check,ell,cases,failures,pass,minimum_child_norm2,detail
9,epsilon_interval,6,10,0,true,0,accepted iff epsilon >= 1.7752070448431441 and epsilon < 2.6845623366080442
9,epsilon_interval,7,10,0,true,0,accepted iff epsilon >= 3.5504140896862881 and epsilon < 5.3691246732160884
10,epsilon_interval,2,11,0,true,0,accepted iff epsilon >= 0.077198798155542717 and epsilon < 0.1109504403026965
10,epsilon_interval,3,11,0,true,0,accepted iff epsilon >= 0.15439759631108543 and epsilon < 0.22190088060539301
10,epsilon_interval,4,11,0,true,0,accepted iff epsilon >= 0.30879519262217087 and epsilon < 0.44380176121078602
10,epsilon_interval,5,11,0,true,0,accepted iff epsilon >= 0.61759038524434173 and epsilon < 0.88760352242157203
10,epsilon_interval,6,11,0,true,0,accepted iff epsilon >= 1.2351807704886835 and epsilon < 1.7752070448431441
10,epsilon_interval,7,11,0,true,0,accepted iff epsilon >= 2.4703615409773669 and epsilon < 3.5504140896862881
11,epsilon_interval,2,12,0,true,0,accepted iff epsilon >= 0.055904165498874434 and epsilon < 0.077198798155542717
11,epsilon_interval,3,12,0,true,0,accepted iff epsilon >= 0.11180833099774887 and epsilon < 0.15439759631108543
11,epsilon_interval,4,12,0,true,0,accepted iff epsilon >= 0.22361666199549773 and epsilon < 0.30879519262217087
11,epsilon_interval,5,12,0,true,0,accepted iff epsilon >= 0.44723332399099547 and epsilon < 0.61759038524434173
11,epsilon_interval,6,12,0,true,0,accepted iff epsilon >= 0.89446664798199094 and epsilon < 1.2351807704886835
11,epsilon_interval,7,12,0,true,0,accepted iff epsilon >= 1.7889332959639819 and epsilon < 2.4703615409773669
12,epsilon_interval,2,13,0,true,0,accepted iff epsilon >= 0.041807761156300173 and epsilon < 0.055904165498874434
12,epsilon_interval,3,13,0,true,0,accepted iff epsilon >= 0.083615522312600346 and epsilon < 0.11180833099774887
12,epsilon_interval,4,13,0,true,0,accepted iff epsilon >= 0.16723104462520069 and epsilon < 0.22361666199549773
12,epsilon_interval,5,13,0,true,0,accepted iff epsilon >= 0.33446208925040138 and epsilon < 0.44723332399099547
12,epsilon_interval,6,13,0,true,0,accepted iff epsilon >= 0.66892417850080277 and epsilon < 0.89446664798199094
12,epsilon_interval,7,13,0,true,0,accepted iff epsilon >= 1.3378483570016055 and epsilon < 1.7889332959639819
3,classic_epsilon_price,0,4,0,true,0,238.17143678330069 times q=12 lower compatible epsilon endpoint
